ID,英文詞彙,中文詞彙,藥理分類,審定日期,更新日期
21367759,tegafur,呋氟脲嘧啶,Antineoplastic agents：Antimetabolites,2024.11.22,
21367760,tegaserod,暢促血清素,Laxatives：Prokinetic Agents (5-HT4 agonists) ,2024.11.22,
21367761,teicoplanin,泰康醣肽酯；游放射菌醣肽,Antibiotics：Glycopeptides ,2024.11.22,
21367762,telbivudine,胸去羥苷,Antivirals：Nucleoside analog reverse-transcriptase inhibitors (NARTIs or NRTIs) ,2024.11.22,
21367763,telithromycin,啶唑紅菌素；啶唑紅絲菌素,Antibiotics：Macrolides ,2024.11.22,
21367764,telmisartan,倜美洒坦；羧苯咪唑拮壓,Antihypertensives：Angiotensin II receptor antagonists (ARBs),2024.11.22,
21367765,temozolomide,四𠯤咪唑醯胺,Antineoplastic agents：Alkylating agents,2024.11.22,
21367766,temsirolimus,潮菌素羥酯；潮絲菌素二羥戊酯,Antineoplastic agents：mTOR (mechanistic target of rapamycin) inhibitors,2024.11.22,
21367767,teniposide,噻吩拓撲苷；鬼臼噻縮甲醛苷,Antineoplastic agents：Topoisomerase inhibitors,2024.11.22,
21367768,tenofovir,腺伸膦韋爾,Antivirals：Nucleotide analog reverse-transcriptase inhibitors (NtARTIs or NtRTIs),2024.11.22,
21367769,tenofovir alafenamide,腺伸膦酚韋爾丙胺酸酯,Antivirals：Nucleotide analog reverse-transcriptase inhibitors (NtARTIs or NtRTIs),2024.11.22,
21367770,tenofovir alafenamide fumarate （TAF）,腺伸膦酚韋爾丙胺酸酯延胡索酸鹽,Antivirals：Nucleotide analog reverse-transcriptase inhibitors (NtARTIs or NtRTIs),2024.11.22,
21367771,tenofovir disoproxil,腺伸膦韋爾碳酸異丙酯,Antivirals：Nucleotide analog reverse-transcriptase inhibitors (NtARTIs or NtRTIs),2024.11.22,
21367772,tenofovir disoproxil fumarate  （TDF）,腺伸膦韋爾碳酸異丙酯延胡索酸鹽,Antivirals：Nucleotide analog reverse-transcriptase inhibitors (NtARTIs or NtRTIs),2024.11.22,
21367773,tepotinib,剔搏肺靶泊；哌氰異嘧啶酮肺靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367774,terazosin,泰瑞挫欣；四氫呋醯哌𠯤挫欣,Antihypertensives：Adrenergic agents,2024.11.22,
21367775,terbinafine,叔丁萘胺；叔丁炔烯萘胺,Antifungals：Allylamines,2024.11.22,
21367776,terconazole,特剋黴唑；丙𠯤三酮剋黴三唑,Antifungals：Azole,2024.11.22,
21367777,terfenadine,丁苯羥哌啶,Antihistamines：H1-antihistamines,2024.11.22,
21367778,testosterone,睪固酮,Sex-hormonal agent：Androgens and anabolic steroids,2024.11.22,
21367779,testosterone benzoate,睪固酮苯甲酸酯,Sex-hormonal agent：Androgens and anabolic steroids,2024.11.22,
21367780,testosterone cypionate,睪固酮環戊丙酸酯,Sex-hormonal agent：Androgens and anabolic steroids,2024.11.22,
21367781,testosterone propionate,睪固酮丙酸酯,Sex-hormonal agent：Androgens and anabolic steroids,2024.11.22,
21367782,tetracycline ,四環素,Antibiotics：Tetracyclines,2024.11.22,
21367783,tetroxoprim ,四醚苄嘧啶,Antibiotics：Others,2024.11.22,
21367784,thalidomide,沙利竇邁；酞醯戊二醯亞胺,Antineoplastic agents： Immunomodulatory Agents (IMiDs) ,2024.11.22,
21367785,theobromine,可可鹼,Phosphodiesterase inhibitors：Methylated xanthines,2024.11.22,
21367786,theophylline,茶鹼,Phosphodiesterase inhibitors：Methylated xanthines,2024.11.22,
21367787,thiamphenicol ,碸氯絲菌素,Antibiotics：Others,2024.11.22,
21367788,"tiabendazole, thiabendazole",噻唑苯咪唑,Antiparasitics：Anthelmintics (antihelminthics),2024.11.22,
21367789,tibolone,炔新睪固酮,Sex-hormonal agent：Androgens and anabolic steroids,2024.11.22,
21367790,ticarcillin,噻吩羧西林,Antibiotics：Penicillins,2024.11.22,
21367791,tigecycline ,丁甘醯胺四環素,Antibiotics：Tetracyclines,2024.11.22,
21367792,timolol,倜脈落；叔丁𠰌洛,Antihypertensives：Adrenergic agents [Antiglaucoma agents：β-adrenergic blocking agents] [Antiarrhythmics agents：Class II antiarrhythmics],2024.11.22,
21367793,tinidazole ,碸甲硝咪唑,Antiparasitics：Antiprotozoals,2024.11.22,
21367794,tioconazole ,噻吩剋黴唑；噻吩乙剋黴唑,Antifungals：Azole,2024.11.22,
21367795,tipranavir,剔撲韋爾；磺吡喃韋爾,Antivirals：Protease inhibitors,2024.11.22,
21367796,tirabrutinib,剔擾拉淋靶泊；苯氧羥炔淋靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367797,tobramycin,汰百菌素；暗絲菌素,Antibiotics：Aminoglycosides,2024.11.22,
21367798,Tofacitinib,撻伐熄靶泊；氰哌胺熄靶泊,"<p><span style=""font-size:12.0pt""><span style=""font-family:&quot;Times New Roman&quot;,serif""><span style=""color:black"">Anti-rheumatic Agents：Biological DMARDs [Antineoplastic agents：Protein kinase inhibitor]</span></span></span></p>",<p>2025.05.27</p>,
21367799,tolnaftate,甲苯萘酯；甲苯胺硫甲酸萘酯,Antifungals：Others,2024.11.22,
21367800,tolvaptan,妥管壓坦；甲苯醯胺管壓坦,Antihypertensives：Diuretics,2024.11.22,
21367801,topiramate,果糖縮酮磺胺酯,Anticonvulsants/Antiepileptic drugs (AEDs)：Fructose derivatives,2024.11.22,
21367802,topotecan,拓撲提康；拓撲喜樹鹼,Antineoplastic agents：Topoisomerase inhibitors,2024.11.22,
21367803,toremifene,胺醚苯氯乙芪,Antineoplastic agents： Hormonal Agents,2024.11.22,
21367804,trabectedin,海鞘素；紅樹海鞘素,Antineoplastic agents：Alkylating agents,2024.11.22,
21367805,trametinib,淬神纖靶泊；環丙嘧神纖靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367806,trandolapril,燦多壓利；苄丙縮丙環己脯,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,2024.11.22,
21367807,tranylcypromine,反-苯環丙胺,Antidepressants：Tricyclic antidepressants (TCA),2024.11.22,
21367808,trastuzumab,淬斯妥擬單抗,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367809,trastuzumab emtansine,淬斯妥擬單抗^美登木鹼,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367810,travoprost,氟甲類前列酯F2α；氟苯氧前列丙酯F2α ,Antiglaucoma agents：Prostaglandin analogues,2024.11.22,
21367811,trazodone,三唑酮思汀；吡三唑酮類思汀,Antidepressants：Serotonin antagonist and reuptake inhibitors (SARI),2024.11.22,
21367812,treprostinil,氫苯類前列酸I2,Prostaglandin analogues that are not used to treat glaucoma,2024.11.22,
21367813,triamterene,三胺喋啶；苯三胺喋啶,Antihypertensives：Diuretics,2024.11.22,
21367814,trichlormethiazide,三氯甲噻𠯤；三氯甲苯氫磺𠯤,Antihypertensives：Diuretics,2024.11.22,
21367815,triclabendazole,三氯苯咪唑；氯苯甲硫苯咪唑,Antiparasitics：Anthelmintics (antihelminthics),2024.11.22,
21367816,trifluridine,三氟脲去羥苷,Antineoplastic agents：Antimetabolites,2024.11.22,
21367817,trimethadione,三甲㗁唑二酮,Anticonvulsants/Antiepileptic drugs (AEDs)：Oxazolidinediones,2024.11.22,
21367818,trimethoprim,三甲醚苄嘧啶,Antibiotics：Others,2024.11.22,
21367819,tripelennamine,吡苄二胺,Antihistamines：H1-antihistamines,2024.11.22,
21367820,triprolidine,甲苯吡烯啶；甲苯吡丙烯咯啶,Antihistamines：H1-antihistamines,2024.11.22,
21367821,Triptorelin,色甘促垂肽；色甘醯胺促垂體肽,<p>Agents Related to Pituitary and Hypothalamic Function: Hypothalamic Hormones [Antineoplastic agents]</p>,<p>2024.11.22</p>,
21367822,troleandomycin,三醯桃菌素；三醯黃絲菌素,Antibiotics：Macrolides ,2024.11.22,
21367823,tropisetron ,莨菪鹼息衝；吲哚莨菪鹼酯,Antiemetics：5-HT3 antagonist,2024.11.22,
21367824,undecylenic acid,十一烯酸；ω-十一烯酸,Antifungals：Others,2024.11.22,
21367825,unoprostone,伸乙前列酮酸F2α；伸乙前列酮F2α,Antiglaucoma agents：Prostaglandin analogues,2024.11.22,
21367826,upadacitinib,佑拔逹熄靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367827,valaciclovir,纈非環疱韋爾；纈非環鳥疱韋爾,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,2024.11.22,
21367828,valganciclovir ,伐革巨韋爾；纈鳥裂縮巨韋爾,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,2024.11.22,
21367829,valproate semisodium,丙戊酸半鈉鹽,Anticonvulsants/Antiepileptic drugs (AEDs)：Fatty acids,2024.11.22,
21367830,valproic acid,丙戊酸,Anticonvulsants/Antiepileptic drugs (AEDs)：Fatty acids,2024.11.22,
21367831,valsartan,纈洒坦；纈戊醯四唑拮壓,Antihypertensives：Angiotensin II receptor antagonists (ARBs),2024.11.22,
21367832,vancomycin,萬古菌素；泛抗菌醣肽,Antibiotics：Glycopeptides ,2024.11.22,
21367833,vandetanib,伐撻血管靶泊；鹵哌苯嘧啶血管靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367834,vardenafil,偉達納啡；哌𠯤磺苯新嘌呤,Phosphodiesterase inhibitors：PDE5 inhibitors,2024.11.22,
21367835,velpatasvir,維帕肝韋爾；纈苯甘肝韋爾,Antivirals：Hepatitis C Virus (HCV) non-structural protein 5A (NS5A) inhibitors,2024.11.22,
21367836,vemurafenib,麩速肌靶泊；咯吡磺胺速肌靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367837,venlafaxine,維樂思汀；環己異思汀,Antidepressants：Serotonin–norepinephrine reuptake inhibitor (SNRI),2024.11.22,
21367838,verapamil,維律脈；維律腈苯胺,Antiarrhythmics agents：Class IV antiarrhythmics,2024.11.22,
21367839,vidarabine,腺阿拉伯苷,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,2024.11.22,
21367840,vigabatrin,乙烯胺丁酸,Anticonvulsants/Antiepileptic drugs (AEDs)：Fatty acids,2024.11.22,
21367841,vinblastine,長春花鹼,Antineoplastic agents：Vinca alkaloids,2024.11.22,
21367842,vincristine,甲醯長春花鹼,Antineoplastic agents：Vinca alkaloids,2024.11.22,
21367843,vinorelbine,縮環長春花鹼,Antineoplastic agents：Vinca alkaloids,2024.11.22,
21367844,viomycin,榴紅絲菌素,Antimycobacterials,2024.11.22,
21367845,vismodegib,圍沒蝟因靶泊；吡碸苯醯胺蝟因靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367846,voriconazole,氟剋黴嘧唑 ；氟嘧異剋黴三唑,Antifungals：Azole,2024.11.22,
21367847,vorinostat,苯羥二醯胺；苯羥辛二醯胺,Antineoplastic agents： Histone deacetylase inhibitors,2024.11.22,
21367848,vortioxetine,福諦思汀；二苯硫類思汀,Antidepressants：Serotonin modulators and stimulators (SMS),2024.11.22,
21367849,voxilaprevir,伏息肝韋爾,Antivirals：Protease inhibitors,2024.11.22,
21367850,zalcitabine,胞去二羥苷,Antivirals：Nucleoside analog reverse-transcriptase inhibitors (NARTIs or NRTIs) ,2024.11.22,
21367851,zanamivir,胍唾流感韋爾,Antivirals：Neuraminidase inhibitors,2024.11.22,
21367852,zanubrutinib,紮拏淋靶泊；苯氧烯氫淋靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367853,zidovudine,胸疊氮去羥苷,Antivirals：Nucleoside analog reverse-transcriptase inhibitors (NARTIs or NRTIs) ,2024.11.22,
21367854,zinc pyrithione,羥啶硫酮鋅,Antifungals：Others,2024.11.22,
21367855,zonisamide,異㗁唑磺醯胺,Anticonvulsants/Antiepileptic drugs (AEDs)：Sulfonamides,2024.11.22,
21367856,prednisolone acetate,抗炎醇乙酸酯；去氫皮質醇乙酸酯,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21377957,Leuprorelin,白脯促垂肽；白脯促垂體肽,<p>Agents Related to Pituitary and Hypothalamic Function: Hypothalamic Hormones [Antineoplastic agents]</p>,<p>2024.11.22</p>,
21377958,acemetacin,羧甲吲洒欣,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),2025.2.26,
21377959,acetaminophen,乙醯胺酚,Analgesics & Anesthetics: Other analgesics and antipyretics,2025.2.26,
21377960,acetylsalicylic acid,乙醯水楊酸；阿斯匹林,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),2025.2.26,
21377961,alfentanil,奧唑吩坦尼,Analgesics & Anesthetics: Opioid analgesics,2025.2.26,
21377962,alginic acid,褐藻酸,Drugs for peptic ulcer and gastroesophageal reflux disease: Others,2025.2.26,
21377963,allopurinol,異嘌呤酚,Antigout preparations,2025.2.26,
21377964,alprazolam,奧三唑氮呯；甲三唑氮呯,"<p>Anxiolytics, Sedatives and Hypnotics: Benzodiazepines derivatives</p>",2026.1.27,
21377965,apomorphine,阿朴嗎啡,Anti-Parkinson drugs: Dopaminergic agents,2025.2.26,
21377966,aripiprazole,艾瑞哌喹酮；二氯哌𠯤喹酮,Antipsychotics: Atypical antipsychotics,2025.2.26,
21377967,aspirin,阿斯匹林；乙醯水楊酸 ,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),2025.2.26,
21377968,atracurium besylate,烷酯擬箭毒苯磺酸鹽,Muscle relaxants: Peripherally acting agents [Analgesics & Anesthetics: Neuromuscular Blocking Agents],2025-07-16 00:00:00,
21377969,benserazide,苄絲醯肼,Anti-Parkinson drugs: Dopaminergic agents,2025.2.26,
21377970,benzbromarone,苯溴莫隆；苯呋喃溴酚酮,Antigout preparations,2025.2.26,
21377971,biperiden,雙環羥苄啶；雙環庚烯羥苄啶,Anti-Parkinson drugs: Anticholinergic drugs,2025.2.26,
21377972,bromazepam,溴吡氮呯酮,"Anxiolytics, Sedatives and Hypnotics: Benzodiazepines derivatives",2025.2.26,
21377973,bromocriptine,溴白纈麥角胺,Anti-Parkinson drugs: Dopaminergic agents [Ergot alkaloids and its derivatives],2025.2.26,
21377974,brotizolam,溴噻唑氮呯,"Anxiolytics, Sedatives and Hypnotics: Benzodiazepines derivatives",2025.2.26,
21377975,bupivacaine,丁哌啶卡因,Analgesics & Anesthetics: Local anesthetics,2025.2.26,
21377976,buprenorphine,丁原啡因；環丙啡因,Analgesics & Anesthetics: Opioid analgesics,2025.2.26,
21377977,buspirone,丁螺醯亞胺,"Anxiolytics, Sedatives and Hypnotics: Others",2025.2.26,
21377978,butorphanol,環丁啡醇,Analgesics & Anesthetics: Opioid analgesics,2025.2.26,
21377979,cabergoline,卡泌乳麥角胺,Anti-Parkinson drugs: Dopaminergic agents [Ergot alkaloids and its derivatives],2025.2.26,
21377980,celecoxib,悉樂炎泊,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),2025.2.26,
21377981,cisatracurium besylate,順烷酯擬箭毒苯磺酸鹽,Muscle relaxants: Peripherally acting agents [Analgesics & Anesthetics: Neuromuscular Blocking Agents],2025-07-16 00:00:00,
21377982,clozapine,氯唑氮呯；氯哌𠯤苯氮呯,Antipsychotics: Atypical antipsychotics,2025.2.26,
21377983,codeine,咳定；可待因,Analgesics & Anesthetics: Opioid analgesics,2025.2.26,
21377984,colchicine,秋水仙鹼,Antigout preparations,2025.2.26,
21377985,desflurane,六氟甲乙醚,Analgesics & Anesthetics: General anesthetics,2025.2.26,
21377986,dexlansoprazole,右斂攝苯咪唑；右奧氟苯咪唑,Drugs for peptic ulcer and gastroesophageal reflux disease: Proton pump inhibitors,2025.2.26,
21377987,dexmedetomidine,右三甲苄咪唑,"Anxiolytics, Sedatives and Hypnotics: Others",2025.2.26,
21377988,dibismuth trioxide,三氧化二鉍 ,Drugs for peptic ulcer and gastroesophageal reflux disease: Others,2025.2.26,
21377989,diclofenac,二氯吩；二氯苯胺苯乙酸,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),2025.2.26,
21377990,diflunisal,二氟苯水楊酸；二氟苯柳酸,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),2025.2.26,
21377991,entacapone,恩達帕朋；反氰硝咖啡醯胺,Anti-Parkinson drugs: Dopaminergic agents,2025.2.26,
21377992,ergometrine,麥角新鹼,Uterine Stimulants [Ergot alkaloids and its derivatives],2025.2.26,
21377993,ergonovine,麥角新鹼,Uterine Stimulants [Ergot alkaloids and its derivatives],2025.2.26,
21377994,ergotamine,麥角胺,Analgesics & Anesthetics: Antimigraine preparations,2025.2.26,
21377995,esomeprazole,右奧甲酚咪唑,Drugs for peptic ulcer and gastroesophageal reflux disease: Proton pump inhibitors,2025.2.26,
21377996,estazolam,氯唑氮呯,"Anxiolytics, Sedatives and Hypnotics: Benzodiazepines derivatives",2025.2.26,
21377997,eszopiclone,右唑吡酮；右吡𠯤吡咯酮酯,"Anxiolytics, Sedatives and Hypnotics: Z-drugs",2025.2.26,
21377998,etomidate,依托咪酯；甲苄咪酯,Analgesics & Anesthetics: General anesthetics,2025.2.26,
21377999,etoricoxib,依妥炎泊,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),2025.2.26,
21378000,febuxostat,苯丁司坦；苯丁醚噻唑酸,Antigout preparations,2025.2.26,
21378001,fentanyl,吩坦尼,Analgesics & Anesthetics: Opioid analgesics,2025.2.26,
21378002,flunitrazepam,氟硝氮呯酮,"Anxiolytics, Sedatives and Hypnotics: Benzodiazepines derivatives",2025.2.26,
21378003,flupentixol,扶偏調思；氟硫𭈻醇,Antipsychotics: Typical antipsychotics,2025.2.26,
21378004,fluphenzaine,氟羥吩𠯤；氟苯噻哌𠯤醇,Antipsychotics: Typical antipsychotics,2025.2.26,
21378005,haloperidol,鹵哌啶醇 ,Antipsychotics: Typical antipsychotics,2025.2.26,
21378006,hydromorphone,氫嗎啡酮,Analgesics & Anesthetics: Opioid analgesics,2025.2.26,
21378007,hydrotalcite,水滑石；菱水鎂鋁石,Drugs for peptic ulcer and gastroesophageal reflux disease: Others,2025.2.26,
21378008,ibuprofen,異丁炎息；異丁苯丙酸 ,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),2025.2.26,
21378009,Indometacin,吲哚甲洒欣,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),2025.2.26,
21378010,indomethacin,吲哚甲洒欣,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),2025.2.26,
21378011,isoflurane,氯五氟甲乙醚 ,Analgesics & Anesthetics: General anesthetics,2025.2.26,
21378012,ketorolac,克妥落；酮吡𫩒洒欣,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),2025.2.26,
21378013,lansoprazole,斂攝苯咪唑；奧氟苯咪唑,Drugs for peptic ulcer and gastroesophageal reflux disease: Proton pump inhibitors,2025.2.26,
21378014,levobupivacaine,左丁哌啶卡因,Analgesics & Anesthetics: Local anesthetics,2025.2.26,
21378015,levodopa,左多巴,Anti-Parkinson drugs: Dopaminergic agents,2025.2.26,
21378016,lithium carbonate,碳酸鋰,Antipsychotics: Antimanic,2025.2.26,
21378017,lysine acetylsalicylate,乙醯水楊酸離胺酸鹽,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),2025.2.26,
21378018,lysine aspirin,乙醯水楊酸離胺酸鹽,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),2025.2.26,
21378019,meloxicam,美炎剋 ,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),2025.2.26,
21378020,meperidine,甲哌苯酯；配西汀,Analgesics & Anesthetics: Opioid analgesics,2025.2.26,
21378021,morphine,嗎啡,Analgesics & Anesthetics: Opioid analgesics,2025.2.26,
21378022,nalbuphine,環丁羥嗎啡,Analgesics & Anesthetics: Opioid analgesics,2025.2.26,
21378023,naproxen,萘炎息；甲氧萘丙酸,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),2025.2.26,
21378024,olanzapine,沃唑噻氮呯；哌𠯤噻吩氮呯,Antipsychotics: Atypical antipsychotics,2025.2.26,
21378025,omeprazole,奧甲酚咪唑,Drugs for peptic ulcer and gastroesophageal reflux disease: Proton pump inhibitors,2025.2.26,
21378026,oxazolam,㗁唑氮呯酮,"Anxiolytics, Sedatives and Hypnotics: Benzodiazepines derivatives",2025.2.26,
21378027,oxetacaine,羥乙雙卡因,Analgesics & Anesthetics: Local anesthetics,2025.2.26,
21378028,oxethazaine,羥乙雙卡因,Analgesics & Anesthetics: Local anesthetics,2025.2.26,
21378029,oxycodone,羥可酮；羥氫可待因酮,Analgesics & Anesthetics: Opioid analgesics,2025.2.26,
21378030,paliperidone,帕利羥嘧酮 ,Antipsychotics: Atypical antipsychotics,2025.2.26,
21378031,pantoprazole,泛妥苯咪唑,Drugs for peptic ulcer and gastroesophageal reflux disease: Proton pump inhibitors,2025.2.26,
21378032,paracetamol,乙醯胺酚,Analgesics & Anesthetics: Other analgesics and antipyretics,2025.2.26,
21378033,pegloticase,重組豚尿酸酶^聚乙二醇,Antigout preparations,2025.2.26,
21378034,PEGylated recombinant porcine-like uricase,重組豬尿酸酶^聚乙二醇,Antigout preparations,2025.2.26,
21378035,pethidine,配西汀；甲哌苯酯,Analgesics & Anesthetics: Opioid analgesics,2025.2.26,
21378036,pramipexole,丙胺環己噻唑,Anti-Parkinson drugs: Dopaminergic agents,2025.2.26,
21378037,propofol,二異丙酚,Analgesics & Anesthetics: General anesthetics,2025.2.26,
21378038,rabeprazole,銳泊苯咪唑 ,Drugs for peptic ulcer and gastroesophageal reflux disease: Proton pump inhibitors,2025.2.26,
21378039,rasagiline ,右丙炔茚胺,Anti-Parkinson drugs: Dopaminergic agents,2025.2.26,
21378040,rasburicase,重組麴尿酸酶,Antigout preparations,2025.2.26,
21378041,remifentanil,瑞吩坦尼酯,Analgesics & Anesthetics: Opioid analgesics,2025.2.26,
21378042,risperidone,睿思嘧酮,Antipsychotics: Atypical antipsychotics,2025.2.26,
21378043,Rocuronium bromide,若箭毒溴鹽；𠰌(啉)固醇吡咯錠溴鹽,Muscle relaxants: Peripherally acting agents [Analgesics & Anesthetics: Neuromuscular Blocking Agents],2025-09-19 00:00:00,
21378044,ropinirole,丙胺乙吲酮,Anti-Parkinson drugs: Dopaminergic agents,2025.2.26,
21378045,rotigotine,左噻吩羥萘胺,Anti-Parkinson drugs: Dopaminergic agents,2025.2.26,
21378046,salicylic Acid ,柳酸；水楊酸,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),2025.2.26,
21378047,sevoflurane,七氟甲丙醚,Analgesics & Anesthetics: General anesthetics,2025.2.26,
21378048,succinylcholine chloride,丁二醯膽鹼氯鹽；琥珀醯膽鹼氯鹽,Muscle relaxants: Peripherally acting agents [Analgesics & Anesthetics: Neuromuscular Blocking Agents],2025.2.26,
21378049,sulcralfate,糖硫酸鋁酯；蔗糖全硫酸鋁酯 ,Drugs for peptic ulcer and gastroesophageal reflux disease: Others,2025.2.26,
21378050,sulfinpyrazone,亞碸吡唑酮；亞碸吡唑啶二酮,Antigout preparations,2025.2.26,
21378051,sumatriptan,磺胺甲色胺,Analgesics & Anesthetics: Antimigraine preparations,2025.2.26,
21378052,suxamethonium chloride,丁二醯膽鹼氯鹽；琥珀醯膽鹼氯鹽,Analgesics & Anesthetics: Neuromuscular Blocking Agents,2025.2.26,
21378053,tenoxicam,天諾炎剋,Analgesics & Anesthetics: Nonsteroidal anti-inflammatory drugs (NSAIDs),2025.2.26,
21378054,thiamylal,硫戊丙烯妥,Analgesics & Anesthetics: General anesthetics,2025.2.26,
21378055,tramadol,促嗎醇；甲酚羥環己胺,Analgesics & Anesthetics: Opioid analgesics,2025.2.26,
21378056,trifluoperazine ,三氟吩𠯤；氟苯噻哌𠯤,Antipsychotics: Typical antipsychotics,2025.2.26,
21378057,tripotassium dicitrate bismuthate,雙檸檬酸鉍三鉀鹽,Drugs for peptic ulcer and gastroesophageal reflux disease: Others,2025.2.26,
21378058,zaleplon,唑嘧腈；氰唑嘧啶醯胺,"Anxiolytics, Sedatives and Hypnotics: Z-drugs",2025.2.26,
21378059,zolpidem,唑吡坦；咪唑吡啶醯胺,"Anxiolytics, Sedatives and Hypnotics: Z-drugs",2025.2.26,
21378060,zopiclone,唑吡酮；吡𠯤吡咯酮酯,"Anxiolytics, Sedatives and Hypnotics: Z-drugs",2025.2.26,
21378061,(11-)deoxycorticosterone,皮質固烴,Adrenal Corticosteroids：Mineralocorticoids,2025.5.27,
21378062,21-hydroxyprogesterone,皮質固烴,Adrenal Corticosteroids：Mineralocorticoids,2025.5.27,
21378063,abatacept,艾拔融截炎,Anti-rheumatic Agents：Biological DMARDs,2025.5.27,
21378064,acipimox,羧氧化吡𠯤,Lipid modifying agents：Nicotinic acid and derivatives,2025.5.27,
21378065,adalimumab,艾達炎單抗,Anti-rheumatic Agents：Biological DMARDs,2025.5.27,
21378066,alirocumab,艾利脂單抗,Lipid modifying agents：Proprotein Convertase Subtilisin Kexin Type 9 (PCSK9) Inhibitors,2025.5.27,
21378067,amcinonide,皮質醇酯縮戊酮；氟羥皮質醇乙酸酯縮環戊酮,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378068,apixaban,奧庇抑凝因,Antithrombotic agents：Direct factor Xa inhibitors,2025.5.27,
21378069,arginine vasopressin,精胺酸升壓肽,Agents Related to Pituitary and Hypothalamic Function: Posterior Pituitary Hormones,2025.5.27,
21378070,argipressin,精胺酸升壓肽,Agents Related to Pituitary and Hypothalamic Function: Posterior Pituitary Hormones,2025.5.27,
21378071,atorvastatin,奧妥脂汀；氟吡咯脂汀,Lipid modifying agents：HMG-CoA reductase inhibitors,2025.5.27,
21378072,beclometasone,表甲氯抑炎醇；表甲氯去氫皮質醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378073,beclomethasone,表甲氯抑炎醇；表甲氯去氫皮質醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378074,beclomethasone dipropionate,表甲氯抑炎醇二丙酸酯；表甲氯去氫皮質醇二丙酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378075,bempedoic acid,羥次甲雙壬酸,Lipid modifying agents：Other lipid modifying agents,2025.5.27,
21378076,betamethasone,表甲抑炎醇；表甲氟去氫皮質醇,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378077,betamethasone benzoate,表甲抑炎醇苯甲酸酯；表甲氟去氫皮質醇苯甲酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378078,betamethasone dipropionate,表甲抑炎醇二丙酸酯；表甲氟去氫皮質醇二丙酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378079,betamethasone valerate,表甲抑炎醇戊酸酯；表甲氟去氫皮質醇戊酸酯,Adrenal Corticosteroids：Methasone-type (16-methylated),2025.5.27,
21378080,bezafibrate,苯醯胺纖維酸,Lipid modifying agents：Fibrates,2025.5.27,
21378081,budesonide,羥抗炎醇縮丁醛；羥去氫皮質醇縮丁醛,Adrenal Corticosteroids: Glucocorticoids,2025.5.27,
21378082,carbetocin,卡倍催產素；胱去胺硫催產肽,Agents Related to Pituitary and Hypothalamic Function: Posterior Pituitary Hormones,2025.5.27,
21378083,cholestyramine,膽泰安；聚乙烯苯甲銨,Lipid modifying agents：Bile acid sequestrants,2025.5.27,
