ID,英文詞彙,中文詞彙,藥理分類,審定日期,更新日期
21367153,butenafine,丁苄萘胺,Antifungals：Allylamines,2024.11.22,
21367154,butoconazole,丁硫剋黴唑；丁硫異剋黴唑,Antifungals：Azole,2024.11.22,
21367155,cabazitaxel,胺甲酯紫杉醇,Antineoplastic agents：Taxanes,2024.11.22,
21367156,cabotegravir,卡搏嵌韋爾,Antivirals：Integrase inhibitors,2024.11.22,
21367157,cabozantinib,卡搏腎靶泊；氟喹環丙醯胺腎靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367158,caffeine ,咖啡因；咖啡鹼,Phosphodiesterase inhibitors：Methylated xanthines,2024.11.22,
21367159,candesartan,能達洒坦；四唑環己酯拮壓,Antihypertensives：Angiotensin II receptor antagonists (ARBs),2024.11.22,
21367160,candesartan cilexetil,能達洒坦碳酸酯；四唑環己酯拮壓碳酸酯,Antihypertensives：Angiotensin II receptor antagonists (ARBs),2024.11.22,
21367161,capecitabine,戊酯氟胞去羥苷,Antineoplastic agents：Antimetabolites,2024.11.22,
21367162,capmatinib,蓋滅肺靶泊；氟苯喹咪四唑肺靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367163,captopril,開拓壓利；硫丁醯脯胺酸,Antihypertensives：Angiotensin-converting enzyme (ACE) inhibitors,2024.11.22,
21367164,carbachol,胺甲酸膽鹼酯氯鹽,Antiglaucoma agents：Muscarinic acetylcholine receptors agonists,2024.11.22,
21367165,carbamazepine,胺甲醯氮呯,Anticonvulsants/Antiepileptic drugs (AEDs)：Carboxamides,2024.11.22,
21367166,carbenicillin,羧苄西林,Antibiotics：Penicillins,2024.11.22,
21367167,carbinoxamine,吡氯苄醚胺,Antihistamines：H1-antihistamines,2024.11.22,
21367168,carboplatin,氨配羧鉑,Antineoplastic agents：Alkylating agents,2024.11.22,
21367169,carboprost,甲前列酸F2α,Prostaglandin analogues that are not used to treat glaucoma,2024.11.22,
21367170,carfilzomib,卡斐蛋酶靶泊；氧𠰂𠰌苯丁蛋酶靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367171,carmustine,亞硝脲芥,Antineoplastic agents：Alkylating agents,2024.11.22,
21367172,carteolol,心貼落；喹酮丁洛,Antihypertensives：Adrenergic agents [Antiglaucoma agents：β-adrenergic blocking agents],2024.11.22,
21367173,carvedilol,心維落；咔唑癒創醚洛,Antihypertensives：Adrenergic agents [Antiarrhythmics agents：Class II antiarrhythmics],2024.11.22,
21367174,caspofungin,棕醯棘白黴素,Antifungals：Echinocandins,2024.11.22,
21367175,cefaclor,頭孢氯苄胺,Antibiotics：Cephems,2024.11.22,
21367176,cefadroxil,頭孢酚胺,Antibiotics：Cephems,2024.11.22,
21367177,cefalexin; cephalexin,頭孢苄胺,Antibiotics：Cephems,2024.11.22,
21367178,cefalotin; cephalothin,頭孢噻吩；頭孢乙醯噻吩,Antibiotics：Cephems,2024.11.22,
21367179,cefamandole; cefamandole nafate,頭孢杏醯唑；頭孢杏仁醯四唑,Antibiotics：Cephems,2024.11.22,
21367180,cefapirin; cephapirin,頭孢硫啶；頭孢乙醯硫啶,Antibiotics：Cephems,2024.11.22,
21367181,cefatrizine,頭孢三唑；頭孢三唑酚胺,Antibiotics：Cephems,2024.11.22,
21367182,cefazolin,頭孢噻四唑,Antibiotics：Cephems,2024.11.22,
21367183,cefepime,頭孢咯錠肟,Antibiotics：Cephems,2024.11.22,
21367184,cefixime,頭孢羧肟；頭孢乙烯羧肟,Antibiotics：Cephems,2024.11.22,
21367185,cefmenoxime,頭孢四唑肟,Antibiotics：Cephems,2024.11.22,
21367186,cefmetazole,頭孢醚氰硫唑,<p>Antibiotics：Cephems</p>,<p>2024.11.22</p>,
21367187,cefonicid,頭孢杏唑磺酸；頭孢杏醯唑磺酸,Antibiotics：Cephems,2024.11.22,
21367188,cefoperazone,頭孢唑哌𠯤酮,Antibiotics：Cephems,2024.11.22,
21367189,cefotaxime,頭孢醯噻唑肟,Antibiotics：Cephems,2024.11.22,
21367190,cefotetan,頭孢醚硫呾；頭孢醚唑硫呾,Antibiotics：Cephems,2024.11.22,
21367191,cefotiam,頭孢噻唑胺；頭孢唑硫噻唑,Antibiotics：Cephems,2024.11.22,
21367192,cefoxitin,頭孢醚噻吩；頭孢醚胺酯噻吩,Antibiotics：Cephems,2024.11.22,
21367193,cefpirome,頭孢環戊鈚肟,Antibiotics：Cephems,2024.11.22,
21367194,cefpodoxime,頭孢醚噻唑肟,Antibiotics：Cephems,2024.11.22,
21367195,cefprozil,頭孢丙酚胺；頭孢丙烯酚胺,Antibiotics：Cephems,2024.11.22,
21367196,cefsulodin,頭孢磺酸鈚,Antibiotics：Cephems,2024.11.22,
21367197,ceftaroline,頭孢鈚噻唑膦肟,Antibiotics：Cephems,2024.11.22,
21367198,ceftaroline fosamil,膦醯頭孢鈚噻唑膦肟,Antibiotics：Cephems,2024.11.22,
21367199,ceftazidime,頭孢鈚噻唑羧肟,Antibiotics：Cephems,2024.11.22,
21367200,ceftibuten,頭孢噻唑烯酸,Antibiotics：Cephems,2024.11.22,
21367201,ceftizoxime,頭孢噻唑肟,Antibiotics：Cephems,2024.11.22,
21367202,ceftolozane,頭孢胺銼肟,Antibiotics：Cephems,2024.11.22,
21367203,ceftriaxone,頭孢肟三𠯤酮,Antibiotics：Cephems,2024.11.22,
21367204,cefuroxime,頭孢呋肟；頭孢胺酯呋肟,Antibiotics：Cephems,2024.11.22,
21367205,cephradine; cefradine,頭孢氫苄胺,Antibiotics：Cephems,2024.11.22,
21367206,ceritinib,卸銳肺靶泊；哌啶碸苯嘧啶肺靶泊,Antineoplastic agents：Protein kinase inhibitor,2024.11.22,
21367207,cetirizine,羧醚氯哌𠯤,Antihistamines：H1-antihistamines,2024.11.22,
21367208,cetrorelix,歇衝抑釋性肽 ；瓜酪精抑釋性肽 ,Antineoplastic agents： Hormonal Agents,2024.11.22,
21367209,cetuximab,舒妥嵌單抗,Antineoplastic agents：Monoclonal antibodies,2024.11.22,
21367210,chlorambucil ,羧丁苯氮芥,Antineoplastic agents：Alkylating agents,2024.11.22,
21367211,chloramphenicol,氯絲菌素,Antibiotics：Others,2024.11.22,
21367212,chloroquine,氯喹；戊二胺氯喹,Antiparasitics：Antiprotozoals,2024.11.22,
21367213,chlorothiazide,氯苯磺𠯤,Antihypertensives：Diuretics,2024.11.22,
21367214,chlorphenesin,氯酚甘油醚 ,Antifungals：Others,2024.11.22,
21367215,chlorpheniramine,氯苯安明；氯苯吡丙胺,Antihistamines：H1-antihistamines,2024.11.22,
21367216,chlorpromazine,氯丙苯噻𠯤 ；氯胺丙苯噻𠯤,Antiemetics：Dopamine antagonist,2024.11.22,
21367217,chlortalidone,氯磺異吲酮；氯苯磺醯胺異吲酮,Antihypertensives：Diuretics,2024.11.22,
21367218,chlortetracycline,氯四環素,Antibiotics：Tetracyclines,2024.11.22,
21367219,ciclopirox,環己吡啶酮；環己羥吡啶酮,Antifungals：Others,2024.11.22,
21367220,cidofovir,賜達巨韋爾；胞膦巨韋爾,Antivirals：Nucleosides and nucleotides EXCL. reverse transcriptase inhibitors: bicyclic heterocycle compounds,2024.11.22,
21367221,Cilostazol,環己喹酮唑；環己四唑喹酮,<p>Antithrombotic agents：Platelet aggregation inhibitors [Phosphodiesterase inhibitors：PDE3 inhibitors] [Cardiotonic agents]</p>,<p>2024.11.22</p>,
21367222,cimetidine,息弭抗組胺；氰胍咪唑硫醚,Antihistamines：H2-antihistamines,2024.11.22,
21367223,cinoxacin,新諾洒欣 ；㗁㖕啉酮酸,Antibiotics：Quinolones/Fluoroquinolones,2024.11.22,
