ID,英文名稱,中文名稱,圖片,備註,更新日期
2721475,branching ratio,分支比,,太空名詞,2016-10-24
2721476,break-up sector,[極光]崩離區間,,太空名詞,2016-10-24
2721477,Breit and Tuve's theorem,伯特圖威定律,,太空名詞,2016-10-24
2721478,bremsstrahlung,致動輻射； 軔致輻射,,太空名詞,2016-10-24
2721479,bright limb,亮邊緣,,太空名詞,2016-10-24
2721480,bright points,亮點,,太空名詞,2016-10-24
2721481,bright ring,亮環,,太空名詞,2016-10-24
2721482,brightness,亮度,,太空名詞,2016-10-24
2721483,brightness coefficient,亮度係數,,太空名詞,2016-10-24
2721484,brightness temperature,亮度溫度； 亮溫,,太空名詞,2016-10-24
2721485,broad band,寬譜帶,,太空名詞,2016-10-24
2721486,broadcasting satellite,廣播衛星,,太空名詞,2016-10-24
2721487,bulk composition,整體成份,,太空名詞,2016-10-24
2721488,bulk motion,整體運動,,太空名詞,2016-10-24
2721489,bulk velocity,整體速度,,太空名詞,2016-10-24
2721490,buoyancy effect,浮力效應,,太空名詞,2016-10-24
2721491,burnout altitude,燃盡高度,,太空名詞,2016-10-24
2721492,burst,爆發,,太空名詞,2016-10-24
2721493,bus,衛星本體,,太空名詞,2016-10-24
2721494,butterfly diagram,蝶形圖{太陽黑子},,太空名詞,2016-10-24
2721495,absolute blackbody,絕對黑體,,航空名詞,2016-10-24
2721496,accelerometer,加速表；加速儀,,航空名詞,2016-10-24
2721497,aerial photograph,空中照相；空中攝影,,航空名詞,2016-10-24
2721498,aerial remote sensing technology,航空遙測技術,,航空名詞,2016-10-24
2721499,aero-optical effect,氣動光學效應,,航空名詞,2016-10-24
2721500,aerospace,航太；航空太空,,航空名詞,2016-10-24
2721501,air bearing gyroscope,充氣軸承陀螺儀,,航空名詞,2016-10-24
2721502,air-launched launch vehicle,空中發射載具,,航空名詞,2016-10-24
2721503,angular accelerometer,角加速計,,航空名詞,2016-10-24
2721504,arcing discharge,電弧放電,,航空名詞,2016-10-24
2721505,ascending phase,上升段,,航空名詞,2016-10-24
2721506,ascending/descending node,升/降交點,,航空名詞,2016-10-24
2721507,aspect ratio,展弦比,,航空名詞,2016-10-24
2721508,astronautical engineering,太空工程,,航空名詞,2016-10-24
2721509,atmospheric spaceflight environment,太空飛行大氣環境,,航空名詞,2016-10-24
2721510,attitude and heading reference system,姿態航向參考系統,,航空名詞,2016-10-24
2721511,attitude hold,姿態保持,,航空名詞,2016-10-24
2721512,attitude maneuver of spacecraft,太空船姿態操控,,航空名詞,2016-10-24
2721513,attitude trim,姿態調整,,航空名詞,2016-10-24
2721514,autonomous navigation,自主導航；自律導航,,航空名詞,2016-10-24
2721515,biological effect of space radiation,太空輻射生物效應,,航空名詞,2016-10-24
2721516,blackout area,無訊號區,,航空名詞,2016-10-24
2721517,broadcasting satellite,廣播衛星,,航空名詞,2016-10-24
2721518,balloon,氣球,,航空名詞,2016-10-24
2926741,canonical equation,正則方程,,,2017-04-11
2926742,carrier frequency,載頻；載波頻率,,,2017-04-11
2926743,cascade,級聯,,,2017-04-11
2926744,cavity,空腔,,,2017-04-11
2926745,celestial body,天體,,,2017-04-11
2926746,celestial equator,天球赤道,,,2017-04-11
2926747,celestial inertial guidance,天文慣性導引,,,2017-04-11
2926748,celestial latitude,黃緯,,,2017-04-11
2926749,celestial longitude,黃經,,,2017-04-11
2926750,celestial mechanics,天體力學,,,2017-04-11
2926751,celestial meridian,天球子午圈,,,2017-04-11
2926752,celestial navigation,天體導航,,,2017-04-11
2926753,celestial pole,天極,,,2017-04-11
2926754,celestial sphere,天球,,,2017-04-11
2926755,center of gyration,迴旋中心,,,2017-04-11
2926756,center of mass,質量中心； 質心,,,2017-04-11
2926757,centi-bar,厘巴,,,2017-04-11
2926758,centrifugal force,離心力,,,2017-04-11
2926759,caceium clock,銫鐘,,,2017-04-11
2926760,calcium flocculus,鈣譜斑,,,2017-04-11
2926761,calibration,校準；校正,,,2017-04-11
2926762,candela,燭光{光強度},,,2017-04-11
2926763,canonical coordinates,正則坐標,,,2017-04-11
2926764,canonical transformation,正則變換,,,2017-04-11
2926765,cap prominence,冠狀日珥,,,2017-04-11
2926766,Cape Canaveral,卡納維彌爾角,,,2017-04-11
2926767,capture,捕獲,,,2017-04-11
2926768,capture cross-section,捕獲截面,,,2017-04-11
2926769,carbon cycle,碳循環,,,2017-04-11
2926770,carrier wave,載波,,,2017-04-11
2926771,Carrington meridian,卡林頓子午線,,,2017-04-11
2926772,Cartesian coordinates,直角坐標；笛卡兒坐標,,,2017-04-11
2926773,cascade shower,級聯射叢,,,2017-04-11
2926774,Cassegrain antenna,卡塞格林天線,,,2017-04-11
2926775,cavity resonances,空腔共振,,,2017-04-11
2926776,celestial background,天體背景,,,2017-04-11
