ID,英文名稱,中文名稱,圖片,類號,化學式,更新日期
454351,sodium trifluoroborate {sodium trifluorohydroxoborate},三氟硼酸鈉 {三氟羥硼酸鈉},,化學化合物,"<Font html:Color=""#000000"">Na[BF</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">(OH)]</Font>",2012-11-26
454352,sodium tetraphenylborate {sodium tetraphenylboron},四苯硼酸鈉 {四苯硼鈉},,化學化合物,"<Font html:Color=""#000000"">Na[B(C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">5</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">]</Font>",2012-11-26
508725,sodium tetrafluoroborate,四氟硼酸鈉,,化學化合物,"<Font html:Color=""#000000"">NaBF</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
508726,sodium tetraethylborate,四乙硼酸鈉,,化學化合物,"<Font html:Color=""#000000"">Na[B(C2H5)</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">]</Font>",2012-11-26
508727,sodium tetraborate peroxohydrate,四硼酸鈉過氧水合物,,化學化合物,"<Font html:Color=""#000000"">Na</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub><Font html:Color=""#000000"">·H</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">·9H</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font>",2012-11-26
508730,sodium pyroborate {sodium borate},焦硼酸鈉,,化學化合物,"<Font html:Color=""#000000"">Na</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
508731,sodium borate {sodium tetraborate},硼酸鈉,,化學化合物,"<Font html:Color=""#000000"">Na</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
508732,sodium tetraborate {sodium borate},四硼酸鈉,,化學化合物,"<Font html:Color=""#000000"">Na</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">7</Font></Sub>",2012-11-26
508734,sodium peroxoborate; sodium peroxyborate {sodium perborate},過氧硼酸鈉 {過硼酸鈉},,化學化合物,"<Font html:Color=""#000000"">NaBO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub>",2012-11-26
508735,sodium octaborate,八硼酸鈉,,化學化合物,"<Font html:Color=""#000000"">Na</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">B</Font><Sub><Fonthtml:Color=""#000000"">8</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">13</Font></Sub>",2012-11-26
