ID,英文名稱,中文名稱,圖片,中國大陸譯名,國籍,專長,生歿年,更新日期
3541125,"Leichtentritt, Hugo",萊希田特利特,,萊希腾特利特,德國,作曲,1874-1951,2018-05-30
3541126,"Leider, Frida",萊德,,莱德,德國,女高音,1888-1975,2018-05-30
3541127,"Leifs, Jón",萊弗斯,,莱夫斯,冰島,作曲,1899-1968,2018-05-30
3541128,"Leinsdorf, Erich",萊因斯朵夫,,莱因斯多夫,美國,指揮,1912-1993,2018-05-30
3541129,"Leitner, Ferdinand",萊特納,,莱特纳,德國,指揮家,1912-1996,2018-05-30
3541130,"Lekeu, Guillaume",勒克,,勒克,比利時,作曲,1870-1894,2018-05-30
3541131,"Lemnitz, Tiana",雷姆尼次,,莱姆尼茨,德國,女高音,1897-1994,2018-05-30
3541132,"Lentz, Georges",連次，喬治,,伦茨，乔治,盧森堡,作曲,1965-,2018-05-30
3541133,"Lentz, Johan Nicolaas",連次，約翰,,伦茨，约翰,德國,作曲,1720-1782,2018-05-30
3541134,"Lenya, Lotte",連雅,,莱尼亚,美國,女高音,1898-1981,2018-05-30
3541135,"Leoncavallo, Ruggero",雷昂卡發洛,,莱昂卡伐洛,義大利,作曲,1857-1919,2018-05-30
3541136,"Leonhardt, Gustav",雷昂哈特,,莱昂哈特,荷蘭,大鍵琴；管風琴,1928-2012,2018-05-30
3541137,"Leppard, Raymond",雷帕德,,莱帕德,英國,指揮,1927-,2018-05-30
3541138,"Leroux, Xavier",勒如,,勒鲁,法國,作曲,1863-1919,2018-05-30
3541139,"Lescazes, Emmanuel de",雷卡茲,,雷卡兹,法國,作曲,1847-1931,2018-05-30
3541140,"Leschetizky, Theodor",雷協悌茲基,,勒谢蒂兹基,波蘭,鋼琴；鋼琴教育；作曲,1830-1915,2018-05-30
3541141,"Leslie, Henry David",雷斯利,,莱斯利,英國,指揮；作曲,1822-1896,2018-05-30
3541142,"Lesueur, Jean-François",勒敘爾,,勒絮厄尔,法國,作曲,1760-1837,2018-05-30
3541143,"Levant, Oscar",雷萬特,,列万特,美國,鋼琴；作曲,1906-1972,2018-05-30
3541144,"Lewenthal, Raymond",勒文特,,勒文索,美國,鋼琴,1926-1988,2018-05-30
3541145,"Leygraf, Hans",雷格拉夫,,莱格拉夫,瑞典,鋼琴；作曲,1920-2011,2018-05-30
3541146,"Lhevinne, Josef",勒溫，約瑟夫,,列维涅，约瑟夫,俄國,鋼琴；鋼琴教育,1874-1944,2018-05-30
3541147,"Lhevinne, Rosina",勒溫，羅西娜,,列维涅，罗西娜,俄國,鋼琴；鋼琴教育,1880-1976,2018-05-30
3541148,"Liapunov, Serge",李亞普諾夫,,利亚普诺夫,俄國,作曲；鋼琴；指揮,1859-1924,2018-05-30
3541149,"Lidholm, Ingvar",李德霍姆,,利德霍尔姆,瑞典,作曲,1921- 2017,2018-05-30
3541150,"Liebermann, Lowell",李伯曼，羅維爾,,利伯曼,美國,作曲,1961-,2018-05-30
3541151,"Ligeti, Győrgy",李蓋悌,,利盖蒂,匈牙利,作曲,1923-2006,2018-05-30
3541152,"Lilburn, Douglas Gordon",李爾本,,利尔伯恩,紐西蘭,作曲,1915-2001,2018-05-30
3541153,"Lill, John",李爾，約翰,,利尔,英國,鋼琴,1944-,2018-05-30
3541154,"Lindberg, Magnus",林德貝里，馬格努斯,,林德贝里，马格努斯,芬蘭,作曲,1958-,2018-05-30
3541155,"Lindberg, Oskar",林德貝里，奧斯卡,,林德贝里，奥斯卡,瑞典,作曲,1887-1955,2018-05-30
3541156,"Lipatti, Dinu",李帕悌,,利帕蒂,羅馬尼亞,鋼琴；作曲,1917-1950,2018-05-30
3541157,"Lipinski, Carl Joseph",李平斯基,,利平斯基,波蘭,小提琴,1790-1861,2018-05-30
3541158,"Liszt, Franz(Ferenc)",李斯特,,李斯特,匈牙利,鋼琴；作曲,1811-1886,2018-05-30
3541159,"Litolff, Henry Charles",李托夫,,利托尔夫,法國,鋼琴；作曲,1818-1891,2018-05-30
3541160,"Lloyd Webber, Andrew",洛伊德˙韋伯,,劳埃德·韦伯,英國,作曲,1948-,2018-05-30
3541161,"Locatelli, Pietro Antonio",羅卡泰里,,洛卡泰利,義大利,小提琴；作曲,1695-1764,2018-05-30
3541162,"Lockspeiser, Edward",洛克斯百瑟,,洛克斯皮泽,英國,音樂學,1905-1973,2018-05-30
3541163,"Loewe, Karl",勒韋，卡爾,,勒韦,德國,作曲；男高音,1796-1869,2018-05-30
3541164,"Long, Marguerite",隆,,隆,法國,鋼琴,1874-1966,2018-05-30
3541165,"Longo, Alexandro",隆戈,,隆哥,義大利,鋼琴；作曲,1864-1945,2018-05-30
3541166,"Lopes-Graça, Fernando",羅培斯－葛拉薩,,洛佩斯-格拉萨,葡萄牙,作曲；鋼琴；音樂學,1906-1994,2018-05-30
3541167,"Lorenz, Max",羅連茲,,洛伦茨,德國,男高音,1901-1975,2018-05-30
3541168,"Loriod, Yvonne",羅莉歐,,洛里奥,法國,鋼琴,1924-2010,2018-05-30
3541169,"Lortie, Louis",洛悌,,洛蒂,加拿大,鋼琴,1959-,2018-05-30
3541170,"Lortzing, Gustav Albert",羅慶,,洛青,德國,作曲,1801-1851,2018-05-30
3541171,"Los Ángeles, Victoria de",羅斯·安赫莉絲,,洛斯·安赫莱斯,西班牙,女高音,1923-2005,2018-05-30
3541172,"Lotti, Antonio",洛悌,,洛蒂,義大利,作曲,1667-1740,2018-05-30
3541173,"Loughran, James",洛格倫,,洛克伦,英國,指揮,1931-,2018-05-30
3541174,"Lübeck, Vincent",呂貝克,,吕贝克,德國,作曲,1654-1740,2018-05-30
3541175,"Luca, Giuseppe de",盧卡,,卢卡,義大利,男中音,1876-1950,2018-05-30
3541176,"Lucchinetti, Giovanni Bernardo",路基內悌,,鲁基内悌,義大利,作曲,1730-1801,2018-05-30
3541177,"Ludwig, Christa",路德維希，克麗絲塔,,路德维希，克丽丝塔,德國,次女高音,1928-,2018-05-30
3541178,"Ludwig, Friedrich",路德維希，弗里德利希,,路德维希，弗里德利希,德國,音樂學,1872-1930,2018-05-30
3541179,"Ludwig, Leopold",路德維希，雷歐波德,,路德维希，雷欧波德,奧地利,指揮,1908-1979,2018-05-30
3541180,"Lully, Jean-Baptiste (Lulli, Giovanni Battista)",盧利,,吕利,法國,作曲；小提琴,1632-1687,2018-05-30
3541181,"Lupu, Radu",盧普,,卢普,羅馬尼亞,鋼琴,1945-,2018-05-30
3541182,"Luther, Martin",路德,,路德,德國,作曲,1483-1546,2018-05-30
3541183,"Lutosławski, Witold",盧托斯瓦夫斯基,,卢托斯瓦夫斯基,波蘭,作曲；指揮,1913-1994,2018-05-30
3541184,"Lutz-Rijeka, Wilhelm",盧茲里耶卡,,卢茲-里耶卡,克羅埃西亞,作曲,1955-,2018-05-30
3541185,"Lyadov, Anatolii","李亞朵夫,安納托利",,利亚朵夫,俄國,作曲,1855-1914,2018-05-30
3541186,"Lyadov, Konstantin",李亞朵夫，康斯坦丁,,利亚朵夫，康斯坦丁,俄國,指揮,1820-1868,2018-05-30
