ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
3603826,"Ponce, Manuel Maria","朋瑟,馬努也爾‧瑪莉亞",,音樂,墨西哥,2018-11-20
3603827,"Pujol, Francisco","普霍爾, 弗然西斯科",,音樂,西班牙,2018-11-20
3603828,"Pujol, Juan","普霍爾, 胡安",,音樂,西班牙,2018-11-20
3603829,"Ranieri, Salvador",拉聶里,,音樂,阿根廷,2018-11-20
3603830,"Rapp, Jorge",拉普,,音樂,阿根廷,2018-11-20
3603831,"Rattembach, Augusto",拉騰巴何,,音樂,阿根廷,2018-11-20
3603832,"Revueltas, Silvestre",瑞布巴爾塔,,音樂,墨西哥,2018-11-20
3603833,"Riesco, Carlos",里耶斯科,,音樂,智利,2018-11-20
3603834,"Robles, Marisa",若布雷斯,,音樂,西班牙,2018-11-20
3603835,"Rodas, Arturo",若達斯,,音樂,厄瓜多爾,2018-11-20
3603836,"Rodrigo, Joaquín",若德里哥,,音樂,西班牙,2018-11-20
3603837,"Rogier, Philippe",若希也爾,,音樂,西班牙,2018-11-20
3603838,"Roig, Gonzalo",若伊格,,音樂,古巴,2018-11-20
3603839,"Roldán, Amadeo",若爾丹,,音樂,古巴,2018-11-20
3603840,"Rolón, José",若爾隆,,音樂,墨西哥,2018-11-20
3603841,"Romero, Celedonio",若梅若,,音樂,古巴,2018-11-20
3603842,"Rosas, Juventino",若薩斯,,音樂,古巴,2018-11-20
3603843,"Sabicas (Castellón Campos), Agustin",札比卡斯‧卡斯特雍‧坎波斯,,音樂,西班牙,2018-11-20
3603844,"Sager, Brian",薩赫爾,,音樂,阿根廷,2018-11-20
3603845,"Sagreras, Julio Salvador",薩格瑞拉斯,,音樂,阿根廷,2018-11-20
3603846,"Salazar, Adolfo","薩拉札爾,阿多佛",,音樂,西班牙,2018-11-20
3603847,"Sanabria, Juan José Falcón",薩納布里阿,,音樂,西班牙,2018-11-20
3603848,"Sanchez de Fuentes, Eduardo",桑切茲‧德‧富恩德斯,,音樂,古巴,2018-11-20
