ID,英文名稱,中文名稱,圖片,化學式,更新日期
617559,zinc sulfocyanate,硫氰酸鋅,,"<Font html:Color=""#000000"">Zn(SCN)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617560,zinc sulfocyanide,硫氰化鋅,,"<Font html:Color=""#000000"">Zn(SCN)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617561,zinc tartrate,酒石酸鋅,,"<Font html:Color=""#000000"">ZnC</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub>",2012-11-26
617562,zinc sulfate,硫酸鋅,,"<Font html:Color=""#000000"">ZnSO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
617563,zinc sulfide,硫化鋅,,ZnS,2012-11-26
617564,zinc sulfanilate,對胺苯磺酸鋅,,"<Font html:Color=""#000000"">(NH</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub><Font html:Color=""#000000"">SO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">Zn</Font>",2012-11-26
617565,zinc suboxide,次氧化鋅(I) {氧化鋅(I)；一氧化二鋅},,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">O</Font>",2012-11-26
617566,zinc stearate,硬脂酸鋅 {十八酸鋅},,"<Font html:Color=""#000000"">Zn(C</Font><Sub><Fonthtml:Color=""#000000"">18</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">35</Font></Sub><Font html:Color=""#000000"">O</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">)</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617567,zinc sozoiodolate,"2,6-二碘苯酚-4-磺酸鋅；二碘酚磺酸鋅",,"<Font html:Color=""#000000"">Zn[C</Font><Sub><Fonthtml:Color=""#000000"">6</Font></Sub><Font html:Color=""#000000"">H</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">I</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">(OH)SO</Font><Sub><Fonthtml:Color=""#000000"">3</Font></Sub><Font html:Color=""#000000"">]</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub>",2012-11-26
617568,zinc silicate,矽酸鋅,,"<Font html:Color=""#000000"">Zn</Font><Sub><Fonthtml:Color=""#000000"">2</Font></Sub><Font html:Color=""#000000"">SiO</Font><Sub><Fonthtml:Color=""#000000"">4</Font></Sub>",2012-11-26
