ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
3606066,"Cannabich, Johann Christian Innocenz Bonaventura",卡納比希,,音樂,,2018-11-20
3606067,"Capricornus, Samuel Friedrich",卡普呂寇奴斯,,音樂,,2018-11-20
3606068,"Carathéodory, Constantin",卡拉貼歐竇呂,,物理,,2018-11-20
3606069,"Cassirer, Friedrich Leopold",卡夕熱,,音樂,,2018-11-20
3606070,"Cavalieri, Catarina",卡瓦列里,,音樂,,2018-11-20
3606071,"Cerha, Friedrich",策爾哈,,音樂,,2018-11-20
3606072,"Chladni, Ernst Florens Friedrich",柯拉德尼,,物理,,2018-11-20
3606073,"Chop, Max",寇普,,音樂,,2018-11-20
3606074,"Christoffel, Elwin Bruno",柯瑞斯托佛,,物理,,2018-11-20
3606075,"Chrysander, Karl Franz Friedrich",希呂冉德,,音樂,,2018-11-20
3606076,"Chur, Heinz",庫爾,,音樂,,2018-11-20
3606077,"Clausius, Rudolf Julius Emanuel",柯勞西烏斯,,物理,,2018-11-20
3606078,"Claussmann, Aloÿs",柯勞斯曼,,音樂,,2018-11-20
3606079,"Clemens, Jacob non Papa",柯列門斯,,音樂,,2018-11-20
3606080,"Clement, Franz Joseph",柯列孟特,,音樂,,2018-11-20
3606081,"Conrad, Ferdinand",孔拉特，費迪南,,音樂,,2018-11-20
3606082,"Conrad, Victor",孔拉特,,物理,,2018-11-20
3606083,"Conradi, August",孔拉迪,,音樂,,2018-11-20
3606084,"Cornelius, Carl August Peter",寇內流斯,,音樂,,2018-11-20
3606085,"Correns, Carl Erich Franz Joseph",寇連斯,,生命科學,,2018-11-20
3606086,"Cramer, Gabriel",柯拉默,,物理,,2018-11-20
3606087,"Cramer, Johann Baptist",柯拉默,,音樂,,2018-11-20
3606088,"Czerny, Carl",闕爾尼,,音樂,,2018-11-20
3606089,"Czerwenka, Oskar",闕爾溫卡,,音樂,,2018-11-20
3606090,"Daffner, Hugo",大夫納,,音樂,,2018-11-20
3606091,"Dalitz, Richard Henry",大里慈,,物理,,2018-11-20
3606092,"Damrosch, Frank Heino",大姆羅許，法蘭克,,音樂,,2018-11-20
3606093,"Danzi, Franz Ignaz",但齊,,音樂,,2018-11-20
3606094,"David, Ferdinand",大威特，費迪南,,音樂,,2018-11-20
3606095,"David, Johann Nepomuk",大威特，約翰,,音樂,,2018-11-20
3606096,"de Boeck, Julianus Marie August",德‧波柯,,音樂,,2018-11-20
3606097,"de Boeck, Julianus Marie August",德‧波柯,,音樂,,2018-11-20
3606098,"Demus, Jörg",迭牧斯,,音樂,,2018-11-20
3606099,"Denhoff, Michael",鄧侯夫,,音樂,,2018-11-20
3606100,"Deppe, Ludwig",迭培,,音樂,,2018-11-20
3606101,"Dernesch, Helga",迭爾內許,,音樂,,2018-11-20
3606102,"Dessau, Bernhard",迭韶，伯恩哈特,,音樂,,2018-11-20
3606103,"Dessau, Paul",迭韶，保羅,,音樂,,2018-11-20
3606104,"Deutsch, Otto Erich",竇宇曲,,音樂,,2018-11-20
3606105,"Diabelli, Anton",迪阿貝里,,音樂,,2018-11-20
3606106,"Distler, Hugo",第斯特勒,,音樂,,2018-11-20
3606107,"Döbereiner, Johann Wolfgang",徳伯萊納,,化學,,2018-11-20
3606108,"Doles, Johann Friedrich",竇勒斯,,音樂,,2018-11-20
3606109,"Domgraf-Fassbaender, Willi",棟姆葛拉夫-法斯班德,,音樂,,2018-11-20
3606110,"Dont, Jakob",董特,,音樂,,2018-11-20
3606111,"Doppler, Albert Franz",竇普勒，阿爾伯特,,音樂,,2018-11-20
3606112,"Doppler, Árpád",竇普勒，阿帕德,,音樂,,2018-11-20
3606113,"Doppler, Karl",竇普勒，卡爾,,音樂,,2018-11-20
3606114,"Dorn, Friedrich Ernst",棟恩,,物理,,2018-11-20
3606115,"Dorn, Heinrich Ludwig Egmont",董恩,,音樂,,2018-11-20
3606116,"Dotzauer, Justus Johann Friedrich",竇慈奧爾,,音樂,,2018-11-20
3606117,"Dove, Heinrich Wilhelm",竇佛,,物理,,2018-11-20
3606118,"Draeseke, Felix August Bernhard",德芮熱可,,音樂,,2018-11-20
3606119,"Drischner, Max",德瑞許納,,音樂,,2018-11-20
3606120,"Drude, Paul Karl Ludwig",德路德,,物理,,2018-11-20
3606121,"Eben, Petr",艾本,,音樂,,2018-11-20
3606122,"Eberl, Anton",艾伯爾,,音樂,,2018-11-20
3606123,"Eberlin, Johann Ernst",艾伯林,,音樂,,2018-11-20
3606124,"Ebert, Vince",艾伯特,,物理,,2018-11-20
3606125,"Eccard, Johannes",艾卡特，約翰尼斯,,音樂,,2018-11-20
3606126,"Eckard (Eckhardt), Johann Gottfried",艾卡特，約翰,,音樂,,2018-11-20
3606127,"Edelmann, Jean-Frédéric",艾德曼，尚-弗列德利克,,音樂,,2018-11-20
3606128,"Edelmann, Otto",艾德曼，奧圖,,音樂,,2018-11-20
3606129,"Eggert, Moritz",艾格特，莫呂茲,,音樂,,2018-11-20
3606130,"Egk, Werner",艾柯,,音樂,,2018-11-20
3606131,"Ehrenfest, Paul",艾倫費斯特,,物理,,2018-11-20
3606132,"Ehrling, Sixten",艾爾陵,,音樂,,2018-11-20
3606133,"Eichner, Ernst Dietrich Adolph",艾希納,,音樂,,2018-11-20
3606134,"Eilenberg, Richard",艾稜貝爾柯,,音樂,,2018-11-20
3606135,"Eimert, Herbert",艾默特,,音樂,,2018-11-20
3606136,"Einstein, Albert",愛因斯坦,,物理,,2018-11-20
3606137,"Einstein, Albert",愛因斯坦,,化學,,2018-11-20
