ID,英文名稱,中文名稱,圖片,一般職稱類別,職等,備註,更新日期
1500719,Secretary-general,秘書長,,行政,13-14,,2012-11-26
1500720,Member of Taiwan Provincial  Consultative Council ,諮議員,,省諮議會,13-14,,2012-11-26
1500721,Advisor,顧問,,行政,13-14,,2012-11-26
1500722,Counselor,參事,,行政,12-13,,2012-11-26
1500723,Deputy Secretary-general,副秘書長,,行政,12-13,,2012-11-26
1500724,Executive Secretary,執行秘書,,行政,11-12,,2012-11-26
1500725,Advisor,行務委員 (中央銀行),,行政,11-12,,2012-11-26
1500726,Member of ____ Committee,委員,,行政,11-12,,2012-11-26
1500727,Senior Researcher,研究委員,,行政,10-12,,2012-11-26
1500728,Deputy Executive Secretary,副執行秘書,,行政,10,,2012-11-26
1500729,Chief Secretary,主任秘書,,行政,9-12,,2012-11-26
1500730,1.Senior Inspector (簡任),督學,,,8-12,,2012-11-26
1500731,簡任：1.Senior Specialist (具專業技術);  2.Senior Executive Officer (一般行政)    薦任：1.Specialist (具專業技術);  2.Executive Officer (一般行政),視察,,行政,8-12,,2012-11-26
1500732,1.Senior Executive Officer(簡任); 2.Executive Officer(薦任),參議,,行政,9-11,,2012-11-26
1500733,1.Senior Specialist (具專業技術); 2.Senior Executive Officer (一般行政) ; 3.Assistant Director-General (屬輔佐主管性質),專門委員,,行政,10-11,,2012-11-26
1500734,1.Senior Consumer Ombudsman Officer (簡任); 2.Consumer Ombudsman Officer (薦任),消費者保護官,,行政,8-11,,2012-11-26
1500735,簡任：1.Senior Specialist (具專業技術);  2.Senior Executive Officer (一般行政)  / 薦任：1.Specialist (具專業技術) ; 2.Executive Officer (一般行政),編纂,,行政,8-11,,2012-11-26
1500736,1.Senior Secretary (簡任),秘書,,,7-11,,2012-11-26
1500737,1.Senior Auditor (簡任); 2.Auditor (薦任),稽核,,行政,7-11,,2012-11-26
1500738,簡任：1.Senior Specialist (具專業技術) ;  2.Senior Executive Officer (一般行政)  / 薦任：1.Specialist (具專業技術); 2.Executive Officer (一般行政),編審,,行政,7-10,,2012-11-26
1500739,簡任：1.Senior Foreign-language Writer (如新聞局英文編譯 Senior English Writer) 2.Senior Editor   / 薦任：1.Foreign-language Writer (如新聞局英文編譯 English Writer) 2.Editor,編譯 ,,行政,7-10,,2012-11-26
1500740,1.Specialist (具專業技術); 2.Executive Officer (一般行政),專員,,行政,7-9,,2012-11-26
1500741,1.Specialist (具專業技術); 2.Executive Officer (一般行政),諮議,,行政,7-9,,2012-11-26
1500742,Executive Officer,視導,,行政,7-8,,2012-11-26
1500743,1.Editor (一般編輯),編輯,,,6-8,,2012-11-26
1500744,Officer,科員,,行政,5-7,,2012-11-26
1500745,Officer,組員,,行政,5-7,,2012-11-26
1500746,Officer,課員,,行政,5-7,,2012-11-26
1500747,Officer,里幹事,,行政,4-6,,2012-11-26
1500748,Junior Officer,佐理員,,行政,4-6,,2012-11-26
1500749,Junior Officer,助理員,,行政,4-6,,2012-11-26
1500750,Junior Officer,管理員,,行政,4-6,,2012-11-26
1500751,Junior Officer,戶籍員,,行政,4-6,,2012-11-26
1500752,Junior Officer,屠宰管理員,,行政,4-6,,2012-11-26
1500753,Junior Officer,就業助理員,,行政,4-6,,2012-11-26
1500754,Clerk,助理幹事,,行政,3-5,,2012-11-26
1500755,Clerk,辦事員,,行政,3-5,,2012-11-26
1500756,Clerk ,資料員,,行政,3-5,,2012-11-26
1500757,Associate Clerk,書記,,行政,1-3,,2012-11-26
1500758,Secretary,機要秘書,,行政,,,2012-11-26
1500759,Executive Officer,機要專員,,行政,,,2012-11-26
1500760,調用職稱之英譯,調用人員,,行政,,,2012-11-26
1500761,Meeting Recorder,紀錄,,行政,,,2012-11-26
1500762,Assistant,業務助理,,行政,,,2012-11-26
1500763,本職或兼職之英譯。,兼主任,,行政,兼職,,2012-11-26
1500764,本職或兼職之英譯。,兼副主任,,行政,兼職,,2012-11-26
1500765,本職或兼職之英譯。,兼執行秘書,,行政,兼職,,2012-11-26
1500766,Assistant Clerk,雇員,,行政,不列等,,2012-11-26
1500767,Assistant Clerk,業務士,,行政,不列等,,2012-11-26
1500768,1.Maintenance Worker; 2.Messenger (送公文); 3.Janitor (清潔工),工友,,行政,不列等,,2012-11-26
1500769,Contract Employee,約聘人員,,行政,不列等,,2012-11-26
1500770,Contract Employee,約用人員,,行政,不列等,,2012-11-26
1500771,Planner,約聘企劃師,,行政,不列等,,2012-11-26
1500772,Community Planning Assistant,約聘社區規劃師助理,,行政,不列等,,2012-11-26
1500773,Clerk,聘用事務員,,行政,不列等,,2012-11-26
1500774,Contract Employee,約雇,,行政,不列等,,2012-11-26
1500775,Contract Employee,約僱人員,,行政,不列等,,2012-11-26
1500776,Assistant,約僱助理,,行政,不列等,,2012-11-26
1500777,Technician,約僱技術員,,行政,不列等,,2012-11-26
1500778,Clerk,約僱事務員,,行政,不列等,,2012-11-26
1500779,1.Clerk; 2.Docent,約僱服務員,,行政,不列等,,2012-11-26
1500780,Assistant,約僱保管員,,行政,不列等,,2012-11-26
1500781,Ticketing Assistant,約僱售票員,,行政,不列等,,2012-11-26
1500782,Lifeguard ,約僱救生員,,行政,不列等,,2012-11-26
1500783,Clerk,約僱幹事,,行政,不列等,,2012-11-26
1500784,Assistant,約僱管理員,,行政,不列等,,2012-11-26
1500785,Nursing Assistant,約僱護理員,,行政,不列等,,2012-11-26
1500786,Ticket Taker,約僱驗票員,,行政,不列等,,2012-11-26
1500787,Clerk,約僱河川管理員,,行政,不列等,,2012-11-26
1500788,Patrolman,約僱河川巡防員,,行政,不列等,,2012-11-26
1500789,Temporary Worker,專業臨時人員,,行政,不列等,,2012-11-26
1500790,Temporary Worker,臨時人員,,行政,不列等,,2012-11-26
1500791,1.Freelance Worker (文書類); 2.Piece Worker (生產類) ,臨時造單員,,行政,不列等,,2012-11-26
1500792,Associate Clerk,臨編書記,,行政,不列等,,2012-11-26
1500793,Work-study Student,工讀生,,行政,不列等,,2012-11-26
1500794,Temporary Worker,以工代賑,,行政,不列等,,2012-11-26
1500795,Volunteer,志工,,行政,不列等,,2012-11-26
1500796,1.Freelance Worker (文書類); 2.Piece Worker (生產類) ,按件計酬員,,行政,不列等,,2012-11-26
1500797,Piece Worker,單工,,行政,不列等,,2012-11-26
1500798,"Major General, Head Military Instructor ",少將總教官,,行政,,,2012-11-26
1500799,"Colonel, Military Instructor ",上校教官,,行政,,,2012-11-26
1500800,"Lieutenant Colonel, Military Instructor ",中校教官,,行政,,,2012-11-26
1500801,"Major, Military Instructor ",少校教官,,行政,,,2012-11-26
1500802,"Captain, Military Instructor ",上尉教官,,行政,,,2012-11-26
1500803,Military Training Instructor ,軍訓教官,,行政,,,2012-11-26
1500804,Military Training Instructor,教官,,行政,,,2012-11-26
1500805,Professor ,教授,,行政,,,2012-11-26
1500806,Emeritus  Professor,榮譽教授,,行政,,,2012-11-26
1500807,Visiting Professor ,交換教授,,行政,,,2012-11-26
1500808,Visiting Professor ,客座教授,,行政,,,2012-11-26
1500809,Adjunct Professor ,兼任教授,,行政,,,2012-11-26
1500810,Associate Professor ,副教授,,行政,,,2012-11-26
1500811,Adjunct Associate Professor ,兼任副教授,,行政,,,2012-11-26
1500812,Assistant Professor ,助理教授,,行政,,,2012-11-26
1500813,Research Professor ,研究教授,,行政,,,2012-11-26
1500814,Associate Research Professor ,研究副教授,,行政,,,2012-11-26
1500815,Assistant Research Professor ,研究助理教授,,行政,,,2012-11-26
1500816,Advisory Committee Member ,諮詢委員,,行政,,,2012-11-26
1500817,          Professor,俞國華財經講座,,行政,,,2012-11-26
1500818,Lecturer ,講座,,行政,11-12,,2012-11-26
1500819,Lecturer ,講師,,行政,,,2012-11-26
1500820,Adjunct Lecturer ,兼任講師,,行政,,,2012-11-26
1500821,Nursing Teacher,護理教師,,行政,,,2012-11-26
1500822,Nursing Instructor,護理講師,,行政,,,2012-11-26
1500823,Visiting Lecturer ,交換講師,,行政,,,2012-11-26
1500824,Teacher ,教師,,行政,,,2012-11-26
1500825,Teaching Assistant ,助教,,行政,,,2012-11-26
1500826,Spokesman ,發言人,,行政,,,2012-11-26
1500827,Assistant Stage Lighting Costume,助理設計師(國光劇團),,行政,8-10,,2012-11-26
1500828,Assistant Stage Manager ,助理舞台監督,,行政,8-10,,2012-11-26
1500829,1.Scenarist; 2. (Stage) Director ,編導,,行政,8-9,,2012-11-26
1500830,Assistant Editor ,助理編纂,,行政,8-9,,2012-11-26
1500831,Assistant Technical Director ,助理技術指導,,行政,8-9,,2012-11-26
1500832,Assistant Rehearsal Master,助理排練指導,,行政,8-9,,2012-11-26
1500833,Props Manager,箱管,,行政,7-9,,2012-11-26
1500834,Career Counselor,訓導員,,行政,7-8,,2012-11-26
1500835,1.Editor (一般編輯); 2.Foreign-language Editor (如新聞局英文編輯 English Editor)  (漁業廣播電臺),編輯,,行政,6-8,,2012-11-26
1500836,Counselor,輔導員,,行政,6-8,,2012-11-26
1500837,Assistant Researcher ,助理研究員,,行政,6-8,,2012-11-26
1500838,Director,導演,,行政,6-7,,2012-11-26
1500839,Director,導播,,行政,6-7,,2012-11-26
1500840,Officer,幹事,,行政,5-7,,2012-11-26
1500841,Docent  ,解說員,,行政,5-7,,2012-11-26
1500842,Specialist,導覽員,,行政,5-7,,2012-11-26
1500843,Docent,服務員,,行政,5-7,,2012-11-26
1500844,Instructor  ,指導員,,行政,5-7,,2012-11-26
1500845,Dietitian ,營養師,,行政,5-7,,2012-11-26
1500846,Veterinarian ,獸醫師,,行政,5-7,,2012-11-26
1500847,1.Associate Specialist (薦任); 2.Assistant Specialist (委任),技術師,,行政,5-7,,2012-11-26
1500848,Assistant Counselor ,助理輔導員,,行政,5,,2012-11-26
1500849,Reporter  (教育、漁業等廣播電臺),採訪員,,行政,4-6,,2012-11-26
1500850,1.Programmer; 2.Program Host,節目員,,行政,4-6,,2012-11-26
1500851,Announcer,播音員,,行政,4-6,,2012-11-26
1500852,Junior Officer,助理員,,行政,4-6,,2012-11-26
1500853,Administrative Assistant,行政助理,,行政,,,2012-11-26
1500854,Assistant Editor ,助理編輯,,行政,,,2012-11-26
1500855,Legal Consultant ,法律顧問,,行政,,,2012-11-26
1500856,Research Assistant ,研究助理,,行政,,,2012-11-26
1500857,Special Assistant ,專任助理,,行政,,,2012-11-26
1500858,Production Manager ,製作經理,,行政,,,2012-11-26
1500859,Artist Director,藝術總監,,行政,,,2012-11-26
1500860,Stage Manager ,舞台監督,,行政,,,2012-11-26
1500861,1.Stage Crew  (全體團員); 2.Member of Stage Crew (個人),舞台執行,,行政,,,2012-11-26
1500862,Member of Stage Crew ,舞台執行(個人),,行政,,,2012-11-26
1500863,1.Sound Crew   (全體團員); 2.Member of Sound Crew (個人),音響執行,,行政,,,2012-11-26
1500864,Technical Director ,技術指導,,行政,,,2012-11-26
1500865,Music Director ,音樂指導,,行政,,,2012-11-26
1500866,Rehearsal Director ,排練指導,,行政,,,2012-11-26
1500867,1.Lighting Crew  (全體團員); 2.Member of Lighting Crew (個人),燈光執行,,行政,,,2012-11-26
1500868,Lighting Designer ,燈光設計師,,行政,,,2012-11-26
1500869,Makeup,容妝,,行政,,,2012-11-26
1500870,Actor/Actress ,演員,,行政,,,2012-11-26
1500871,Musician ,樂師,,行政,,,2012-11-26
1500872,Subtitler ,字幕,,行政,,,2012-11-26
1500873,Messenger,收發員,,行政,,,2012-11-26
1500874,1.Maintenance Worker; 2.Messenger（送公文）; 3.Janitor （清潔工）,勤務員,,行政,,,2012-11-26
1500875,Research Assistant  ,專案人員,,行政,,,2012-11-26
1500876,Assistant ,助理,,行政,,,2012-11-26
1500877,Assistant Editor ,助理編審,,行政,,,2012-11-26
1500878,Conductor  ,指揮,,行政,,,2012-11-26
1500879,Orchestra Members  ,樂團團員,,行政,,,2012-11-26
1500880,Assistant Curator ,館務員,,行政,,,2012-11-26
1500881,Art Designer,約聘美工,,行政,不列等,,2012-11-26
1500882,Editor / Writer / Translator,約聘編譯,,行政,不列等,,2012-11-26
1500883,Photographer,約聘攝影,,行政,不列等,,2012-11-26
1500884,Counselor ,輔導員,,行政,7-9,,2012-11-26
1500885,Chief Technician  ,總技師,,行政,7-9,,2012-11-26
1500886,Trainer ,正訓練師,,行政,7-8,,2012-11-26
1500887,Vocational Trainer ,正職業訓練師,,行政,7-8,,2012-11-26
1500888,Training Specialist,訓練管理員,,行政,7-8,,2012-11-26
1500889,Supervision Officer,社會工作督導員,,行政,7,,2012-11-26
1500890,Chief of Staff ,總幹事,,行政,6-9,,2012-11-26
1500891,Associate Vocational Trainer ,副職業訓練師,,行政,6,,2012-11-26
1500892,Senior Social Worker ,社工師,,行政,5-7,,2012-11-26
1500893,Assistant Vocational Trainer ,助理職業訓練師,,行政,5-7,,2012-11-26
1500894,Assistant Trainer ,助理訓練師,,行政,5-7,,2012-11-26
1500895,Junior Trainer ,訓練員,,行政,5-7,,2012-11-26
1500896,Assistant Counselor ,助理輔導員,,行政,5,,2012-11-26
1500897,Healthcare  Assistant ,保健員,,行政,4-6,,2012-11-26
1500898,Childcare Assistant,保育員,,行政,3-5,,2012-11-26
1500899,Social Worker ,約聘社會工作員,,行政,不列等,,2012-11-26
1500900,Senior Trademark Officer  ,商標高級審查官,,行政,,,2012-11-26
1500901,Senior Patent Officer    ,專利高級審查官,,行政,,,2012-11-26
1500902,Assistant Trademark Officer ,商標助理審查官,,行政,,,2012-11-26
1500903,Assistant Patent Officer    ,專利助理審查官,,行政,,,2012-11-26
1500904,Trademark Officer   ,商標審查官,,行政,,,2012-11-26
1500905,Patent Officer    ,專利審查官,,行政,,,2012-11-26
1500906,Trademark Examiner,商標審查員,,行政,7-8,,2012-11-26
1500907,Supervisor,稽查督察員,,行政,,,2012-11-26
1500908,Junior Inspector ,督察員,,行政,,,2012-11-26
1500909,Toxic Substance Specialist,毒化物管理師,,行政,6-9,,2012-11-26
1500910,Assistant Toxic Substance Specialist,毒化物助理管理師,,行政,5-7,,2012-11-26
1500911,Toxic Substance Inspector,毒物稽查員,,行政,5-7,,2012-11-26
1500912,Toxic Substance Inspector,毒物檢驗員,,行政,5-7,,2012-11-26
1500913,Inspector,稽查員,,行政,5-7,,2012-11-26
1500914,Inspector,稽查,,行政,4-5,,2012-11-26
1500915,Preliminary Reviewer,初審,,行政,,,2012-11-26
1500916,Secondary Reviewer,複審,,行政,,,2012-11-26
1500917,Industrial Safety Inspector,勞工安全衛生檢查員,,行政,,,2012-11-26
1500918,Foreign Worker Inspector ,外籍勞工業務檢查員,,行政,,,2012-11-26
1500919,Clerk   (林區管理處),站務員,,行政,,,2012-11-26
1500920,Director,人事處處長,,行政,12,,2012-11-26
1500921,Deputy Director,人事處副處長,,行政,11,,2012-11-26
1500922,1.Director (簡任); 2.Chief Personnel Officer (薦任),人事室主任,,行政,7-11,,2012-11-26
1500923,Personnel Officer,人事管理員,,行政,5-7,,2012-11-26
1500924,Junior Personnel Officer,人事佐理員,,行政,4-6,,2012-11-26
1500925,Junior Personnel Officer,人事助理員,,行政,4-6,,2012-11-26
1500926,Director,政風處處長,,行政,12,,2012-11-26
1500927,Deputy Director,政風處副處長,,行政,11,,2012-11-26
1500928,1.Director (簡任); 2.Chief Civil Service Ethics Officer (薦任),政風室主任,,行政,7-11,,2012-11-26
1500929,Comptroller ,會計長,,行政,12,,2012-11-26
1500930,Vice Comptroller,副會計長,,行政,11,,2012-11-26
1500931,1.Director (簡任); 2.Chief Accounting Officer (薦任),會計主任,,行政,7-11,,2012-11-26
1500932,Accounting Officer,會計管理員,,行政,5-7,,2012-11-26
1500933,Accounting Officer,會計員,,行政,5-7,,2012-11-26
1500934,1.Accounting Assistant; 2.Junior Officer,會計佐理員,,行政,4-6,,2012-11-26
1500935,Director-general,統計長,,行政,12,,2012-11-26
1500936,Deputy Director-general,副統計長,,行政,11,,2012-11-26
1500937,1.Director (簡任); 2.Chief Statistician (薦任),統計主任,,行政,7-11,,2012-11-26
1500938,Statistician ,統計員,,行政,4-6,,2012-11-26
1500939,Investigator,特約統計調查員,,行政,不列等,,2012-11-26
1500940,1.Technical Superintendent (具工程專業技術); 2.Counselor (具顧問或參事性質如衛生署技監),技監,,技術,12,,2012-11-26
1500941,簡任：1.Senior Technical Specialist; 2.Senior Specialist  (負責行政業務如衛生署技正) / 薦任：1.Technical Specialist; 2.Specialist  (負責行政業務如衛生署技正),技正,,技術,7-11,,2012-11-26
1500942,1.Associate Technical Specialist (薦任); 2.Assistant Technical Specialist (委任),技士,,技術,5-7,,2012-11-26
1500943,1.Associate Technical Specialist (薦任); 2.Assistant Technical Specialist (委任),技師,,技術,5-7,,2012-11-26
1500944,1.Associate Technical Specialist (薦任); 2.Assistant Technical Specialist (委任),技術員,,技術,5-7,,2012-11-26
1500945,1.Associate Technical Specialist (薦任); 2.Assistant Technical Specialist (委任),檢查員,,技術,5-7,,2012-11-26
1500946,1.Associate Technical Specialist (薦任); 2.Junior Technical Specialist (委任),技佐,,技術,4-6,,2012-11-26
1500947,Clerk,站務員,,技術,4-5,,2012-11-26
1500948,Technician ,技術助理員,,技術,3-5,,2012-11-26
1500949,Technician ,技術士,,技術,3-5,,2012-11-26
1500950,Technical Assistant,技術生,,技術,1-3,,2012-11-26
1500951,1.Chauffeur （首長座車）; 2.Driver （公務車）,司機員,,技術,不列等,,2012-11-26
1500952,1.Chauffeur （首長座車）; 2.Driver （公務車）,駕駛,,技術,不列等,,2012-11-26
1500953,Technical Worker,技工,,技術,不列等,,2012-11-26
1500954,Technician ,聘用技術員,,技術,不列等,,2012-11-26
1500955,Inspector,檢查人員,,技術,不列等,,2012-11-26
1500956,Technician,技術人員,,技術,不列等,,2012-11-26
1500957,Technician,技術助理員,,技術,不列等,,2012-11-26
1500958,Surveying Assistant,測量助理,,技術,不列等,,2012-11-26
1500959,Stationed Agent,派駐人員,,技術,不列等,,2012-11-26
1500960,Stationed Agent,委辦公司人員,,技術,不列等,,2012-11-26
1500961,Maintenance Worker,技助,,技術,不列等,,2012-11-26
1500962,Maintenance Worker,站工,,技術,不列等,,2012-11-26
1500963,Maintenance Worker,粗工,,技術,不列等,,2012-11-26
1500964,Surveying Worker,測工,,技術,不列等,,2012-11-26
1500965,1.Maintenance Worker; 2.Messenger (送公文); 3.Janitor (清潔工),雇工,,技術,不列等,,2012-11-26
1500966,1.Maintenance Worker; 2.Messenger (送公文); 3.Janitor (清潔工),洗車工,,技術,不列等,,2012-11-26
1500967,Temporary Worker,臨時單工,,技術,不列等,,2012-11-26
1500968,Temporary Worker,臨時僱工,,技術,不列等,,2012-11-26
1500969,Chief Engineer,總工程司,,工程,10-12,,2012-11-26
1500970,Chief Engineer,總工程師,,工程,10-12,,2012-11-26
1500971,Deputy Chief Engineer,副總工程司,,工程,9-10,,2012-11-26
1500972,Deputy Chief Engineer,副總工程師,,工程,9-10,,2012-11-26
1500973,Supervising Engineer,主任工程司,,工程,9-10,,2012-11-26
1500974,1.Senior Engineer(簡任); 2.Engineer(薦任),正工程司,,工程,7-10,,2012-11-26
1500975,1.Senior Engineer(簡任); 2.Engineer(薦任),正工程師,,工程,7-10,,2012-11-26
1500976,1.Senior Engineer(簡任); 2.Engineer(薦任),工程司,,工程,7-10,,2012-11-26
1500977,1.Senior Engineer(簡任); 2.Engineer(薦任),工程師,,工程,7-10,,2012-11-26
1500978,Environmental Engineer,環境工程師,,工程,7-10,,2012-11-26
1500979,Associate Engineer,副工程司,,工程,7-8,,2012-11-26
1500980,Associate Engineer,副工程師,,工程,7-8,,2012-11-26
1500981,Assistant Engineer,幫工程司,,工程,6-7,,2012-11-26
1500982,Assistant Engineer,助理工程司    ,,工程,6-7,,2012-11-26
1500983,Assistant Engineer,助理工程師,,工程,6-7,,2012-11-26
1500984,Assistant Environmental Engineer,助理環境工程師,,工程,6-7,,2012-11-26
1500985,1.Assistant Engineer (薦任); 2.Junior Engineer (委任),工程員,,工程,5-7,,2012-11-26
1500986,1.Assistant Engineer (薦任); 2.Junior Engineer (委任),工務員,,工程,5-7,,2012-11-26
1500987,Materials Officer,材料管理員,,工程,4-6,,2012-11-26
1500988,Engineering Assistant,助理工務員,,工程,3-5,,2012-11-26
1500989,Engineering Assistant,助理工程員,,工程,3-5,,2012-11-26
1500990,Engineering Assistant,助理管制員,,工程,3-5,,2012-11-26
1500991,Overseer,監工員,,工程,3-5,,2012-11-26
1500992,Materials Clerk,材料員,,工程,3-5,,2012-11-26
1500993,Assistant Overseer ,助理監工員,,工程,,,2012-11-26
1500994,Senior Systems Analyst,高級分析師,,資訊,9-11,,2012-11-26
1500995,Senior Systems Designer,高級設計師,,資訊,9-11,,2012-11-26
1500996,Senior Systems Coordinator,高級管理師,,資訊,9-11,,2012-11-26
1500997,Systems Analyst,分析師,,資訊,7-10,,2012-11-26
1500998,Systems Analyst,系統分析師,,資訊,7-9,,2012-11-26
1500999,Systems Coordinator,電子作業管理師,,資訊,7,,2012-11-26
1501000,Systems Designer,設計師,,資訊,6-9,,2012-11-26
1501001,Systems Designer,程式設計師,,資訊,6-9,,2012-11-26
1501002,Systems Coordinator,管理師,,資訊,6-9,,2012-11-26
1501003,Chief Systems Operator,系統操作師,,資訊,5,,2012-11-26
1501004,Assistant Systems Analyst,助理分析師,,資訊,4-6,,2012-11-26
1501005,Assistant Systems Designer,助理設計師,,資訊,4-6,,2012-11-26
1501006,Assistant Systems Coordinator,助理管理師,,資訊,4-6,,2012-11-26
1501007,Junior Systems Coordinator,管理員,,資訊,4-5,,2012-11-26
1501008,1.Junior Systems Designer; 2.Programmer,設計員,,資訊,4-5,,2012-11-26
1501009,Computer Operator,電腦操作員,,資訊,3-5,,2012-11-26
1501010,Systems Operator,操作員,,資訊,3-5,,2012-11-26
1501011,Systems Coordinator,聘用資料管理師,,資訊,不列等,,2012-11-26
1501012,Systems Coordinator,聘用管理師,,資訊,不列等,,2012-11-26
1501013,Attending Physician,主治醫師,,醫事,7-9,,2012-11-26
1501014,Physician,醫師,,醫事,7-9,,2012-11-26
1501015,Chief Technician  ,總技師,,醫事,7-9,,2012-11-26
1501016,Vocational Trainer ,職業訓練師,,醫事,7-8,,2012-11-26
1501017,Trainer ,正訓練師,,醫事,7-8,,2012-11-26
1501018,Training Specialist,訓練管理員,,醫事,7-8,,2012-11-26
1501019,Chief of Staff ,總幹事,,醫事,6-9,,2012-11-26
1501020,Nursing  Supervisor ,護理督導,,醫事,6-8,,2012-11-26
1501021,Nursing  Supervisor ,督導,,醫事,6-8,,2012-11-26
1501022,Chief Resident Doctor  ,住院總醫師,,醫事,5-7,,2012-11-26
1501023,Resident Doctor ,住院醫師,,醫事,5-7,,2012-11-26
1501024,Psychiatrist ,精神科醫師,,醫事,5-7,,2012-11-26
1501025,Dentist  ,牙醫師,,醫事,5-7,,2012-11-26
1501026,Doctor of Chinese Medicine,中醫師,,醫事,5-7,,2012-11-26
1501027,Medical Technologist  ,醫事檢驗師,,醫事,5-7,,2012-11-26
1501028,Physical Therapist  ,物理治療師,,醫事,5-7,,2012-11-26
1501029,Radiochemist ,放射化學師,,醫事,5-7,,2012-11-26
1501032,Radiologist ,放射科醫師；放射線科醫師,,醫事,5-7,,2019-06-14
1501033,Clinical psychologist ,臨床心理師,,醫事,5-7,,2012-11-26
1501034,Clinical psychologist ,臨床心理技師,,醫事,5-7,,2012-11-26
1501035,Occupational Safety Specialist  ,勞工安全管理師,,醫事,5-7,,2012-11-26
1501036,Occupational Therapist  ,職能治療師,,醫事,5-7,,2012-11-26
1501037,Senior Social Worker ,社會工作師,,醫事,5-7,,2012-11-26
1501038,Assistant Trainer ,助理訓練師,,醫事,5-7,,2012-11-26
1501039,Pharmacist ,藥師,,醫事,5-7,,2012-11-26
1501040,Dietitian ,營養師,,醫事,5-7,,2012-11-26
1501041,Professional Nurse  ,護理師,,醫事,5-7,,2012-11-26
1501042,Medical Technologist  ,檢驗師,,醫事,5-7,,2012-11-26
1501043,Junior Trainer ,訓練員,,醫事,5-7,,2012-11-26
1501044,1.Associate Technical Specialist (薦任); 2.Assistant Technical Specialist (委任),技師,,醫事,5-7,,2012-11-26
1501045,1.Associate Medical Specialist (薦任); 2.Assistant Medical Specialist (委任),技術員,,醫事,5-7,,2012-11-26
1501046,Head Nurse,護理長,,醫事,5-7,,2012-11-26
1501047,Nursing  Supervision Officer,護理督導員,,醫事,5-7,,2012-11-26
1501048,Public Health Instructor,衛生教育指導員,,醫事,5-7,,2012-11-26
1501049,Public Health Inspector,衛生稽查員,,醫事,5-7,,2012-11-26
1501050,Assistant ,生活輔導員,,醫事,5-7,,2012-11-26
1501051,Associate Counselor,心理輔導員,,醫事,5-7,,2012-11-26
1501052,Assistant Counselor ,助理輔導員,,醫事,5,,2012-11-26
1501053,Social Worker ,社會服務員,,醫事,4-6,,2012-11-26
1501054,Nurse ,護士,,醫事,4-6,,2012-11-26
1501055,Public Health Nurse ,公共衛生護士,,醫事,4-6,,2012-11-26
1501056,Inspector,稽查員,,醫事,4-6,,2012-11-26
1501057,Occupational Safety and Hygiene Officer,勞工安全衛生管理員,,醫事,4-6,,2012-11-26
1501058,Healthcare  Assistant ,保健員,,醫事,4-6,,2012-11-26
1501059,Nutritionist,營養員,,醫事,4-6,,2012-11-26
1501060,Medical Technologist  Assistant,檢驗生,,醫事,3-5,,2012-11-26
1501061,Physical Therapist  Assistant,物理治療生,,醫事,3-5,,2012-11-26
1501062,Pharmacist Assistant,藥劑生,,醫事,3-5,,2012-11-26
1501063,Nursing Assistant ,護理佐理員,,醫事,3-5,,2012-11-26
1501064,Technician ,技術助理員,,醫事,3-5,,2012-11-26
1501065,Midwife,助產士,,醫事,,,2012-11-26
1501066,1.Nursing Aide ; 2.Nurses' Aide; 3.Assistant Nurse,病患服務員,,醫事,,,2012-11-26
1501067,Assistant Overseer,助理監工員,,醫事,,,2012-11-26
1501068,Researcher,研究員,,研究,8-12,,2012-11-26
1501069,Associate Researcher,副研究員,,研究,7-10,,2012-11-26
1501070,Assistant Researcher,助理研究員,,研究,,,2012-11-26
1501071,Research Assistant,研究助理,,研究,,,2012-11-26
1501072,Assistant,助理,,研究,,,2012-11-26
1501073,Researcher,約聘研究員,,研究,不列等,,2012-11-26
1501074,Advisor,顧問,,外交,12,,2012-11-26
1501075,(Economic) Counselor,經濟參事,,外交,12,,2012-11-26
1501076,(Cultural) Counselor,文化參事,,外交,12,,2012-11-26
1501077,(Information) Counselor,新聞參事,,外交,12,,2012-11-26
1501078,Senior (Commercial)  Specialist,商務專員,,外交,10-11,,2012-11-26
1501079,Senior (Economic) Specialist,經濟專員,,外交,10-11,,2012-11-26
1501080,Senior (Cultural) Specialist,文化專員,,外交,10-11,,2012-11-26
1501081,First Secretary,一等秘書,,外交,9-10,,2012-11-26
1501082,First (Commercial) Secretary,一等商務秘書,,外交,9-10,,2012-11-26
1501083,First (Economic) Secretary,一等經濟秘書,,外交,9-10,,2012-11-26
1501084,First (Cultural) Secretary,一等文化秘書,,外交,9-10,,2012-11-26
1501085,First (Information) Secretary,一等新聞秘書,,外交,9-10,,2012-11-26
1501086,Second Secretary,二等秘書,,外交,8-9,,2012-11-26
1501087,Second (Commercial) Secretary,二等商務秘書,,外交,8-9,,2012-11-26
1501088,Second (Economic) Secretary,二等經濟秘書,,外交,8-9,,2012-11-26
1501089,Second (Cultural) Secretary,二等文化秘書,,外交,8-9,,2012-11-26
1501090,Second (Information) Secretary,二等新聞秘書,,外交,8-9,,2012-11-26
1501091,Third Secretary,三等秘書,,外交,7-8,,2012-11-26
1501092,Third (Commercial) Secretary,三等商務秘書,,外交,7-8,,2012-11-26
1501093,Third (Cultural) Secretary,三等文化秘書,,外交,7-8,,2012-11-26
1501094,Third (Information) Secretary,三等新聞秘書,,外交,7-8,,2012-11-26
