ID,英文名稱,中文名稱,圖片,一般職稱類別,職等,備註,更新日期
1501395,Chief Engineer,總工程師,,交通事業,,,2012-11-26
1501396,Inspector-General,總視察,,交通事業,,,2012-11-26
1501397,Chief Secretary,主任祕書,,交通事業,,,2012-11-26
1501398,Vice Chairperson,副主任委員(研究設計委員會),,交通事業,,,2012-11-26
1501399,Vice President,協理,,交通事業,,,2012-11-26
1501400,Director,處長,,交通事業,,,2012-11-26
1501401,Deputy Chief Engineer,副總工程師,,交通事業,,,2012-11-26
1501402,Deputy Inspector-General,副總視察,,交通事業,,,2012-11-26
1501403,Commissioner,考試委員,,<p>考試院</p>,,,2012-11-26
1501404,Deputy Director,副處長,,交通事業,,,2012-11-26
1501405,Manager,經理,,交通事業,,,2012-11-26
1501406,Chief,科長,,交通事業,,,2012-11-26
1501407,Engineer,工程師,,交通事業,,,2012-11-26
1501408,Executive Officer,管理師,,交通事業,,,2012-11-26
1501409,Special Assistant,特別助理,,交通事業,,,2012-11-26
1501410,Deputy Manager,副經理,,交通事業,,,2012-11-26
1501411,Director,主任,,交通事業,,,2012-11-26
1501412,Chief Researcher,主任研究員,,交通事業,,,2012-11-26
1501413,Chief Instructor,主任講師,,交通事業,,,2012-11-26
1501414,Assistant Director-General,專門委員(研究設計委員會),,交通事業,,,2012-11-26
1501415,Senior Instructor,講師(十四層次以上),,交通事業,,,2012-11-26
1501416,Secretary,秘書,,交通事業,,,2012-11-26
1501417,Auditor,稽核,,交通事業,,,2012-11-26
1501418,Associate Engineer,副工程師,,交通事業,,,2012-11-26
1501419,Associate Executive Officer,副管理師,,交通事業,,,2012-11-26
1501420,Instructor,講師(十四層次以下),,交通事業,,,2012-11-26
1501421,Section Chief,課長,,交通事業,,,2012-11-26
1501422,Assistant Engineer,助理工程師,,交通事業,,,2012-11-26
1501423,Assistant Executive Officer,助理管理師,,交通事業,,,2012-11-26
1501424,Associate Instructor,助教,,交通事業,,,2012-11-26
1501425,Assistant Clerk,專員,,交通事業,,,2012-11-26
1501426,Junior Engineer ,一般工程員,,生產事業,,,2012-11-26
1501427,Engineer ,一般工程師,,生產事業,,,2012-11-26
1501428,General Administrative Clerk ,一般行政管理員,,生產事業,,,2012-11-26
1501429,General Administrative Officer,一般行政管理師,,生產事業,,,2012-11-26
1501430,Personnel Clerk ,人事管理員,,生產事業,,,2012-11-26
1501431,Personnel Officer,人事管理師,,生產事業,,,2012-11-26
1501432,Civil Engineering Technician,土木工程員,,生產事業,,,2012-11-26
1501433,Civil Engineering Technician,土木技術員,,生產事業,,,2012-11-26
1501434,Survey Technician,土木測繪技術員,,生產事業,,,2012-11-26
1501435,Job Analysis Officer,工作分析師,,生產事業,,,2012-11-26
1501436,Chief,工場長,,生產事業,,,2012-11-26
1501437,Safety and Industrial Hygiene Clerk,工業安全衛生員,,生產事業,,,2012-11-26
