ID,英文名稱,中文名稱,圖片,出處,備註,更新日期
6250396,Harbor charges,港埠費,,海商法法條,,2020-01-07
6250397,Hauge rules,海牙規則,,海商法學,,2020-01-07
6250398,Hauge-Visty Rules,海牙-威士比規則,,海商法學,,2020-01-07
6250399,Head office,本公司,,公司法條文,,2020-01-07
6250400,Health insurance,健康保險,,保險法法條,,2020-01-07
6250401,Himalaya clause,喜馬拉雅條款,,海商法學,,2020-01-07
6250402,Holding company,控股公司,,企業併購實務,,2020-01-07
6250403,Hologram,全像圖,,商標法,,2020-01-07
6250404,Hostile takeover,敵意併購,,企業併購法學,,2020-01-07
6250405,Identical goods,相同商品,,商標法,,2020-01-07
6250406,Identical mark,相同商標,,商標法,,2020-01-07
6250407,Identical services,相同服務,,商標法,,2020-01-07
6250408,Import,輸入,,商標法,,2020-01-07
6250409,Importing,進口,,專利法條,,2020-01-07
6250410,Inadequacy of marks,標誌不符,,海商法法條,,2020-01-07
6250411,Inception of insurance,生效日,,保險法法條,,2020-01-07
6250412,Incontestability clause,不可抗辯條款,,保險法學,,2020-01-07
6250413,Incorporation,設立,,公司法條文,,2020-01-07
6250414,Incorporation by promoters,發起設立,,公司法條文,公司法第131條,2020-01-07
6250415,Incorporation by solicitation,募集設立,,公司法條文,公司法第132條「募集設立」制度係參考日本法而來，日本「會社法」稱募集設立為「募集による設立」，官方英譯為「incorporation by solicitation」,2020-01-07
6250416,Incorporation clause,引置條款,,海商法學,,2020-01-07
6250417,Independent advisor,獨立專家,,企業併購法條文,,2020-01-07
6250418,Independent director,獨立董事,,證券交易法條文,,2020-01-07
6250419,Indication / Indicate,指示,,商標法,,2020-01-07
6250420,Indirect control,間接控制,,公司法條文,,2020-01-07
6250421,Indirect infringement,間接侵害,,專利法學,,2020-01-07
6250422,Inducing infringement,引致侵害,,專利法學,,2020-01-07
6250423,Infringe trademark with reasonable grounds to know,過失侵害商標權,,商標法,,2020-01-07
6250424,Infringer's profit,侵害行為所得利益,,專利法條,,2020-01-07
6250425,Infringing goods,侵權商品,,商標法,,2020-01-07
6250426,Inherency,固有原則,,專利法學,,2020-01-07
6250427,Inherent defect,固有瑕疵,,海商法法條,,2020-01-07
6250428,Initial public offering / IPO,首次公開發行,,證券交易實務,,2020-01-07
6250429,Inside information,內線消息,,證券交易法條文,,2020-01-07
6250430,Insider,內部人,,證券交易法條文,,2020-01-07
6250431,Insider trading / Insider dealing,內線交易,,證券交易法條文,insider trading（美式） / insider dealing（英式）,2020-01-07
6250432,Inspector,檢查人,,公司法條文,,2020-01-07
6250433,Institutional investor,機構投資人,,證券交易法條文,,2020-01-07
6250434,Insufficiency of marks,標誌不足,,海商法法條,,2020-01-07
6250435,Insufficiency of packing,包裝不固,,海商法法條,,2020-01-07
6250436,Insurable interest,保險利益,,保險法法條,,2020-01-07
6250437,Insurance,保險,,保險法法條,,2020-01-07
6250438,Insurance agent,保險代理人,,保險法法條,,2020-01-07
6250439,Insurance broker,保險經紀人,,保險法法條,,2020-01-07
6250440,Insurance enterprise,保險業,,保險法法條,,2020-01-07
6250441,Insurance guaranty fund,保險安定基金,,保險法法條,,2020-01-07
6250442,Insurance Law / Insurance Act,保險法,,保險法名稱,主管機關的正式名稱為insurace act，但國外慣用名稱為insurance law,2020-01-07
6250443,Insurance policy,保險單,,保險法法條,,2020-01-07
6250444,Insurance solicitor,保險業務員,,保險法法條,,2020-01-07
6250445,Insured / Assured,被保險人,,保險法法條,,2020-01-07
6250446,Insurer / Underwriter,保險人,,保險法法條 ；保險實務,保險實務上亦稱保險人為underwriter,2020-01-07
6250447,Intended purpose,用途,,商標法,,2020-01-07
6250448,Interested party/ Stakeholder,利害關係人,,公司法條文,,2020-01-07
6250449,Internal auditing officer,內部稽核主管,,證券交易法條文,,2020-01-07
6250450,Internal control,內部控制,,證券交易法條文,,2020-01-07
6250451,International exhaustion,國際耗盡,,專利法學,,2020-01-07
6250452,International exhibition,國際展覽會,,商標法,,2020-01-07
6250453,International intergovernmental organization,國際跨政府組織,,商標法,,2020-01-07
6250454,International priority for patent filing,國際優先權,,專利實務,,2020-01-07
6250455,Invalidation,舉發 {專利法條} ； 評定 {商標法},,專利法條、商標法,,2020-01-07
6250456,Invention made for commission,受聘發明,,專利法學,,2020-01-07
6250457,Invention made for employment,職務發明,,專利法學,,2020-01-07
6250458,Invention patent / Utility patent,發明專利,,專利法條,前為我國法條直譯 ；後為美國法慣用。,2020-01-07
6250459,Inventive step / Non-obviousness,進步性,,專利法學,前為歐洲法慣用 ；後為美國法慣用。,2020-01-07
6250460,Inventor,發明人,,專利法條,,2020-01-07
6250461,Inventorship,發明歸屬,,專利法學,,2020-01-07
6250462,Investment adviser,投資顧問,,證券交易法條文,,2020-01-07
6250463,Investor protection,投資人保護,,證券交易法條文,,2020-01-07
6250464,Issuance,發行,,公司法條文 ；證券交易法條文,,2020-01-07
6250465,Jettison,投棄,,海商法法條,,2020-01-07
6250466,Joint ownership of patent,共有專利權,,專利法條,,2020-01-07
6250467,Joint survey,共同檢定,,海商法法條,,2020-01-07
6250468,Jointly owned trademark,共有商標,,商標法,,2020-01-07
6250469,Jurisdiction clause,管轄權條款,,海商法學,,2020-01-07
6250470,Knowingly to infringe trademark right,故意侵害商標權,,商標法,,2020-01-07
6250471,Lapse for nonpayment of premium,停效,,保險法法條,,2020-01-07
6250472,Lashing,穩固,,海商法法條,,2020-01-07
6250473,Latent defect,隱有瑕疵,,海商法法條,,2020-01-07
6250474,Law of large numbers,大數法則,,保險法學,,2020-01-07
6250475,Letter of undertaking,擔保書,,海商實務,,2020-01-07
6250476,Level premium,平準保費,,保險實務,,2020-01-07
6250477,Liability insurance,責任保險,,保險法法條,,2020-01-07
6250478,Liberty clause,甲板裝載自由條款,,海商法學,,2020-01-07
6250479,Licensee,被授權人,,專利法條,,2020-01-07
6250480,Licensee,被授權人,,商標法,,2020-01-07
6250481,Licensor,授權人,,專利法條,,2020-01-07
6250482,Life income policy,終身年金保險,,保險法法條,,2020-01-07
6250483,Life insurance,人身保險；人壽保險,,保險法法條,,2020-01-07
6250484,Likelihood of confusion,混淆誤認之虞,,商標法,,2020-01-07
6250485,Likelihood of deception,公眾誤認誤信之虞,,商標法,主管機關之用語為being likely to mislead the public。,2020-01-07
6250486,Likelihood of dilution of the distinctiveness of a well-known trademark or mark,減損著名商標之識別性或信譽之虞,,商標法,,2020-01-07
6250487,Likelihood of dilution of the reputation of a well-known trademark or mark,減損著名商標或標章之信譽之虞,,商標法,,2020-01-07
6250488,Limitation of liability,責任限制,,海商法學,,2020-01-07
6250489,Limited company,有限公司,,公司法條文,,2020-01-07
6250490,Limited liability,有限責任,,公司法條文,,2020-01-07
6250491,Liquidation,清算,,公司法條文,,2020-01-07
6250492,Liquidator,清算人,,公司法條文,,2020-01-07
6250493,Listed company,上市（櫃）公司,,公司實務,,2020-01-07
6250494,Listing,上市,,證券交易法條文,,2020-01-07
6250495,Literal infringement,文義侵害,,專利法學,,2020-01-07
