ID,英文名稱,中文名稱,圖片,德文,日文,法類/法條,審定日期,更新日期
21387811,Criminal usury,重利,,Ｗucher {Ger.},,刑法,114.07.12,
21387813,Bigamy,重婚,,Doppelehe {Ger.} / Bigamie {Ger.},,刑法,114.07.12,
21387816,Grievous bodily injury,重傷,,Schwere Körperverletzung {Ger.},,刑法第23章,114.07.26,
21387818,Constructive Forcible Sexual Intercourse; Sexual intercourse with another person by taking advantage of their unconscious state or inability to resist,乘機性交,,Konstruktiver gewaltsamer Geschlechtsverkehr; Sexueller Missbrauch widerstandsunfähiger Personen {Ger.},,刑法,114.07.12,
21387820,Abuse,凌虐,,Misshandeln {Ger.},,刑法,114.07.12,
21387822,Exploitation of prostitutes / Exploitation of sexual workers,剝削性工作者,,Ausbeutung von Prostituierten {Ger.},,刑法,114.07.12,
21387825,Providing a place for prostitutions,容留賣淫,,Bereitstellung von Raum für Prostitution {Ger.},,刑法231條,114.07.12,
21387827,Disturbing public peace by threatening to commit offences,恐嚇公眾,,Störung des öffentlichen Frieden durch Androhung von Straftaten {Ger.},,刑法第7章,114.07.12,
21387829,Extortion,恐嚇取財,,Erpressung {Ger.},,刑法第33章,114.07.12,
21387831,Cultivating poppies,栽種罌粟,,Mohnanbau {Ger.},,刑法260條,114.07.12,
21387833,Heroin,海洛因,,Heroin {Ger.},,刑法,114.07.12,
21387835,Property,財產,,Vermögen {Ger.},,刑法,114.07.12,
21387837,Property interest,財產利益,,Vermögensvorteil {Ger.},,刑法第32章,114.07.12,
21387839,Property loss,財產損失,,Vermögensverlust {Ger.},,刑法第32章,114.07.12,
21387841,High-risk countries or regions,高風險國家或地區,,Hochrisikoländer oder -regionen {Ger.},,洗錢防制法,114.07.12,
21387843,Cocaine,高根,,Takane {Ger.},,刑法,114.07.12,
21387845,Trade name counterfeiting,偽造已登記之商號,,Fälschung einer eingetragenen Handelsbezeichnung {Ger.} / Fälschung eines eingetragenen Handelsnamens {Ger.},,刑法,114.07.12,
21387848,Trademark counterfeiting,偽造已登記之商標,,Fälschung einer eingetragenen Marke {Ger.},,刑法253條,114.07.12,
21387850,Goods with counterfeit trade name / Products with counterfeit trade name,偽造商號之貨物,,Waren mit gefälschter Handelsbezeichnung {Ger.} / Waren mit gefälschterm Handelsnamen {Ger.} / Produkte mit gefälschter Handelsbezeichnung {Ger.} / Produkte mit gefälschtem Handelsnamen {Ger.},,刑法,114.07.12,
21387856,Goods with counterfeit trademarks / Products with counterfeit trademarks,偽造商標之貨物,,Waren mit gefälschter Marke {Ger.} / Produkte mit gefälschter Marke {Ger.} / Gefälschte Markenwaren {Ger.} / Gefälschte Markenprodukte {Ger.},,刑法,114.07.12,
21387863,Participating in criminal organisations,參與犯罪結社,,Beteiligung an kriminellen Vereinigungen {Ger.},,刑法第7章,114.07.12,
21387865,Product quality,商品之品質,,Produktqualität {Ger.},,刑法,114.07.12,
21387867,Goods' country of origin / Product's country of origin,商品之原產國,,Herkunftsland der Ware {Ger.} / Herkunftsland der Produkte {Ger.},,刑法255條,114.07.12,
21387871,Physical and mental health of nationals,國民身心健康,,Körperliche und geistige Gesundheit des Volks {Ger.},,毒品危害防制條例,114.07.12,
21387873,International cooperation,國際合作,,Internationale Zusammenarbeit {Ger.},,洗錢防制法,114.07.12,
21387875,Retaining stolen goods,寄藏贓物,,Verheimlichen einer gestohlenen Sache {Ger.},,刑法第34章,114.07.12,
21387877,Opium paraphernalia,專供吸食鴉片之器具,,Geräte speziell zum Opiumrauchen {Ger.},,刑法258條,114.07.12,
21387879,Paraphernalia exclusively for using narcotics,專供施用毒品之器具,,Ausschließliche Vorrichtung zur Anwendung von Drogen {Ger.},,毒品危害防制條例,114.07.12,
21387881,Paraphernalia exclusively for manufacturing narcotics,專供製造毒品之器具,,Ausschließliche Vorrichtung zur Herstellung von Drogen {Ger.},,毒品危害防制條例,114.07.12,
21387883,Commercial handling of stolen goods,常業贓物罪,,Gewerbsmäßige Hehlerei {Ger.},,刑法第34章,114.07.12,
21387885,Rape causing death,強制性交致死,,Vergewaltigung mit Todesfolge {Ger.},,刑法,114.07.12,
21387887,Rape causing severe bodily injury,強制性交致重傷,,Vergewaltigung mit schwerer Körperverletzung {Ger.},,刑法,114.07.12,
21387889,Indecency through compulsion causing death,強制猥褻致死,,Nötigung zur Unzucht mit Todesfolge ; Nötigung zu sexuellen Handlungen mit Todesfolge {Ger.},,刑法,114.07.12,
21387891,Indecency through compulsion causing severe bodily injury,強制猥褻致重傷,,Nötigung zur Unzucht mit schwerer Körperverletzung ; Nötigung zu sexuellen Handlungen mit schwerer Körperverletzung {Ger.},,刑法,114.07.12,
21387893,Robbery,強盜,,Raub {Ger.},,刑法第30章,114.07.12,
21387895,Urinary test,採驗尿液,,Urinuntersuchung {Ger.} / Urintest {Ger.},,毒品危害防制條例,114.07.12,
21387898,Abetting suicide,教唆自殺,,Anstiftung zu Selbstmord {Ger.},,刑法第22章,114.07.12,
21387900,Homicide,殺人,,Totschlag {Ger.},,刑法第22章,114.07.12,
21387902,Abduction of minors,略誘未成年人罪,,Entziehung Minderjähriger {Ger.},,刑法,114.07.12,
21387904,Unlawful purpose of gain for a third party,第三人不法所有意圖,,Drittzueignungsabsicht {Ger.},,刑法第29章,114.07.12,
21387906,Sale of narcotics,販賣毒品,,Drogenverkauf {Ger.},,刑法,114.07.12,
21387908,Purpose for sale,販賣意圖,,Verkaufsabsicht {Ger.},,毒品危害防制條例,114.07.12,
21387910,Sale of poppy seeds,販賣罌粟種子,,Verkauf von Mohnsamen {Ger.},,刑法,114.07.12,
21387912,Adultery,通姦,,Ehebruch {Ger.},,刑法,114.07.12,
21387914,Narcotic drugs,麻醉藥品,,Betäubungsmitteln {Ger.},,毒品危害防制條例,114.07.12,
21387916,Narcotics and their products,麻醉藥品與其製品,,Betäubungsmittel und ihre Produkte {Ger.},,毒品危害防制條例,114.07.12,
21387918,Pimping,媒介賣淫,,Zuhälterei {Ger.} / Vermittelung von Prostitution {Ger.},,刑法第16-1章231條,114.07.26,
21387921,Assisting in disposing stolen goods {Ger.},媒介贓物,,Vermittelung von Beute {Ger.},,刑法349條 德國法259,114.07.26,
21387925,Employment services,就業服務,,Arbeitsvermittlung {Ger.},,毒品危害防制條例,114.07.12,
21387927,Educational services,就學服務,,Bildungsdienstleistungen {Ger.},,毒品危害防制條例,114.07.12,
21387929,Dissemination,散布,,Verbreiten {Ger.},,刑法,114.07.12,
21387931,"Distribution, procurement and possession of child pornographic content",散布、取得及持有兒童色情內容物,,"Verbreitung, Erwerb und Besitz kinderpornographischer Inhalte {Ger.}",,刑法,114.07.12,
21387933,"Distribution, procurement and possession of youth pornographic content",散布、取得及持有青少年色情內容物,,"Verbreitung, Erwerb und Besitz jugendpornographischer Inhalte {Ger.}",,刑法,114.07.12,
21387934,"Verbreitung, Erwerb und Besitz jugendpornographischer Inhalte {Ger.}",散布、取得及持有青少年色情內容物,,,,刑法,114.07.12,
21387935,Disseminating misinformation,散布不實資訊,,Verbreitung von falschen Informationen {Ger.},,刑法,114.07.12,
21387937,Distribution of pornographic content,散布色情內容物,,Verbreitung pornographischer Schriften {Ger.},,刑法,114.07.12,
21387939,Distribution of pornographic content involving violent acts or sexual acts with animals,散布暴力色情或人獸色情內容物,,Verbreitung gewalt- oder tierpornographischer Inhalte {Ger.},,刑法,114.07.12,
21387941,Unauthorized Use of Automobiles and Other Vehicles .,無權使用交通工具罪,,Unbefugter Gebrauch eines Fahrzeugs {Ger.},,刑法第29章,114.07.12,
21387943,Gang theft,結夥竊盜,,Bandendiebstahl {Ger.},,刑法第29章,114.07.12,
21387945,False indication,虛偽之表示,,Falscher Ausdruck {Ger.} / Falsche Beschreibung {Ger.},,刑法,114.07.12,
21387948,False mark,虛偽之標記,,Falsches Zeichen {Ger.},,刑法,114.07.12,
21387950,Rape by deception,詐術性交,,Betrugsartiger Geschlechtsverkehr {Ger.},,刑法,114.07.12,
21387952,Theft by deception,詐術性竊盜,,Trickdiebstahl {Ger.},,刑法第29章,114.07.12,
21387954,Deception in marriage,詐術結婚,,Ehetäuschung {Ger.},,刑法,114.07.12,
21387956,Fraud,詐欺,,Betrug {Ger.},,刑法第32章,114.07.12,
21387958,Selling or buying of children,買賣兒童,,Kinderhandel {Ger.},,刑法,114.07.12,
21387960,Causing false records,間接登載不實；間接虛偽登載,,Mittelbare Falschbeurkundung {Ger.},,刑法第15章,114.07.12,
21387962,Bodily injury,傷害,,Körperverletzung {Ger.},,刑法第23章,114.07.26,
21387964,Bodily injury resulting in death,傷害致死,,Körperverletzung mit Todesfolge {Ger.},,刑法,114.07.26,
21387966,Morphine,嗎啡,,Morphium {Ger.},,刑法,114.07.12,
21387968,Dispose of subject property for obstruction of compulsory enforcement,損害債權,,Verfügung von Sacheigentum zur Verhinderung der Zwangsvollstreckung {Ger.},,刑法第35章,114.07.12,
21387970,Damage,損壞,,Beschädigen {Ger.},,刑法第35章,114.07.12,
21387972,Causing damage to important facilities,損壞重要設備,,Beschädigung wichtiger Anlagen {Ger.},,刑法,114.07.12,
21387974,Transporting stolen goods,搬運贓物,,Transport einer gestohlenen Sache {Ger.},,刑法第34章,114.07.12,
21387976,Accountant,會計師,,Wirtschaftsprüfer:in {Ger.},,洗錢防制法,114.07.12,
21387978,Destory,毀棄,,Zerstören {Ger.},,刑法第35章,114.07.12,
21387980,Damage to property,毀損物品,,Sachbeschädigung {Ger.},,刑法第35章,114.07.26,
21387982,Damage to buildings and structures,毀損建造物,,Zerstörung von Bauwerken {Ger.},,刑法第35章,114.07.12,
21387984,Constructive robbery,準強盜,,Räuberischer Diebstahl {Ger.},,刑法第30章,114.07.12,
21387986,Essential items for daily life announced by the Executive Yuan,經行政院公告之生活必需用品,,Die von Executive Yuan bekanntgemachten Artikel des täglichen Bedarfs {Ger.},,刑法,114.07.12,
21387988,Subsidy fraud,補助詐欺,,Subventionsbetrug {Ger.},,刑法第32章,114.07.12,
21387990,Stalking,跟蹤騷擾,,Nachstellung {Ger.},,刑法,114.07.12,
21387992,Essential items required for agriculture,農業必需之物品,,Für die Landwirtschaft benötigte Artikel {Ger.},,刑法251條,114.07.12,
21387994,Transportation of narcotics / Drug trafficking,運輸毒品,,Drogentransport {Ger.},,刑法,114.07.12,
21387997,Transportation of poppy seeds,運輸罌粟種子,,Transport von Mohnsamen {Ger.},,刑法,114.07.12,
21387999,Negligent bodily injury,過失傷害,,Fahrlässige Körperverletzung {Ger.},,刑法,114.07.26,
21388001,Dangerous construction practices,違反建築成規,,Baugefährdung {Ger.},,刑法,114.07.12,
21388003,Electronic communication,電子通訊,,Elektronische Kommunikation {Ger.},,刑法,114.07.12,
21388005,Generated by a computer,電腦合成,,Computergenerierung {Ger.},,刑法319-4,114.07.12,
21388008,Computer fraud,電腦詐欺,,Computerbetrug {Ger.},,刑法第36章、刑法第32章,114.07.12,
21388010,Fraudulent exercise of public office,僭行公務員職權,,Amtsanmassung {Ger.},,刑法第7章,114.07.12,
21388012,Beneficial owner,實質受益人,,Wirtschaftlich Berechtigte(r) {Ger.} / Tatsächlicher Begünstigte(r) {Ger.},,洗錢防制法,114.07.12,
21388015,Sexual abuse of children,對兒童的性濫用行為,,Sexueller Missbrauch von Kindern {Ger.},,刑法,114.07.12,
21388017,Sexual abuse of children resulting in death,對兒童的性濫用行為致死,,Sexueller Missbrauch von Kindern mit Todesfolge {Ger.},,刑法,114.07.12,
21388019,Sexual abuse of persons in one’s charge,對受保護之人性濫用行為,,Sexueller Missbrauch von Schutzbefohlenen {Ger.},,刑法,114.07.12,
21388021,"Sexual abuse of prisoners, persons detained by official order, or sick or vulnerable institutionalised persons",對於囚犯、受官署拘禁之人或是在機構中之病患及有幫助需求者的性濫用行為,,"Sexueller Missbrauch von Gefangenen, behördlich Verwahrten oder Kranken und Hilfsbedürftigen in Einrichtungen {Ger.}",,刑法,114.07.12,
21388023,Sexual abuse of juveniles,對青少年的性濫用行為,,,,刑法,114.07.12,
21388025,Intercepting data,截取電磁紀錄,,Abfangen von Daten {Ger.},,刑法第36章,114.07.26,
21388027,Public incitement to commit offences,煽惑犯罪,,Öffentliche Aufforderung zu Straftaten {Ger.},,刑法第7章,114.07.12,
21388029,Person with mental disorders,精神障礙之人,,Person mit seelischer Störungen {Ger.},,刑法,114.07.12,
21388031,Internet,網際網路,,Internet {Ger.},,刑法,114.07.12,
21388033,Fight involving a group of people,聚眾鬥毆,,Beteiligung an einer Schlägerei {Ger.},,刑法,114.07.12,
21388035,Statutory rape,與兒童或青少年性交,,Sexueller Missbrauch von Kindern oder Jugendlichen {Ger.},,刑法,114.07.12,
21388037,Lewd acts with a minor,與兒童或青少年猥褻,,Sexuelle Handlungen mit Kindern oder Jugendlichen {Ger.},,刑法,114.07.12,
21388039,Producing false sexual images of another person,製作關於他人不實之性影像,,Herstellung von falschen sexuellen Abbildungen einer anderen Person {Ger.},,刑法,114.07.12,
21388041,Manufacture of narcotics,製造毒品,,Drogenherstellung {Ger.},,刑法,114.07.12,
21388043,Promoting a minor to engage in a sexual acts,誘使未成年人為性的行為,,Verlocken von Minderjährigen zu sexuellen Handlungen {Ger.},,刑法233條,114.07.12,
21388045,Bank,銀行,,Bank {Ger.},,洗錢防制法,114.07.12,
21388047,Abortion,墮胎,,Schwangerschaftsabbruch {Ger.},,刑法第24章,114.07.12,
21388049,Radio and television,廣播電視,,Radio und Fernsehen {Ger.},,刑法,114.07.12,
21388051,Affecting the price of products,影響物品之交易價格,,Beeinflussen des Transaktionspreis von Artikeln {Ger.},,刑法,114.07.12,
21388053,Psychotropic substances and their products,影響精神物質與其製品,,Psychoaktive Substanzen und ihre Produkte {Ger.},,毒品危害防制條例,114.07.12,
21388055,Broadcast,播送,,Senden {Ger.},,刑法,114.07.12,
21388057,Process of customer identity verification,確認客戶身分程序,,Kundenidentifizierungsverfahren {Ger.},,洗錢防制法,114.07.12,
21388059,Ministry of Health and Welfare,衛生福利部,,Ministerium für Gesundheit und Wohlfahrt {Ger.},,毒品危害防制條例,114.07.12,
21388061,Gambling,賭博,,Glücksspiel {Ger.},,刑法第21章,114.07.12,
21388063,Illegal gambling,賭博罪,,Unerlaubtes Glücksspiel {Ger.},,刑法,114.07.12,
21388065,Driving under the Influence,醉態駕駛,,Trunkenheit im Verkehr {Ger.},,刑法,114.07.12,
21388067,Opium,鴉片,,Opium {Ger.},,刑法,114.07.12,
21388069,Causing public nuisance,激起公憤,,Erregung öffentlichen Ärgernisses {Ger.},,刑法,114.07.12,
