ID,英文名稱,中文名稱,圖片,組別,審定日期,更新日期
21381831,warranty bond,保固金,,營建管理,113.07.20,
21381832,warranty of title,所有權擔保,,營建管理,114.03.15,
21381833,warranty period,保固期,,營建管理,113.07.20,
21381834,wash primer,金屬表面處理劑,,大地工程及結構,113.06.08,
21381835,waste management,廢棄物管理,,營建管理,114.03.15,
21381836,water density,水密度,,大地工程及結構,113.06.08,
21381837,water footprint,水足跡,,營建管理,114.03.15,
21381838,water pump,抽水機,,營建管理,113.08.10,
21381839,water quality unit (WQU),淨水單元；水質單位,,營建管理,114.05.10,
21381840,watercraft liability,水上作業保險,,營建管理,114.03.15,
21381841,waterproof membrane,防水薄膜,,大地工程及結構,113.06.08,
21381842,wavering,表面不平整,,營建管理,114.05.10,
21381843,wear,磨耗 ,,大地工程及結構,113.06.08,
21381844,wearing surface,磨耗面,,營建管理,114.05.10,
21381845,weather resistance,耐候性,,營建管理,114.03.15,
21381846,weatherboard,護牆板；風雨板,,營建管理,114.05.10,
21381847,weave bead,織動銲道,,大地工程及結構,113.06.08,
21381848,weaving technique,織動銲法,,大地工程及結構,113.06.08,
21381849,weld area,銲接區域,,大地工程及結構,113.06.08,
21381850,weld axis,銲道軸線,,大地工程及結構,113.06.08,
21381851,weld interface,熔融界面,,大地工程及結構,113.06.08,
21381852,weld junction,熔融界面；熔融接合面,,大地工程及結構,113.06.08,
21381853,weld line,銲接線,,大地工程及結構,113.06.08,
21381854,weld pool,熔池,,大地工程及結構,113.06.08,
21381855,weld run sequence,熔填順序,,大地工程及結構,113.06.08,
21381856,weld sequence,銲接順序,,大地工程及結構,113.06.08,
21381857,weld size,銲道尺寸,,大地工程及結構,113.06.08,
21381858,weld tab,導銲板,,大地工程及結構,113.06.08,
21381859,weld toe,銲趾,,大地工程及結構,113.06.08,
21381860,weld zone,銲接區,,大地工程及結構,113.06.08,
21381861,weldability,銲接性；可銲性,,大地工程及結構,113.06.08,
21381862,weldability test,銲接性試驗；可銲性試驗,,大地工程及結構,113.06.08,
21381863,welded joint,銲接接合；銲接接頭,,大地工程及結構,113.06.08,
21381864,welding condition,銲接條件,,大地工程及結構,113.06.08,
21381865,welding consumables,銲接材料；銲接耗材,,大地工程及結構,113.06.08,
21381866,welding current,銲接電流,,大地工程及結構,113.06.08,
21381867,welding defect,銲接缺陷,,大地工程及結構,113.06.08,
21381868,welding distortion,銲接變形,,大地工程及結構,113.06.08,
21381869,welding equipment,銲接設備,,大地工程及結構,113.06.08,
21381870,welding flaw,銲接瑕疵,,大地工程及結構,113.06.08,
21381871,welding machine,銲接機具,,大地工程及結構,113.06.08,
21381872,welding method,銲接方法,,大地工程及結構,113.06.08,
21381873,welding operation,銲接作業,,大地工程及結構,113.06.08,
21381874,welding parameter,銲接參數,,大地工程及結構,113.06.08,
21381875,welding performance test,銲接作業性試驗；銲接工作性試驗,,大地工程及結構,113.06.08,
21381876,welding position,銲接姿勢,,大地工程及結構,113.06.08,
21381877,welding preformance qualification,銲接技能檢定,,大地工程及結構,113.06.08,
21381878,welding procedure test,銲接程序試驗,,大地工程及結構,113.06.08,
21381879,welding process,銲接方法,,大地工程及結構,113.06.08,
21381880,welding schedule,銲接計畫,,大地工程及結構,113.06.08,
21381881,welding sequence schedule,銲接順序計畫,,大地工程及結構,113.06.08,
21381882,welding set,銲接設備,,大地工程及結構,113.06.08,
21381883,welding speed,銲接速率,,大地工程及結構,113.06.08,
21381884,welding transfer,熔滴移行{銲接},,結構工程,113.03.30,
21381885,welding transformer,銲接用變壓器,,大地工程及結構,113.06.08,
21381886,welding wire,銲線,,大地工程及結構,113.06.08,
21381887,welds,銲道,,大地工程及結構,113.06.08,
21381888,wet density,濕密度,,大地工程及結構,113.06.08,
21381889,wheel of learning (WOL),學習輪,,營建管理,113.07.20,
21381890,wheelchair ramp,無障礙坡道,,營建管理,114.05.10,
21381891,wide plank,寬木地板材,,營建管理,114.05.10,
21381892,widen,加寬；拓寬,,營建管理,114.05.10,
21381893,width-thickness ratio,寬厚比,,大地工程及結構,113.06.08,
21381894,wildcat strike,未經工會同意之罷工,,營建管理,113.07.20,
21381895,Williams-Steiger Act,美國職業安全衛生法,,營建管理,113.08.10,
21381896,wind post,抗風柱,,大地工程及結構,113.06.08,
21381897,window assembly,組合窗；窗戶組裝,,營建管理,114.05.10,
21381898,window well,窗井,,營建管理,114.10.04,
21381899,windowsill,窗臺,,營建管理,114.10.04,
21381900,winter protection,防寒保護措施,,營建管理,114.10.04,
21381901,wire diameter,銲線線徑,,大地工程及結構,113.06.08,
21381902,wire feeder,送線機,,大地工程及結構,113.06.08,
21381903,wire glass,鋼絲玻璃,,營建管理,114.10.04,
21381904,women-owned business enterprises (WBEs),女性擁有之企業,,營建管理,113.07.20,
21381905,work change directive,工作變更指示,,營建管理,114.03.15,
21381906,Work Hours Act of 1962,美國1962年工時法,,營建管理,113.07.20,
21381907,work injuries and illnesses,職業傷病,,營建管理,113.07.20,
21381908,work preservation clause,工作保留條款,,營建管理,113.07.20,
21381909,work rules,工作規則,,營建管理,113.08.10,
21381910,work task,工作任務,,營建管理,113.08.10,
21381911,workers' compensation laws,勞工補償法律,,營建管理,113.07.20,
21381912,working line,工作線,,大地工程及結構,113.06.08,
21381913,workmanlike manner,具工藝水準做法,,營建管理,114.03.15,
21381914,workmanship,工藝,,營建管理,114.03.15,
21381915,workmen's compensation insurance,勞工賠償保險,,營建管理,113.08.10,
21381916,wormhole,蟲孔；蟲形氣孔,,大地工程及結構,113.06.08,
21381917,XCU exclusion,爆炸(X)、崩塌(C)、地下(U)等危害排除條款{保險},,營建管理,114.03.15,
21381918,yard drain,庭院排水,,營建管理,114.10.04,
21381919,yellow-dog contract,黃犬契約；限制勞工加入工會之契約,,營建管理,113.07.20,
21381920,zip strip,間隙飾條,,營建管理,114.10.04,
21381921,zoning approval,土地使用分區核定,,營建管理,114.10.04,
21381922,zoning location survey,使用分區測量,,營建管理,114.03.15,
21381923,zoning verification letter,土地使用分區證明,,營建管理,114.10.04,
