ID,英文名稱,中文名稱,圖片,所在國,經緯坐標,備註,更新日期
3016122,Thielsen Mt.,提爾森峰,,美國,43° 09′ N 122° 04′ W,,2017-06-09
3016123,Thielt (Tielt),提爾特,,比利時,60° 00′ N 3° 20′ E,,2017-06-09
3016124,Thiers,提耶赫,,法國,45° 51′ N 3° 33′ E,,2017-06-09
3016125,Thies,提斯,,塞內加爾,14° 50′ N 17° 06′ W,,2017-06-09
3016126,Thiesi (Tiesi),提耶西,,義大利,40° 31′ N 8° 43′ E,,2017-06-09
3016127,Thiki,提基,,塞內加爾,14° 37′ N 17° 05′ W,,2017-06-09
3016128,Thimphu (Thimbu),辛布,,不丹,27° 28′ N 89° 38′ E,,2017-06-09
3016129,Thingeyri,辛蓋里,,冰島,65° 53′ N 23° 30′ W,,2017-06-09
3016130,Thingvallavatn,辛瓦拉湖,,冰島,64° 11′ N 21° 09′ W,,2017-06-09
3016131,Thio Adoli,提歐阿多利,,衣索比亞,13° 43′ N 40° 44′ E,,2017-06-09
3016132,Thionville,提昂維勒,,法國,49° 21′ N 6° 10′ E,,2017-06-09
3016133,Thiou (Tiou),提烏,,布吉納法索,13° 48′ N 2° 40′ W,,2017-06-09
3016134,"Thira, Nisos (Santorini I.)",西拉島(桑托里尼島),,希臘,36° 24′ N 25° 28′ E,,2017-06-09
3016135,"Third Cataract (Thalith, Ash Shallal ath)",第三急湍,,蘇丹,19° 49′ N 30° 19′ E,,2017-06-09
3016136,Thirlmere,色米爾湖,,英國,54° 32′ N 3° 04′ W,,2017-06-09
3016137,Thirsk,色斯克,,英國,54° 13′ N 1° 20′ W,,2017-06-09
3016138,Thirtyone Mile L.,三十一哩湖,,加拿大,46° 13′ N 75° 48′ W,,2017-06-09
3016139,Thisted,提斯特德,,丹麥,56° 58′ N 8° 42′ E,,2017-06-09
3016140,Thistilfjörethur,夕斯提爾峽灣,,冰島,66° 19′ N 15° 22′ W,,2017-06-09
3016141,Thistle I.,夕斯爾島,,澳大利亞,34° 59′ S 136° 09′ E,,2017-06-09
3016142,Thityabin,迪雅賓,,緬甸,23° 19′ N 95° 31′ E,,2017-06-09
3016143,Thiva (Thebes),夕瓦(夕布斯),,希臘,38° 20′ N 23° 19′ E,,2017-06-09
3016144,Thiviers,提維耶,,法國,45° 25′ N 0° 55′ E,,2017-06-09
3016145,Thjorsa R.,斯約沙河,,冰島,63° 47′ N 20° 48′ W,,2017-06-09
3016146,Tholen,托倫島,,荷蘭,51° 35′ N 4° 06′ E,,2017-06-09
3016147,Thomas Mt.,湯姆山,,美國,33° 54′ N 109° 33′ W,,2017-06-09
3016148,Thomaston,湯姆頓,,美國,41° 40′ N 73° 04′ W,,2017-06-09
3016149,Thomastown,湯姆鎮,,愛爾蘭,52° 32′ N 7° 08′ W,,2017-06-09
3016150,Thomasville,湯姆維,,美國,35° 52′ N 80° 04′ W,,2017-06-09
3016151,"Thomlinson, Mount",湯林孫峰,,加拿大,55° 32′ N 127° 29′ W,,2017-06-09
3016152,Thompsonville,湯普孫維,,美國,37° 55′ N 88° 45′ W,,2017-06-09
3016153,Thomson,湯姆孫,,美國,33° 28′ N 82° 30′ W,,2017-06-09
3016154,Thomson R.,湯姆孫河,,澳大利亞,25° 11′ S 142° 53′ E,,2017-06-09
3016155,Thomsons Falls (Nyahururu),湯姆孫弗斯(尼亞胡魯魯),,肯亞,0° 03′ N 36° 22′ E,,2017-06-09
3016156,Thongwa,棟瓜（宋割）,,緬甸,16° 46′ N 96° 32′ E,,2017-06-09
3016157,Thonon-les-Bains (Thonon),多農[班],,法國,46° 22′ N 6° 29′ E,,2017-06-09
3016158,Thorne,索恩,,英國,53° 36′ N 0° 57′ W,,2017-06-09
3016159,Thornhill,索恩希爾,,英國,55° 13′ N 3° 46′ W,,2017-06-09
3016160,Thorntown,索恩鎮,,美國,40° 07′ N 86° 36′ W,,2017-06-09
3016161,Thorold,索羅爾德,,加拿大,43° 07′ N 79° 11′ W,,2017-06-09
3016162,Thorshöfn,索斯赫芬,,冰島,66° 12′ N 15° 20′ W,,2017-06-09
3016163,Thorshoj (Torshoj),托斯赫伊,,丹麥,57° 20′ N 10° 18′ E,,2017-06-09
3016164,Thouars,土瓦赫,,法國,46° 59′ N0° 13′ W,,2017-06-09
3016165,Thourout(Torhout),土魯 (托爾豪特),,比利時,51° 04′ N 3° 06′ E,,2017-06-09
3016166,Thousand Is.,千島,,美國/加拿大,44° 20′ N 76° 00′ W,,2017-06-09
3016167,Thousand Lake Mt.,千湖山,,美國,38° 25′ N 111° 28′ W,,2017-06-09
3016168,Thrace (Thracia),色雷斯,,{歐洲},41° 20′ N 26° 45′ E,,2017-06-09
3016169,Thrapston,斯拉普斯頓,,英國,52° 23′ N 0° 32′ W,,2017-06-09
3016170,Three Hummock I.,三圓丘島,,澳大利亞,40° 26′ S 144° 54′ E,,2017-06-09
3016171,Three Kings Is.,三王群島,,紐西蘭,34° 10′ S 172° 05′ E,,2017-06-09
3016172,"Three Points, C.",三點岬,,迦納,4° 45′ N 2° 05′ W,,2017-06-09
3016173,Three Rivers,三河城,,加拿大,47° 12′ N 53° 11′ W,,2017-06-09
3016174,Three Rivers,三河城,,美國,28° 27′ N 98° 10′ W,,2017-06-09
3016175,Thrissur (Trichur),德里久爾,,印度,10° 31′ N 76° 13′ E,,2017-06-09
3016176,Throckmorton,斯羅克摩頓,,美國,36° 25′ N 87° 38′ W,,2017-06-09
3016177,Throssell Ra.,斯羅瑟嶺,,澳大利亞,17° 24′ S 126° 04′ E,,2017-06-09
3016178,Thruso,斯魯索,,英國,58° 35′ N 3° 31′ W,,2017-06-09
3016179,Thueyts,帝耶,,法國,44° 41′ N 4° 13′ E,,2017-06-09
3016180,Thuin,帝安,,比利時,50° 20′ N 4° 17′ E,,2017-06-09
3016181,Thule,土勒,,丹屬{格陵蘭島},76° 32′ N 68° 42′ W,,2017-06-09
3016182,Thule I.,土勒島,,英屬{南喬治亞與南桑威赤群島},59° 27′ S 27° 19′ W,,2017-06-09
3016183,Thumayl,蘇麥勒,,伊拉克,33° 01′ N 42° 59′ E,,2017-06-09
3016184,"Thumb, The",姆指山,,美國,37° 04′ N 118° 26′ W,,2017-06-09
3016185,Thun,土恩,,瑞士,46° 45′ N 7° 37′ E,,2017-06-09
3016186,Thunder B.,桑德灣,,美國,59° 33′ N 150° 11′ W,,2017-06-09
3016187,Thunder Hills,桑德丘陵,,加拿大,54° 32′ N 106° 15′ W,,2017-06-09
3016188,"Thunersee (Thun, Lago di)",圖恩湖,,瑞士,46° 41′ N 7° 43′ E,,2017-06-09
3016189,Thung Song,童頌,,泰國,8° 18′ N 99° 22′ E,,2017-06-09
3016190,Thung Song (Tungsong),童頌,,泰國,8° 10′ N 99° 41′ E,,2017-06-09
3016191,Thur,土爾河,,瑞士,47° 36′ N 8° 35′ E,,2017-06-09
3016192,Thurber,瑟伯,,美國,38° 04′ N 88° 25′ W,,2017-06-09
3016193,"Thurgau, Kanton",土爾高州,,瑞士,47° 35′ N 9° 15′ E,,2017-06-09
3016194,Thüringen Wald (Thuringian Forest),土林根林山,,德國,50° 40′ N 10° 50′ E,,2017-06-09
3016195,"Thüringen, Freistaat",土林根邦,,德國,50° 55′ N 11° 00′ E,,2017-06-09
3016196,Thurles,瑟勒斯,,愛爾蘭,52° 41′ N 7° 48′ W,,2017-06-09
3016197,Thurloo Downs,瑟魯當斯,,澳大利亞,29° 17′ S 143° 29′ E,,2017-06-09
3016198,Thurrock,瑟羅克,,英國,51° 30′ N 0° 25′ E,,2017-06-09
3016199,Thursday I.,週四島,,澳大利亞,10° 34′ S 142° 13′ E,,2017-06-09
3016200,Thurso,瑟索,,英國,58° 36′ N 3° 32′ W,,2017-06-09
3016201,"Thurso, R.",瑟索河,,英國,58° 36′ N 3° 30′ W,,2017-06-09
3016202,Thurston,瑟斯頓,,英國,52° 15′ N 0° 48′ E,,2017-06-09
3016203,Thurston I.,瑟斯頓島,,{南極洲},71° 23′ S 98° 32′ W,,2017-06-09
3016204,Thusis,土西斯,,瑞士,46° 42′ N 9° 26′ E,,2017-06-09
3016205,Tia,提亞,,澳大利亞,31° 12′ S 151° 50′ E,,2017-06-09
3016206,Tiaong,提昂,,菲律賓,13° 58′ N 121° 19′ E,,2017-06-09
3016207,Tiaret,提亞黑,,阿爾及利亞,35° 22′ N 1° 19′ E,,2017-06-09
3016208,Tiassale,提亞薩列,,象牙海岸,5° 54′ N 4° 49′ W,,2017-06-09
3016209,Tibagi,提巴吉,,巴西,24° 30′ S 50° 24′ W,,2017-06-09
3016210,Tibati,提巴提,,喀麥隆,6° 28′ N 12° 38′ E,,2017-06-09
3016211,Tibau,提保,,巴西,4° 50′ S 37° 15′ W,,2017-06-09
3016212,"Tiberias, L. (Galilee, Sea of)",太比里亞斯湖(加里利海),,以色列/敘利亞,32° 48′ N 35° 35′ E,,2017-06-09
3016213,Tibesti,提貝斯提山脈,,查德,21° 30′ N 17° 30′ E,,2017-06-09
3016214,Tibnine (Tibnin),提卜寧,,黎巴嫩,33° 12′ N 35° 25′ E,,2017-06-09
3016215,Tibooburra,提波布拉,,澳大利亞,29° 26′ S 142° 00′ E,,2017-06-09
3016216,"Tiburon, Isla",提布隆島,,墨西哥,29° 00′ N 112° 20′ W,,2017-06-09
3016217,"Tiburon, Punta",提布隆岬,,巴拿馬,9° 04′ N 81° 48′ W,,2017-06-09
3016218,"Tichit, Dahr",提契崖,,茅利塔尼亞,18° 27′ N 9° 28′ W,,2017-06-09
3016219,"Ticino, Cantone",提契諾州,,瑞士,46° 15′N 8° 35′ E,,2017-06-09
3016220,Tickhill,提克希爾,,英國,53° 25′ N 1° 06′ W,,2017-06-09
3016221,Ticonderoga,泰康德羅加,,美國,43° 51′ N 73° 25′ W,,2017-06-09
3016222,Ticul,提庫爾,,墨西哥,20° 24′ N 89° 32′ W,,2017-06-09
3016223,Tidaholm,提達荷爾母,,瑞典,58° 11′ N 13° 57′ E,,2017-06-09
3016224,Tideswell,泰茲威爾,,英國,53° 17′ N 1° 47′ W,,2017-06-19
3016225,"Tidikelt, Plaine du",提迪開勒平原,,阿爾及利亞,27° 00′ N 1° 30′ E,,2017-06-09
3016226,Tidjikja,提吉基亞,,茅利塔尼亞,18° 31′ N 11° 27′ W,,2017-06-09
3016227,"Tidra, Ile (Et Tidra)",提德拉島,,茅利塔尼亞,19° 44′ N 16° 24′ W,,2017-06-09
3016228,Tidworth,提德沃斯,,英國,51° 14′ N 1° 39′ W,,2017-06-09
3016229,Tiebissou,帖比蘇,,象牙海岸,7° 09′ N 5° 13′ W,,2017-06-09
3016230,Tieboro,帖波賀,,查德,21° 20′ N 17° 07′ E,,2017-06-09
3016231,Tiefencastel,提芬卡斯特爾,,瑞士,46° 40′ N 9° 35′ E,,2017-06-09
3016232,Tieio (Tyeso),提艾歐 (提耶索),,象牙海岸,8° 26′ N 6° 35′ W,,2017-06-09
3016233,Tiekoungoba (Tyinkongoba),帖昆哥巴,,馬利,11° 28′ N 6° 34′ W,,2017-06-09
3016234,Tiel,提爾,,荷蘭,51° 53′ N 5° 27′ E,,2017-06-09
3016235,Tielmes,帖爾美斯,,西班牙,40° 15′ N 3° 19′ W,,2017-06-09
3016236,Tieme,帖美,,象牙海岸,5° 13′ N 4° 39′ W,,2017-06-09
3016237,Tien Yen,先安,,越南,21° 20′ N 107° 24′ E,,2017-06-09
3016238,Tienen (Tirlemont),提嫩(提勒蒙),,比利時,50° 48′ N 4° 56′ E,,2017-06-09
3016239,Tienpo,田波,,賴比瑞亞,5° 10′ N 8° 10′ W,,2017-06-09
3016240,Tiermas,帖爾馬斯,,西班牙,42° 37′ N 1° 07′ W,,2017-06-09
3016241,Tierp,提耶普,,瑞典,60° 20′ N 17° 30′ E,,2017-06-09
3016242,Tierpoort,提爾波特,,南非,25° 52′ S 28° 26′ E,,2017-06-09
3016243,Tierra del Fuego,火地島,,智利/阿根廷,54° 00′ S 69° 00′ W,,2017-06-09
