ID,英文名稱,中文名稱,圖片,生歿年,國籍,專長,備註,更新日期
3252320,"Lacombe, Louis Trouillon","拉孔伯,路易",,1818-1884,法國,作曲；鋼琴,,2017-08-08
3252321,"Lacombe, Paul","拉孔伯,保爾",,1837-1927,法國,作曲,,2017-08-08
3252322,"Ladd, Andrew",拉德,,1960-,英國,作曲,,2017-08-08
3252323,"Ladmirault, Paul",拉德米羅,,1877-1944,法國,作曲,,2017-08-08
3252324,"LaFave, Kenneth",拉法弗,,1951-,美國,作曲,,2017-08-08
3252325,"Lafont, Charles Philippe",拉馮,,1781-1839,法國,小提琴；作曲,,2017-08-08
3252326,"Lail, Lorri",賴爾,,1904-1978,挪威,聲樂,次女高音,2017-08-08
3252327,"Laitman, Lori",賴特曼,,1955-,美國,作曲,,2017-08-08
3252328,"Lajtha, László",拉依塔,,1892-1963,匈牙利,作曲；音樂學,,2017-08-08
3252329,"Lalande, Michel-Richard de",拉隆德,,1657-1726,法國,作曲,,2017-08-08
3252330,"Lalo, Édouard",拉羅,,1823-1892,法國,作曲,,2017-08-08
3252331,"Lambert, Alexander","隆貝爾,亞力山大",,1862-1923,美國,鋼琴,波蘭裔,2017-08-08
3252332,"Lambert, Constant",藍伯特,,1905-1951,英國,作曲；指揮；著作,,2017-08-08
3252333,"Lambert, Raymond Édouard","隆貝爾,雷蒙",,1908-1966,比利時,鋼琴,,2017-08-08
3252334,"Lambertini, Marta",藍貝爾蒂妮,,1937-,阿根廷,作曲,,2017-08-08
3252335,"Lamond, Frederic",拉蒙德,,1868-1948,英國（蘇格蘭）,鋼琴,,2017-08-08
3252336,"Lamothe, Ludovic",拉莫特,,1882-1953,海地,作曲,,2017-08-08
3252337,"Lamotte, Franz",拉摩特,,1751-1781,荷蘭,小提琴；作曲,,2017-08-08
3252338,"Lamoureux, Charles","拉穆柔,夏勒",,1834-1899,法國,指揮；小提琴,,2017-08-08
3252339,"Lamoureux, Jean Jacques","拉穆柔,尚",,1946-,加拿大,作曲,,2017-08-08
3252340,"Lampugnani, Giovanni",藍普亞尼,,1706-1786,義大利,作曲,,2017-08-08
3252341,"Lancen, Serge",隆桑,,1922-2005,法國,鋼琴；作曲,,2017-08-08
3252342,"Lanchbery, John",藍奇貝利,,1923-2003,英國,指揮；作曲,,2018-04-17
3252343,"Lancino, Thierry",隆奇諾,,1954-,法國,作曲,,2017-08-08
3252344,"Landi, Stefano",藍迪,,1586-1639,義大利,作曲,,2017-08-08
3252345,"Landini, Francesco",藍迪尼,,1325-1397,義大利,作曲,,2017-08-08
3252346,"Landowska, Wanda",藍朵芙絲卡,,1879-1959,波蘭,大鍵琴,,2017-08-08
3252347,"Landowski, Marcel",隆朵夫斯基,,1915-1999,法國,作曲,,2017-08-08
3252348,"Landré, Guillaume",藍德瑞,,1905-1968,荷蘭,作曲；著作,,2017-08-08
3252349,"Lang, David","藍格,大衛",,1957-,美國,作曲,,2017-08-08
3252350,"Lang, Josephine","藍格,約瑟芬",,1815-1880,德國,作曲,,2017-08-08
3252351,"Lang, Paul Henry","藍格,保羅",,1901-1991,美國,音樂學,匈牙利裔,2017-08-08
3252352,"Lange, Francisco Curt","藍格,弗朗西斯科",,1903-1997,烏拉圭,音樂學,德裔,2017-08-08
3252353,"Lange, Hans","藍格,漢斯",,1884-1960,美國,小提琴；指揮,德裔,2017-08-08
3252354,"Lange-Müller, Peter Erasmus",藍格－繆勒,,1850-1926,丹麥,作曲,,2017-08-08
3252355,"Langgaard, Rued Immanuel",藍加德,,1893-1952,丹麥,作曲,,2017-08-08
3252356,"Langlais, Jean",隆格列,,1907-1991,法國,管風琴；作曲,,2017-08-08
3252357,"Lanier, Nicholas",拉尼爾,,1588-1666,英國,作曲,,2017-08-08
3252358,"Lankester, Michael",藍開斯特,,1944-,英國,指揮,,2017-08-08
3252359,"Lanman, Anthony",隆曼,,1973-,美國,作曲,,2017-08-08
3252360,"Lanner, Joseph",藍納,,1801-1843,奧地利,小提琴；作曲,,2017-08-08
3252361,"Lansky, Paul",藍斯基,,1944-,美國,作曲,,2017-08-08
3252362,"Lanza, Alcides",藍札,,1929-,加拿大,作曲,阿根廷裔,2018-04-17
3252363,"Lanzani, Giorgio",藍札尼,,1948-,義大利,作曲,,2017-08-08
3252364,"Laparra, Raoul",拉帕拉,,1876-1943,法國,作曲,,2017-08-08
3252365,"Laporte, André",拉波爾特,,1931-,比利時,作曲,,2017-08-08
3252366,"Lara, Isidore de",拉臘,,1858-1935,英國,作曲；鋼琴,,2017-08-08
3252367,"Larchet, John Francis",拉其特,,1884-1967,愛爾蘭,作曲,,2017-08-08
3252368,"Laredo, Jaime",拉雷多,,1941-,美國,小提琴,玻利維亞裔,2017-08-08
3252369,"Large, Brain",拉吉,,1937-,英國,音樂學,,2017-08-08
3252370,"LaRocca, Frank",拉羅卡,,1951-,美國,作曲,,2017-08-08
