ID,英文名稱,中文名稱,圖片,備註,更新日期
2711597,Committee Responsible for Identification and Placement of Gifted and Disabled Students,特殊教育學生鑑定及就學輔導委員會,,,2016-10-04
2711598,common core curriculum,共同核心課程,,,2016-10-04
2711599,common education,普通教育,,,2016-10-04
2711600,common entrance examination,共通入學考試；統一入學考試,,,2016-10-04
2711601,common school,平民學校,,,2016-10-04
2711602,Commons Education Select Committee,下議院教育委員會 {英},,英國教育學,2016-10-04
2711603,communicative approach,溝通式語言教學法 {英},,英國教育學,2016-10-04
2711604,community college,社區大學；社區學院,,,2016-10-04
2711605,community link course,社區結合課程 {英},,英國教育學,2016-10-04
2711606,community school,社區學校,,,2016-10-04
2711607,communization,社區化,,,2016-10-04
2711608,comparative education,比較教育,,,2016-10-04
2711609,comparative method,比較法,,,2016-10-04
2711610,comparative psychology,比較心理學,,,2016-10-04
2711611,compensation,補償,,,2016-10-04
2711612,Competence Indicators of Grade 1-9 curriculum,能力指標,,,2016-10-04
2711613,competence-based class grouping,能力分班,,,2016-10-04
2711614,competitive examination,競爭考試,,,2016-10-04
2711615,competitive scholarship examination,獎學金競試,,,2016-10-04
2711616,completion method,填充法,,,2016-10-04
2711617,completion of schooling,結業,,,2016-10-04
2711618,completion study period,修業期滿,,,2016-10-04
2711619,complex,情結；複結,,,2016-10-04
2711620,complex of inferiority,自卑情結,,,2016-10-04
2711621,complex reaction,複合反應,,,2016-10-04
2711622,complex response,複合反應,,,2016-10-04
2711623,composite high school,綜合中學{美},,,2016-10-04
2711624,comprehensive activity,綜合活動,,,2016-10-04
2711625,comprehensive examination,綜合試驗；綜合測驗,,,2016-10-04
2711626,comprehensive high school,綜合中學 {美},,,2016-10-04
2711627,comprehensive school,綜合中學 {英},,英國教育學,2016-10-04
2711628,compulsory attendance,強迫就學,,,2016-10-04
2711629,compulsory education,義務教育,,,2016-10-04
2711630,Compulsory Education Law,國民教育法；義務教育法,,,2016-10-04
2711631,compulsory school age,義教年齡,,,2016-10-04
2711632,computer-based educational administration,教育行政ｅ化,,,2016-10-04
2711633,computerization of administration,行政業務電腦化,,,2016-10-04
2711634,concentric circle method,同心圓方法,,,2016-10-04
2711635,concomitant learning,附學習,,,2016-10-04
2711636,conditional promotion,條件式升級,,,2016-10-04
2711637,conditioned reflex,制約反射,,,2016-10-04
2711638,conditioned response,制約反應,,,2016-10-04
2711639,conditioned stimulus,制約刺激,,,2016-10-04
2711640,conduct,行為；操行,,,2016-10-04
2711641,conference,研討會,,,2016-10-04
2711642,confinement punishment,禁閉,,,2016-10-04
2711643,conscience,良心,,,2016-10-04
2711644,consciousness,意識,,,2016-10-04
2711645,conservatory,音樂學校,,,2016-10-04
2711646,constant error,常誤,,,2016-10-04
2711647,constant in curricula,持續的課程,,,2016-10-04
2711648,construction of curriculum,課程建構,,,2016-10-04
2711649,construction of test,測驗編製,,,2016-10-04
2711650,consultative committee,諮詢委員會；諮議委員會,,,2016-10-04
2711651,continuation school,繼續學校；進修學校,,,2016-10-04
2711652,continuing contract,續聘,,,2016-10-04
2711653,continuing education,繼續教育,,,2016-10-04
2711654,contract,聘約,,,2016-10-04
2711655,contract termination,解聘,,,2016-10-04
2711656,control and evaluation,管制考核,,,2016-10-04
2711657,control group,控制組,,,2016-10-04
2711658,controlled school,掌控型學校 {英}；監管型學校 {英},,英國教育學,2016-10-04
2711659,convent,女修道院,,,2016-10-04
2711660,convention of school principals,校長聯席會議,,,2016-10-04
2711661,conversational method,會話法,,,2016-10-04
2711662,convocation of graduates,畢業生集會,,,2016-10-04
2711663,cooking school,烹調學校；烹飪學校,,,2016-10-04
2711664,cooperation and exchange programs between schools,校際合作交流,,,2016-10-04
2711665,cooperative education,合作教育,,,2016-10-04
2711666,cooperative school,合作學校 {美},,,2016-10-04
2711667,core Subjects,核心科目,,,2016-10-04
2711668,corporal punishment,體罰,,,2016-10-04
2711669,corporation school,社團學校 {美},,,2016-10-04
2711670,correctional education,矯正教育,,,2016-10-04
2711671,corrective education,矯正教育,,,2016-10-04
2711672,correlation coefficient,相關係數,,,2016-10-04
2711673,correlation table,相關表,,,2016-10-04
2711674,correspondence course,函授課程,,,2016-10-04
2711675,correspondence school,函授學校,,,2016-10-04
2711676,cosmopolitan high school,綜合中學 {美},,,2016-10-04
2711677,council school,地方公立學校 {英},,英國教育學,2016-10-04
2711678,council secondary school,地方公立中等學校 {英},,英國教育學,2016-10-04
2711679,Counseling and Guidance Center for Overseas Chinese and Foreign Students,僑生及外籍生輔導室,,,2016-10-04
2711680,counseling and guidance group,諮詢輔導團,,,2016-10-04
2711681,country secondary school,地方公立中等學校 {英},,英國教育學,2016-10-04
2711682,county schools,郡立學校 {英},,英國教育學,2016-10-04
2711683,course,科目,,,2016-10-04
2711684,course of instruction,教學科目,,,2016-10-04
2711685,court of university,大學管理部門,,,2016-10-04
2711686,court school,宮廷學校,,,2016-10-04
2711687,crammer,補習學校 {英}；補習班 {英},,英國教育學,2016-10-04
2711688,cramming,填鴨式教育；死記硬背,,,2016-10-04
2711689,cramming school,補習班,,,2016-10-04
2711690,creative activity,有創造力的活動,,,2016-10-04
2711691,creative education,有創造力的教育,,,2016-10-04
2711692,creativity,創造能力,,,2016-10-04
2711693,crèche,托兒所；育嬰所 {法},,,2016-10-04
2711694,credit,學分,,,2016-10-04
2711695,credit-based system,學年學分制,,,2016-10-04
2711696,credits requirement for graduation,畢業應修學分數,,,2016-10-04
2711697,credits waiver and transference,學分抵免,,,2016-10-04
2711698,cripple education,殘障教育,,,2016-10-04
2711699,cripple school,殘障學校,,,2016-10-04
2711700,critical pedagogy,批判教育學,,,2016-10-04
2711701,critical score,批判分數,,,2016-10-04
2711702,criticism lesson,批評課,,,2016-10-04
2711703,cross-examination,詰問考試；答辯考試,,,2016-10-04
2711704,crowd psychology,群眾心理學,,,2016-10-04
2711705,crude mode,概約眾數,,,2016-10-04
2711706,crusade for higher standards,追求卓越的聖戰 {英},,英國教育學,2016-10-04
2711707,C-score,C分數,,,2016-10-04
2711708,cultivation,陶冶；教化,,,2016-10-04
2711709,cultural education,文化教育,,,2016-10-04
2711710,culture,文化；修養,,,2016-10-04
2711711,culture and education exchange,文教交流,,,2016-10-04
2711712,culture pedagogy,文化教育學,,,2016-10-04
2711713,culture subject,文化學科,,,2016-10-04
2711714,"Culture, Media and Sport [Select] Committee",下議院文化、媒體和運動委員會 {英},,英國教育學,2016-10-04
2711715,cumulative error,累積誤差,,,2016-10-04
2711716,current events instruction,時事教學,,,2016-10-04
2711717,curricula-constant,持續的課程,,,2016-10-04
2711718,curricula-differentiation,課程分化,,,2016-10-04
2711719,curriculum,課程,,,2016-10-04
2711720,Curriculum Council for Wales {=CCW},威爾斯課程委員會 {英},,英國教育學,2016-10-04
2711721,curriculum evaluation,課程評鑑,,,2016-10-04
2711722,curriculum goals,課程目標,,,2016-10-04
2711723,curriculum guidelines,課程綱要,,,2016-10-04
2711724,curriculum integration,課程統整,,,2016-10-04
2711725,curriculum rationale,課程理念,,,2016-10-04
2711726,curriculum reform,課程改革,,,2016-10-04
2711727,curve,曲線,,,2016-10-04
2711728,curve diagram,曲線圖,,,2016-10-04
2711729,curve of error,錯誤曲線,,,2016-10-04
2711730,curve of forgetting,遺忘曲線,,,2016-10-04
2711731,curve of improvement,進步曲線,,,2016-10-04
2711732,curve of learning,學習曲線,,,2016-10-04
2711733,curve of memory,記憶曲線,,,2016-10-04
2711734,curve of normal distribution,常態分配曲線,,,2016-10-04
2711735,curve of practice,練習曲線,,,2016-10-04
2711736,curve of work,工作曲線,,,2016-10-04
2711737,cutaneous sensation,膚覺,,,2016-10-04
2711738,dactylogy,手語術,,,2016-10-04
2711739,daily program,日課表,,,2016-10-04
2711740,daily schedule,日課表,,,2016-10-04
2711741,daily-life guidance,生活輔導,,,2016-10-04
2711742,Dalton Plan,道爾頓計畫,,,2016-10-04
2711743,day care center,日托中心；托兒所,,,2016-10-04
2711744,day dream,白日夢,,,2016-10-04
2711745,day nursery,日間托兒所,,,2016-10-04
2711746,dean,院長；學院院長,,,2016-10-04
2711747,dean of men,男姓訓導主管,,,2016-10-04
2711748,dean of women,女姓訓導主管,,,2016-10-04
2711749,Dearing's Report,狄林報告書 {英},,英國教育學,2016-10-04
2711750,decision-making support system for education,教育決策支援系統,,,2016-10-04
2711751,decreasing of class size,降低國民中小學班級學生人數,,,2016-10-04
2711752,deductive method,演繹法,,,2016-10-04
2711753,degrade,降級；降等,,,2016-10-04
2711754,degree certificate,學位證書,,,2016-10-04
2711755,degree review,學位審查,,,2016-10-04
2711756,delayed reaction,延宕反應,,,2016-10-04
2711757,democratic education,民本教育；民主教育,,,2016-10-04
2711758,demographic database,人口基本資料庫,,,2016-10-04
2711759,demonstration,示範,,,2016-10-04
2711760,demonstration lesson,演示課,,,2016-10-04
2711761,demonstration method,示範法,,,2016-10-04
2711762,demonstration school,示範學校,,,2016-10-04
2711763,demonstration teaching,示範教學,,,2016-10-04
2711764,denominational school,教派學校,,,2016-10-04
2711765,department,區；科；部；系,,,2016-10-04
2711766,Department for Education,教育部 {英},,英國教育學,2016-10-04
2711767,Department for Education and Employment {=DfEE},教育與就業部 {英},,英國教育學,2016-10-04
2711768,Department for Education and Skills {=DfES},教育與技能部 {英},,英國教育學,2016-10-04
2711769,department of dentistry,牙醫學系,,,2016-10-04
2711770,department of education,教育學系,,,2016-10-04
2711771,Department of Education and Science,教育與科學部 {英},,英國教育學,2016-10-04
2711772,Department of Education Northern Ireland {=DENI},北愛爾蘭教育部,,,2016-10-04
2711773,department of medicine,醫學系,,,2016-10-04
2711774,departmental teaching,分科教學,,,2016-10-04
2711775,deputy chief education officer,教育局副局長,,,2016-10-04
2711776,deputy head,副校長,,,2016-10-04
2711777,Design Council,設計委員會 {英},,英國教育學,2016-10-04
2711778,detailed reading,精讀,,,2016-10-04
2711779,detention,扣留；拘禁；處罰學生放學後留校,,,2016-10-04
2711780,detention punishment,留置懲罰,,,2016-10-04
2711781,development indicators,發展指標,,,2016-10-04
2711782,developmental mode of teaching,啟發式教學,,,2016-10-04
2711783,developmental retardation,發展遲緩,,,2016-10-04
2711784,diagnosis,診斷,,,2016-10-04
2711785,diagnosis test,診斷測驗,,,2016-10-04
2711786,diagnostic method,診斷法,,,2016-10-04
2711787,dialectic[s],辯證法,,,2016-10-04
2711788,dialects,鄉土語言,,,2016-10-04
2711789,dialogistical method,對話法,,,2016-10-04
2711790,diary for instruction,教學日誌,,,2016-10-04
2711791,diary method,日誌法,,,2016-10-04
2711792,dictation,默寫,,,2016-10-04
2711793,didactics,訓育學,,,2016-10-04
2711794,dietetics,營養學,,,2016-10-04
2711795,differential psychology,差異心理學,,,2016-10-04
2711796,differentiated curriculum,課程分化,,,2016-10-04
2711797,digital subscriber line {=DSL},數位式訂戶線,,,2016-10-04
2711798,diploma,學位證書；文憑；畢業證書,,,2016-10-04
2711799,diploma of graduation,畢業證書,,,2016-10-04
2711800,direct discipline,直接訓練,,,2016-10-04
2711801,direct interest,直接興趣,,,2016-10-04
2711802,direct learning,直接學習,,,2016-10-04
2711803,direct method of teaching,直接教學法,,,2016-10-04
2711804,directed learning,指導的學習,,,2016-10-04
2711805,directed play,指導的遊戲,,,2016-10-04
2711806,directed study,指導的學習,,,2016-10-04
2711807,direction of learning,學習指導,,,2016-10-04
2711808,directly to advanced study,逕行修讀,,,2016-10-04
2711809,disciplinary class,懲戒班,,,2016-10-04
2711810,discipline,訓練；學門,,,2016-10-04
2711811,discipline evaluation,學門評鑑,,,2016-10-04
2711812,discrimination treatment,差別待遇,,,2016-10-04
2711813,dismissal,免職；解散；退學；驅除,,,2016-10-04
2711814,disposition,傾向,,,2016-10-04
2711815,dissertation,學位論文,,,2016-10-04
2711816,distance learning,遠距教學,,,2016-10-04
2711817,distribution,分配,,,2016-10-04
2711818,divinity school,神學院,,,2016-10-04
2711819,doctor,博士,,,2016-10-04
2711820,doctor degree,博士學位,,,2016-10-04
2711821,doctoral candidate,博士[學位]候選人,,,2016-10-04
2711822,doctoral degree,博士學位,,,2016-10-04
2711823,doctoral dissertation,博士論文,,,2016-10-04
2711824,doctorate,博士學位,,,2016-10-04
2711825,doctorate dissertation,博士論文,,,2016-10-04
