ID,英文名稱,中文名稱,圖片,德文,日文,出處,章條,備註,更新日期
7197216,Statutory agents,法定代理人,,,,人工生殖法,第29條,,2020-04-01
7197217,Substantive gender equality,性別實質平等,,,,性別平等教育法,第1條,,2020-04-01
7197218,Teachers' act,教師法,,,,性別平等教育法,第34條,,2020-04-01
7197219,Teaching materials,教材,,,,性別平等教育法,第18條,,2020-04-01
7197220,Teaching on gender equality education and related issues,性別平等教育之教學,,,,性別平等教育法,第4條,,2020-04-01
7197221,Testing and assessment,檢查及評估,,,,人工生殖法,第7條,,2020-04-01
7197222,Civil service employment act,公務人員任用法,,,,性別平等教育法,第34條,,2020-04-01
7197223,Compilation and composition of course materials,學校教材之編寫,,,,性別平等教育法,第18條,,2020-04-01
7197224,Gender equality in employment act,性別工作平等法,,,,性別平等教育法,第34條,,2020-04-01
7197225,Historical contribution of different gender,不同性別之歷史貢獻,,,,性別平等教育法,第18條,,2020-04-01
7197226,Necessity of artificial reproduction,人工生殖之必要性,,,,人工生殖法,第12條,,2020-04-01
7197227,Protection of the involved party's right to education,保障當事人之受教權,,,,性別平等教育法,第23條,,2020-04-01
7197228,Provider of the reproductive cells,生殖細胞提供者,,,,人工生殖法,第21條,,2020-04-01
7197229,Remedy for a case,救濟方法,,,,性別平等教育法,第20條,,2020-04-01
7197230,Review of course materials,學校教材之審查,,,,性別平等教育法,第18條,,2020-04-01
7197231,Selection of course materials,學校教材選用,,,,性別平等教育法,第18條,,2020-04-01
7197232,Success rate,成功率,,,,人工生殖法,第12條,,2020-04-01
7197233,Teacher grievance review committee at the central government,中央教師申訴評議委員會,,,,性別平等教育法,第16條,,2020-04-01
7197234,Teacher grievance review committee at the county or city level,縣（市）主管機關之教師申訴評議委員會,,,,性別平等教育法,第16條,,2020-04-01
7197235,Teacher grievance review committee at the municipal level,直轄市主管機關之教師申訴評議委員會,,,,性別平等教育法,第16條,,2020-04-01
7197236,Type of the case and handling of the case,事件之樣態及處理方式,,,,性別平等教育法,第26條,,2020-04-01
7197237,Type of treatment,施行方式,,,,人工生殖法,第12條,,2020-04-01
7197238,Transferring to another artificial reproduction institution,轉贈其他人工生殖機構,,,,人工生殖法,第20條,,2020-04-01
7197239,Transportation expenses,交通費用,,,,人工生殖法,第8條,,2020-04-01
7197240,Treatment records of artificial reproduction,人工生殖施術情形,,,,人工生殖法,第14條,,2020-04-01
7197241,Tubal embryo transfer {=TET},輸卵管內胚胎植入,,,,人工生殖法,,,2020-04-01
7197242,Union of sperm or oocyte from relatives,親屬間精子卵子之結合,,,,人工生殖法,第15條,,2020-04-01
7197243,Universities and colleges,大專校院,,,,性別平等教育法,第17條,,2020-04-01
7197244,Unwelcome verbal or physical advances,不受歡迎之言語或行為,,,,性別平等教育法,第2條,,2020-04-01
7197245,Uterus,子宮,,,,人工生殖法,第2條,,2020-04-01
7197246,Verbal or physical harrassment of a sexual nature,具有性意味言語或行為,,,,性別平等教育法,第2條,,2020-04-01
7197247,Verbal violence,語言暴力,,,,性別平等教育法,第2條,,2020-04-01
7197248,Written consent,書面同意,,,,人工生殖法,第12條,,2020-04-01
7197249,Relatives,親屬,,Verwandtschaft,親族,民法親屬編,,,2020-04-01
7197250,Line of kinship,親系,,Verwandtschaftslinie,親系,民法親屬編,,,2020-04-01
7197251,Degree of kinship,親等,,Verwandtschaftsgrad,親等,民法親屬編,,,2020-04-01
7197252,Seniority in the family/Rank (Relatives),輩分,,Rang vom Generationen,輩行,民法親屬編,,,
7197253,Relatives by blood,血親,,Verwandtschaft durch Abstammung,血族,民法親屬編,,,2020-04-01
7197254,Lineal relatives by blood,直系血親,,Verwandt in gerader Linie,直系血族,民法親屬編,,,2020-04-01
7197255,Collateral relatives by blood,旁系血親,,Verwandt in der Seitenlinie,傍系血族,民法親屬編,,,2020-04-01
7197256,Relatives by marriage,姻親,,Schwägerschaft,姻族,民法親屬編,,,2020-04-01
7197257,Lineal relatives by marriage,直系姻親,,Verschwäger in gerader Linie,直系姻族,民法親屬編,,,2020-04-01
7197258,Collateral relatives by marriage,旁系姻親,,Verschwäger in der Seitenlinie,傍系姻族,民法親屬編,,,2020-04-01
7197259,Spouse of relatives by blood,血親之配偶,,Ehegatten des Verwansdtschafts durch Abstammung,血族の配偶者,民法親屬編,,,2020-04-01
7197260,Relatives by blood of spouse,配偶之血親,,Verwandtschaft durch Abstammung des Ehegatten,配偶者の血族,民法親屬編,,,2020-04-01
7197261,Spouse of the spouse of relatives by blood,配偶之血親之配偶,,Ehegatten von Ehegatten des Verwandtschafts durch Abstammung,配偶者の血族の配偶者,民法親屬編,,,2020-04-01
7197262,Marriage,婚姻,,Ehe,婚姻,民法親屬編,,,2020-04-01
7197263,Agreement to marry,婚約,,Verlöbnis /Verlobung,婚約,民法親屬編,,,2020-04-01
7197264,Dissolution of engagement / Dissolution of betrothal,婚約解除,,Rücktritt des Verlöbnisses,婚約の解除,民法親屬編,,,
7197265,Betrothal null and void,婚約無效,,Nichtigkeit des Verlöbnisses,婚約の無効,民法親屬編,,,2020-04-01
7197266,Annulment of betrothal,婚約撤銷,,Anfechtung des Verlöbnisses,婚約の取消,民法親屬編,,,2020-04-01
7197267,Conclusion of marriage,結婚,,Eingehung der Ehe,結婚,民法親屬編,,,2020-04-01
7197268,Age of marriage,結婚的法定年齡,,Ehemüdigkeit,婚姻適齢,民法親屬編,,,2020-04-01
7197269,Marriage Registration,結婚之登記,,Eintragung der Ehe in das Eheregister,婚姻の届出,民法親屬編,,,2020-04-01
7197270,Household registration offices,戶政機關,,Standesamt,戸籍事務所,民法親屬編,,,2020-04-01
7197271,Bigamy,重婚,,Bigamie/Doppelehe /Mehrfacheehe,重婚,民法親屬編,,,2020-04-01
7197272,Impotence,不能人道,,Impotenz,性交不能,民法親屬編,,,2020-04-01
7197273,Annulment of marriage,結婚撤銷,,Aufhebung der Ehe,結婚の取消,民法親屬編,,,2020-04-01
7197274,Marriage null and void / Nullity of marriage,結婚無效,,Nichtigkeit der Ehe,結婚の無効,民法親屬編,,,2020-04-01
7197275,Dissolution of marriage,婚姻消滅,,Auflösung der Ehe,婚姻の解消,民法親屬編,,,2020-04-01
7197276,近似概念為Married name,夫妻之冠姓,,近似概念為Ehename,配偶者の姓を冠する制度,民法親屬編,,,2020-04-01
7197277,Cohabitation obligation,同居義務,,Kohabitationspflicht / Pflicht zum Zusammenleben / Eheliche Lebensgemeinschaft,同居義務,民法親屬編,,,2020-04-01
7197278,Matrimonial domicile,夫妻之住所,,Eheliche Wohnsitz,夫婦の住所,民法親屬編,,,2020-04-01
7197279,Daily housekeeping agency,日常家務代理權,,Gesetzliche Vertretung der Geschäfte zur Deckung des Lebensbedarfs,日常家事の代理権,民法親屬編,,,2020-04-01
7197280,Family maintenance,家庭生活費用,,Familienunterhalt,婚姻費用,民法親屬編,,,2020-04-01
7197281,Matrimonial property regime,夫妻財產制,,Eheliches Güterrecht,夫婦財産制,民法親屬編,,,2020-04-01
7197282,Statutory matrimonial property regime,法定財產制,,Gesetzliche Güterrecht,法定財産制,民法親屬編,,,2020-04-01
7197283,Contractual matrimonial property regime,約定財產制,,Vertragliches Güterrecht,契約財産制,民法親屬編,,,2020-04-01
7197284,Property acquired before marriage,婚前財產,,"Vermögen, das ein Ehegatten vor der Eheschließung erwirbt",婚姻前の財産,民法親屬編,,,2020-04-01
7197285,Property acquired during marriage,婚後財產,,"Vermögen, das ein Ehegatten nach der Eheschließ-ung erwirbt",婚姻後の財産,民法親屬編,,,2020-04-01
7197286,Matrimonial money for free disposal,自由處分金,,Betrag zur freien Verfügung des haushaltsführenden Ehegatten,自由処分金,民法親屬編,,,2020-04-01
7197287,Distribution of the remainder of statutory matrimonial property,剩餘財產分配,,Zugewinnausgleich,残余財産の分配,民法親屬編,,,2020-04-01
7197288,Community property regime,共同財產制,,Gütergemeinschaft,共同財産制,民法親屬編,,,2020-04-01
7197289,Common property,共同財產,,Gesamtgut,共同財産,民法親屬編,,,2020-04-01
7197290,Special property,特有財產,,Sondergut,特有財産,民法親屬編,,,2020-04-01
7197291,Separate property regime,分別財產制,,Gütertrennung,別産制,民法親屬編,,,2020-04-01
7197292,Divorce/Dissolution of marriage,離婚,,Ehescheidung/Scheitern der Ehe,離婚,民法親屬編,,,2020-04-01
7197293,Divorce by mutual consent,兩願離婚,,Scheidung vom Einwilligung beider Pateien,協議上の離婚,民法親屬編,,,2020-04-01
7197294,Divorce registration,離婚登記,,Amtliche Eintragung der Ehescheidung,離婚の届出,民法親屬編,,,2020-04-01
7197295,Divorce by adjudication,裁判離婚,,Ehescheidung durch richterliche Entscheidung,裁判上の離婚,民法親屬編,,,
7197296,Adultery,與配偶以外之人合意性交,,Ehebruch,姦通,民法親屬編,,,2020-04-01
7197297,Unbearable spouse abuse,夫妻間不堪同居之虐待,,Unerträglicher Misshandlung zwischen Ehegatten,配偶者による同居に堪えざる虐待,民法親屬編,,,2020-04-01
7197298,Desertion,惡意遺棄,,Desertion,悪意の遺棄,民法親屬編,,,2020-04-01
7197299,Incurable disease,不治之惡疾,,Unheilbare Krankheit,回復の見込みがない悪疾,民法親屬編,,,2020-04-01
7197300,Incurable mental disorder,重大不治之精神病,,Unheilbare Geistkrankheit,回復の見込みがない強度の精神病,民法親屬編,,,2020-04-01
7197301,Missing for over three years,生死不明逾三年,,Verschollen über drei Jahre,生死が三年以上明らかでない,民法親屬編,,,2020-04-01
7197302,Irreconcilable differences in marriage,難以維持婚姻之重大事由,,Scheitern der Ehe,婚姻を継続し難い重大な事由,民法親屬編,,,2020-04-01
7197303,Divorce by mediation,調解離婚,,Scheidung durch den gerichtlichen Vergleich,調停離婚,民法親屬編,,,2020-04-01
7197304,Child custody after divorce,離婚後對未成年子女權利義務之行使與負擔,,Elterliche Sorge nach der Scheidung,離婚後の親権,民法親屬編,,,2020-04-01
7197305,Best interests of the child,子女之最佳利益,,Kindeswohl,子どもの最善の利益,民法親屬編,,,2020-04-01
7197306,Visitation of minor children,與未成年子女之會面交往,,Umgang des Kindes mit den Eltern,未成年の子との面会交流,民法親屬編,,,2020-04-01
