ID,英文詞彙,中文名詞,備註,更新日期
21388847,30th highest hourly volume,第30最高小時交通量,公路,
21388848,A B shift,雙班制,公路,
21388849,abrasion resistance of aggregate,粒料之耐磨性,公路,
21388850,absorption of aggregate,粒料之吸水性,公路,
21388851,abutment,橋台,公路,
21388852,accelerating admixture for concrete,混凝土速凝劑；混凝土早強劑,公路,
21388853,accidents involving damage to vehicle or property,車輛或財物受損之事故,公路,
21388854,accidents involving death or personal injury,死傷事故,公路,
21388855,acid rock,酸性岩,公路,
21388856,active earth pressure,主動土壓力,公路,
21388857,additional panel,標誌附牌,公路,
21388858,additive for bituminous mixtures,瀝青混合料添加劑,公路,
21388859,admixture for concrete,混凝土摻料；混凝土摻劑,公路,
21388860,age limit for driver,駕駛人[最低]年齡限制,公路,
21388861,aggregate,粒料；骨材；凝聚,公路,
21388862,air brake,氣韌；空壓煞車,公路,
21388863,air filter,空氣濾清器,公路,
21388864,air-conditioned bus,空氣調節客車,公路,
21388865,air-entrained concrete,輸氣混凝土,公路,
21388866,air-entraining admixture of concrete,混凝土輸氣劑,公路,
21388867,air-entraining portland cement,輸氣卜德蘭水泥,公路,
21388868,alcohol intoxication,酒醉｛交通執法｝,公路,
21388869,all risks,全險｛交通監理｝,公路,
21388870,alluvial cone,冲積錐,公路,
21388871,alluvial fan,沖積扇,公路,
21388872,alluvial soil,冲積土壤,公路,
21388873,alluvium,冲積層,公路,
21388874,all-wheel drive,全輪驅動,公路,
21388875,amphibious vehicle,水陸兩用車,公路,
21388876,anchored bulkhead,錨定式板樁岸壁,公路,
21388877,angle of approach,接近角,公路,
21388878,angle of departure,分離角,公路,
21388879,angle of kingpin,大王梢傾角,公路,
21388880,angle of repose,安息角；靜止角,公路,
21388881,angle of steering lock,最大轉向角,公路,
21388882,angle of turn,轉向角,公路,
21388883,animal-drawn vehicle,獸力車,公路,
21388884,anticlinal stratum,背斜層,公路,
21388885,arch bridge,拱橋,公路,
21388886,arterial highway,幹線公路,公路,
21388887,artificial aggregate,人造粒料,公路,
21388888,asphalt,瀝青,公路,
21388889,asphalt cement,瀝青膠泥,公路,
21388890,asphalt concrete finishing machine,瀝青混凝土整平機,公路,
21388891,asphalt concrete mixer,瀝青混凝土拌合機,公路,
21388892,asphalt concrete mixing plant,瀝青混凝土拌合廠,公路,
21388893,asphalt concrete surface course,瀝青混凝土面層,公路,
21388894,asphalt kettle,瀝青鍋,公路,
21388895,asphalt macadam surface,瀝青碎石路面,公路,
21388896,asphalt mastic,瀝青砂膠,公路,
21388897,asphalt oven,瀝青試驗用烘箱,公路,
21388898,asphalt plant,瀝青拌合廠,公路,
21388899,asphalt prime coat,瀝青透層,公路,
21388900,asphalt slurry,瀝青糊,公路,
21388901,asphalt surface treatment,瀝青表面處理,公路,
21388902,asphalt-coated metal pipe,塗瀝青金屬管,公路,
21388903,at-grade intersection,平面交叉；平面交叉口,公路,
21388904,automobile hire business,包車租賃業,公路,
21388905,automobile-transportation trailer,運車拖車,公路,
21388906,auto-silo park,停車塔,公路,
21388907,auxiliary lane,輔助車道,公路,
21388908,average daily traffic,平均日交通量,公路,
21388909,average highway speed,平均公路速率,公路,
21388910,average spot speed,定點平均速率,公路,
21388911,axle-load limitation,軸重限制,公路,
21388912,backflling,回填,公路,
21388913,baggage volume limit,行李體積限制,公路,
21388914,baggage weight limit,行李重量限制,公路,
21388915,ball mill,鋼球磨石機；球磨機,公路,
21388916,bar mat for concrete reinforcement,混凝土用鋼筋網,公路,
21388917,barricade,防柵,公路,
21388918,bascule bridge,上開橋,公路,
21388919,base course,底層,公路,
21388920,basic capacity,基本容量,公路,
21388921,basic fare,基本運價,公路,
21388922,basic mileage,基本里程,公路,
21388923,basic rates,基本運費,公路,
21388924,batching plant,拌合廠,公路,
21388925,batter pile,斜樁,公路,
21388926,bearing,軸承；支承；承壓；方向角,公路,
21388927,bearing capacity,承載力｛大地｝；承載容量｛結構｝；承載強度,公路,
21388928,bedding course,墊層,公路,
21388929,Benkelman beam,彭克曼[量測]梁,公路,
21388930,binder course,聯結層；黏結層,公路,
21388931,bitumen,瀝青；瀝青膠結料,公路,
21388932,bituminized-fiber drain and sewer pipe,纖維質瀝青排水管,公路,
21388933,bituminous distributor,瀝青撒布機,公路,
21388934,bituminous material,瀝青材料,公路,
21388935,bituminous tanker,瀝青罐車,公路,
21388936,Blaine air permeability apparatus,布蘭氏氣透儀,公路,
21388937,blind drain,暗溝；盲溝,公路,
21388938,block pavement,塊料路面,公路,
21388939,boiling in soil,土壤沸動,公路,
21388940,bond stress,握裹應力；黏著應力；黏結應力,公路,
21388941,boring,鑽心；鑽掘；鑽探,公路,
21388942,bottom dump wagon,底卸車,公路,
21388943,box girder bridge,箱形梁橋,公路,
21388944,branch connection,支線連接線,公路,
21388945,broken line,虛線,公路,
21388946,bucket loader,斗式裝料機,公路,
21388947,built-up member,組合構材；組合構件；組合桿件,公路,
21388948,bulk freight,散裝貨運,公路,
21388949,bulldozer,推土機；正鏟堆土機,公路,
21388950,bus-stop,公共汽車站；公車站,公路,
21388951,buttress fill,土臺,公路,
21388952,camber,拱度；預拱；預拱量；拱曲,公路,
21388953,cantilever abutment,懸臂式橋台,公路,
21388954,cantilever bridge,懸臂梁橋,公路,
21388955,cantilever pier,懸臂式橋墩,公路,
21388956,capability of transportation,運輸能力,公路,
21388957,capillary action,毛細[管]作用,公路,
21388958,car rental business,汽車租賃業,公路,
21388959,cargo carrying motor bus,客貨兩用車,公路,
21388960,carphone,車用電話,公路,
21388961,carriage way,車行道,公路,
21388962,cash against document,憑單據付款,公路,
21388963,cash on delivery,貨到付款,公路,
21388964,cash with order,預付貨款,公路,
21388965,cast in place,現場澆鑄；場鑄,公路,
21388966,cast in situ,現地澆鑄；場鑄,公路,
21388967,casting bed,鑄製場；鑄製台,公路,
21388968,casting blockyard,鑄製場,公路,
21388969,cellular cofferdam,圓筒式圍堰,公路,
21388970,cement gun,水泥噴槍,公路,
21388971,cement-bound macadam surface,水泥結碎石面層,公路,
21388972,cementing material,膠結材,公路,
21388973,center line,中心線,公路,
21388974,central reservation,中央保留區,公路,
21388975,certificate of title,汽車行車執照,公路,
21388976,changing lane,變換車道,公路,
21388977,channelization,槽化；渠道化,公路,
21388978,channelizing island,槽化島,公路,
21388979,charge for empty move,空駛費,公路,
21388980,chartered bus,[大客車]包車,公路,
21388981,chartered bus by hour,[大客車]計時包車,公路,
21388982,chartered bus by mileage,[大客車]計程包車,公路,
21388983,chartered contract,租車合約；包車合約,公路,
21388984,chatter bar,分向標鈕,公路,
21388985,chunk sample,塊狀土樣,公路,
21388986,cinder surface course,煤屑面層,公路,
21388987,circumferential highway,環狀公路,公路,
21388988,city bus,市區公車,公路,
21388989,clamshell,蚌殼式抓斗機,公路,
21388990,classification counts,分類[交通量]調查,公路,
21388991,classified rates,分等運價,公路,
21388992,clay pipe,陶管,公路,
21388993,clay-bound macadam base course,泥結碎石底層,公路,
21388994,clear width of bridge,橋梁淨寬,公路,
21388995,coal tar,柏油,公路,
21388996,coarse aggregate spreader,粗料撒鋪機,公路,
21388997,coarse graded asphalt plant-mix cold laid surface course,廠拌冷鋪粗級配瀝青面層,公路,
21388998,coarse graded asphalt road-mix surface course,路拌粗級配瀝青面層,公路,
21388999,coastal highway,海岸公路,公路,
21389000,coefficient of compressibility,壓縮係數,公路,
21389001,coefficient of consolidation,壓密係數,公路,
21389002,coefficient of subgrade reaction,路基反應係數,公路,
21389003,coefficient of volume compressibility,體積壓縮係數,公路,
21389004,cofferdam,圍堰,公路,
21389005,cohesion of soil,土壤凝聚力,公路,
21389006,cold penetration asphalt macadam surface course,冷灌瀝青碎石面層,公路,
21389007,cold-mix asphalt concrete,冷拌瀝青混凝土,公路,
21389008,collector street system,集匯道路系統,公路,
21389009,collector-distributor road,集散道路,公路,
21389010,colluvial soil,崩積土壤,公路,
21389011,commuter,通勤者,公路,
21389012,compaction,夯實；搗實；壓縮,公路,
21389013,compaction pile,夯實樁,公路,
21389014,compensation for damage,損壞賠償,公路,
21389015,composite girder,合成梁；複合梁,公路,
21389016,composite girder bridge,合成梁橋；複合梁橋,公路,
21389017,composite pile,合成式樁；複合式樁,公路,
21389018,compound pavement,複式鋪面,公路,
21389019,comprehensive planning,綜合規劃,公路,
21389020,compression flange,抗壓翼緣；抗壓翼板；受壓翼板,公路,
21389021,compression member,壓力構材；受壓構材；抗壓構材,公路,
21389022,compression settlement,壓縮沉陷,公路,
21389023,compressive soil,壓縮性土壤,公路,
21389024,compulsory sign,限制標誌,公路,
21389025,concrete beam form,混凝土梁模板,公路,
21389026,concrete beam testing machine,混凝土梁試驗機,公路,
21389027,concrete curing material,混凝土養護材料,公路,
21389028,concrete cylinder mold,混凝土圓柱試體用模,公路,
21389029,concrete joint,混凝土接縫,公路,
21389030,concrete joint filler,混凝土接縫填料,公路,
21389031,concrete mixer,混凝土拌合機,公路,
21389032,concrete paver,混凝土鋪築機；混凝土鋪裝機,公路,
21389033,concrete saw,混凝土鋸,公路,
21389034,concrete test hammer,混凝土試錘,公路,
21389035,concrete vibrator,混凝土振動機,公路,
21389036,condemnation,徵收；業產徵用行為,公路,
21389037,conductor,導體；車掌{交通},公路,
21389038,consequential damages,關連損失,公路,
21389039,consignee,收貨人,公路,
21389040,consigner,託運人,公路,
21389041,consolidation,壓密；搗實,公路,
21389042,construction contract,工程契約,公路,
21389043,construction of subgrade,路基建造；路基施工,公路,
21389044,construction planning,施工規劃,公路,
21389045,construction specification,施工規範；施工說明書,公路,
21389046,continuous beam bridge,連續梁橋,公路,
21389047,contractor,承包商；承造人{建築法},公路,
21389048,controlling point,[運輸排班]控制點,公路,
21389049,coordinated control signal,協進控制號誌,公路,
21389050,cordon count,周界交通調查,公路,
21389051,core recovery,岩心鑽取率,公路,
21389052,corrugated-metal pipe,皺紋金屬管,公路,
21389053,cost of possession,持有成本,公路,
21389054,Coulomb earth-pressure theory,庫倫土壓力理論,公路,
21389055,counterfort abutment,扶壁式橋台,公路,
21389056,countersunk rivet,平頭鉚釘,公路,
21389057,country road,鄉道,公路,
21389058,coupon-ticket,優待票,公路,
21389059,cover plate,蓋鈑,公路,
21389060,crack detector,裂縫檢查器,公路,
21389061,cracking load,開裂載重,公路,
21389062,crane,起重機；吊車,公路,
21389063,crane shovel,吊挖機,公路,
21389064,crater,銲疤,公路,
21389065,crawler type tractor,履帶式牽引機,公路,
21389066,creosote,蒸木油,公路,
21389067,crib wall,框式牆,公路,
21389068,critical circle,臨界圓,公路,
21389069,critique form,意見調查表,公路,
21389070,cross connection,橫連通路；錯接{環工},公路,
21389071,crosswalk,行人穿越道,公路,
21389072,crown of pavement,路拱,公路,
21389073,crushed gravel,碎礫石,公路,
21389074,crushed stone,碎石,公路,
21389075,crusher,破碎機；碎石機,公路,
21389076,cul-de-sac,囊底路；迴轉盲道,公路,
21389077,curb,緣石；路緣,公路,
21389078,curb weight,車輛行駛淨重,公路,
21389079,curing of concrete,混凝土養護,公路,
21389080,current force,流動衝力,公路,
21389081,customs clearance,報關,公路,
21389082,cutback asphalt,油溶瀝青,公路,
21389083,cutting edge of caisson,沉箱切腳,公路,
21389084,cycle time,週期；週期時間,公路,
21389085,damage report,破損單,公路,
21389086,dangerous article,危險品,公路,
21389087,Darcy's law,達西定律,公路,
21389088,dash line,虛線,公路,
21389089,date of issuance,發照日期,公路,
21389090,deck bridge,版橋,公路,
21389091,dedication,提供土地{交通},公路,
21389092,deed,地契,公路,
21389093,deflector bar,障礙反光桿,公路,
21389094,deformed steel bar,竹節鋼筋,公路,
21389095,degree of compaction,壓實度；夯實度,公路,
21389096,dehydrator,脫水機,公路,
21389097,delayed operation,延誤行車,公路,
21389098,delineator,反光導標,公路,
21389099,delivery order,提貨單,公路,
21389100,delivery receipt,交貨收據,公路,
21389101,demurrage charge,停留費,公路,
21389102,dense graded asphalt plant-mix cold-laid surface course,廠拌冷鋪密級配瀝青面層,公路,
21389103,dense graded asphalt road-mix surface course,路拌密級配瀝青面層,公路,
21389104,depositing baggage,寄存品,公路,
21389105,depth ratio of footing,基脚深度比,公路,
21389106,depth span ratio,梁高跨徑比,公路,
21389107,design capacity,設計容量,公路,
21389108,design load,設計載重,公路,
21389109,design strength of concrete,混凝土設計強度,公路,
21389110,design vehicle,設計車型,公路,
21389111,design volume,設計[流]量,公路,
21389112,detour,繞道行車,公路,
21389113,dewatering system,袪水系統,公路,
21389114,diagonal compression stress,斜壓力,公路,
21389115,diagonal tension stress,斜拉力,公路,
21389116,diaphragm,橫膈板；橫膈梁；隔板,公路,
21389117,diaphragm water pump,膜片式抽水機,公路,
21389118,differential fare,差別運價,公路,
21389119,differential settlement,差異沉陷,公路,
21389120,dike,岩脈；堤,公路,
21389121,dip angle,傾角,公路,
21389122,direct compensation,直接補償,公路,
21389123,direction indicator,風向指示器；方向指示器,公路,
21389124,directional distribution,方向分布,公路,
21389125,directional interchange,直接式交流道,公路,
21389126,disc type brake,圓盤式剎車,公路,
21389127,distance-based fare system,計程費率制,公路,
21389128,distribution steel,分布鋼筋,公路,
21389129,district ticket,區間票,公路,
21389130,district-based fare system,區域費率制,公路,
21389131,disturbed soil,擾動土,公路,
21389132,diverging traffic,擴散車流,公路,
21389133,divided highway,分線公路,公路,
21389134,dividing strip,分隔帶,公路,
21389135,divisional curb,分道緣石,公路,
21389136,divisional island,分隔島,公路,
21389137,double-acting steam hammer,雙動式蒸汽錘,公路,
21389138,dragline,拖索挖機,公路,
21389139,drain pipe,排水管,公路,
21389140,drainage,排水[設施],公路,
21389141,drift pin,衝梢,公路,
21389142,drifter,水平鑿岩機,公路,
21389143,drill carriage,鑽機；鑽岩機,公路,
21389144,drill mounting,鑽機架,公路,
21389145,drilling rod,鑽桿,公路,
21389146,driver license,駕駛執照,公路,
21389147,driving cap,打樁帽；樁帽,公路,
21389148,driving under the influence (DUI),酒駕,公路,
21389149,drop gear,加力擋,公路,
21389150,drop hammer,[重力]落錘,公路,
21389151,drop-frame trailer,矮架拖車,公路,
21389152,dry-bound macadam base course,乾結碎石底層,公路,
21389153,dump truck,傾卸式卡車,公路,
21389154,duty paying value,完稅價格,公路,
21389155,earth filling cofferdam,填土式圍堰,公路,
21389156,earth pressure,土壓力,公路,
21389157,easement of right of way,路產地役權,公路,
21389158,edge beam,邊梁,公路,
21389159,edge distance of rivet,鉚釘邊距,公路,
21389160,effective flange width,有效翼寬,公路,
21389161,effective pressure of soil,有效土壓力,公路,
21389162,effective prestress,有效預力,公路,
21389163,elastic deformation,彈性變形,公路,
21389164,elastic design,彈性設計,公路,
21389165,elastic settlement,彈性沉陷,公路,
21389166,embankment,[土]堤；路堤,公路,
21389167,eminent domain,徵收權；業產徵用權,公路,
21389168,emulsified asphalt,乳化地瀝青,公路,
21389169,end bearing pile,底承樁；點承樁,公路,
21389170,end post,端柱,公路,
21389171,end span,端跨,公路,
21389172,end stiffener,端部加勁材,公路,
21389173,end sway bracing,端部抗搖斜撐,公路,
21389174,engin brake,引擎煞車,公路,
21389175,entrapped air of concrete,混凝土入陷空氣,公路,
21389176,equal slope type,等坡式,公路,
21389177,erection bolt,組裝用螺栓,公路,
21389178,excess hydrostatic pressure,超靜水壓力,公路,
21389179,excess load,超載,公路,
21389180,exchange order for ticket,換票證,公路,
21389181,exclusive highway,專用公路,公路,
21389182,ex-factory value,工廠交貨價,公路,
21389183,expense for custody of baggage,保管費,公路,
21389184,expiration of license,證照過期,公路,
21389185,expired ticket,逾期車票,公路,
21389186,exploration drill,鑽探機,公路,
21389187,express bus,快速公車,公路,
21389188,extensometer,伸長計,公路,
21389189,extractor for bituminous mixtures,瀝青混合料抽油器,公路,
21389190,ex-warehouse value,倉庫交貨價,公路,
21389191,falsework,假設工程,公路,
21389192,fare for joint transportation,聯運票價,公路,
21389193,fare receipt,購票證明單,公路,
21389194,fault,接縫高差；斷層,公路,
21389195,fault scarp,斷崖,公路,
21389196,feasibility study,可行性研究,公路,
21389197,feeder road,接駁道路,公路,
21389198,field moisture equivalent,工地溼當量,公路,
21389199,field rivet,工地鉚釘,公路,
21389200,fillet weld,角銲；填角銲道,公路,
21389201,filling material,填方材料,公路,
21389202,filter,過濾器；透水層{路基},公路,
21389203,fine aggregate,細粒料,公路,
21389204,fine aggregate spreader,細粒料撒布機,公路,
21389205,fineness modulus of fine aggregate,細粒料細度模數,公路,
21389206,fixed bridge,固定式橋,公路,
21389207,fixed-end moment,固定端彎矩；固定端力矩,公路,
21389208,flame cutting,火燄切割；焰切,公路,
21389209,flange plate,翼板,公路,
21389210,flared intersection,加寬型交叉口,公路,
21389211,flashing red light,閃光紅燈,公路,
21389212,flashing signal,閃光號誌,公路,
21389213,flat-body truck,平板貨車,公路,
21389214,flat-slab bridge,平版橋,公路,
21389215,flattened head rivet,扁頭鉚釘,公路,
21389216,flexible pavement,柔性鋪面；柔性路面,公路,
21389217,flexible progressive signal system,彈性續進號誌系統,公路,
21389218,flexural stress,撓曲應力,公路,
21389219,floor beam,橫梁；樓版梁；樓板梁,公路,
21389220,fluorescent lamp,螢光路燈,公路,
21389221,flux oil,瀝青稀釋油；助熔油,公路,
21389222,fly ash,飛灰,公路,
21389223,follow in distance,保持距離,公路,
21389224,footing,基脚,公路,
21389225,form,模板,公路,
21389226,foundation failure,基礎破壞,公路,
21389227,foundation of grade,路基基礎,公路,
21389228,foundation wall,基牆；底牆,公路,
21389229,franchise,特許經營,公路,
21389230,free charge weight,免費重量,公路,
21389231,freeway,高速公路,公路,
21389232,freight pallet,貨運棧板,公路,
21389233,freight sheet,運費單,公路,
21389234,freight tariff table,貨運價目表,公路,
21389235,friction coefficient,摩擦係數,公路,
21389236,friction pile,摩擦樁,公路,
21389237,front end loader,前斗式裝載機,公路,
21389238,full occupancy,客滿,公路,
21389239,full traffic actuated signal,全交通觸動號誌,公路,
21389240,full-trailer,全拖車,公路,
21389241,gas welding,氣銲,公路,
21389242,Gillmore needle,吉爾摩氏針,公路,
21389243,girder,大梁,公路,
21389244,glass bead for traffic marking paint,交通標線漆用玻璃砂,公路,
21389245,glued laminated timber,層膠木材；膠夾木,公路,
21389246,gore,交叉口三角地帶,公路,
21389247,gradation of aggregate,骨材級配,公路,
21389248,grade crossing,平交道,公路,
21389249,grade seperation,立體交叉,公路,
21389250,gradeability,爬坡能力,公路,
21389251,grades of highway,公路等級,公路,
21389252,gradient resistance,坡度阻力,公路,
21389253,gravel scrubber and washer,洗石機,公路,
21389254,gravity abutment,重力式橋台,公路,
21389255,gravity model,重力模式；引力模式；重力模型；引力模型,公路,
21389256,green light interval,綠燈時相長度,公路,
21389257,gross vehicle weight,汽車總重量,公路,
21389258,gross weight,[貨物]總重,公路,
21389259,ground clearance,最低地距,公路,
21389260,ground water,地下水,公路,
21389261,group action of piles,群樁作用,公路,
21389262,group reduction factor of piles,群樁折減係數,公路,
21389263,grouting machine,灌漿機,公路,
21389264,guarantee for delivery,交貨擔保,公路,
21389265,gusset plate,角接板；隅板,公路,
21389266,gyratory crusher,迴旋碎石機,公路,
21389267,half-through bridge,半穿式橋,公路,
21389268,hand driven rivet,手打鉚釘,公路,
21389269,hand tally counter,手按式計數器,公路,
21389270,hand truck,手推工作車,公路,
21389271,hand-and-arm signal,行車手勢,公路,
21389272,hazard marker,危險標記,公路,
21389273,high-strength bolt,高強度螺栓,公路,
21389274,high-tension wire,高拉力鋼線,公路,
21389275,highway,公路,公路,
21389276,highway classification,公路分類,公路,
21389277,highway development right,臨路開發權,公路,
21389278,highway enterprise,公路企業,公路,
21389279,highway hostel,公路旅舍,公路,
21389280,highway inventory,公路資料清冊；公路台賬,公路,
21389281,highway landscaping,公路景觀美化,公路,
21389282,highway management,公路管理,公路,
21389283,highway needs study,公路需求研究,公路,
21389284,highway operating business,公路經營業務,公路,
21389285,highway patrol,公路巡邏,公路,
21389286,highway restaurant,公路餐廳,公路,
21389287,highway sufficiency rating,公路負荷評量,公路,
21389288,highway type,公路型式,公路,
21389289,horizontal clearance,淨寬；水平淨空,公路,
21389290,horizontal curved bridge,[水平]曲線橋,公路,
21389291,hot penetration asphalt macadam surface course,熱灌瀝青碎石面層,公路,
21389292,hot-laid mixture,熱鋪混合料,公路,
21389293,hot-mix asphalt concrete,熱拌瀝青混凝土,公路,
21389294,house trailer,住屋式拖車,公路,
21389295,humidifier,加濕器,公路,
21389296,hydraulic brake,液壓煞車,公路,
21389297,hydraulic cement,水硬性水泥,公路,
21389298,hydrophilic aggregate,親水性粒料,公路,
21389299,hydrophobic aggregate,疏水性粒料,公路,
21389300,I-beam,I形梁；工字梁,公路,
21389301,I-beam bridge,I形梁橋；工字梁橋,公路,
21389302,idle speed,怠速；惰速,公路,
21389303,illumination,[公路]照明,公路,
21389304,impact load,衝擊載重,公路,
21389305,impactor,搗固機；衝擊器{環工},公路,
21389306,impervious bed,不透水層,公路,
21389307,incandescent lamp,白熾路燈,公路,
21389308,inclination tester,傾斜角試驗器；傾斜試驗器,公路,
21389309,indemnity of damage,損害賠償,公路,
21389310,information sign,指示標誌,公路,
21389311,initial fare,基本票價,公路,
21389312,initial mileage,基本里程,公路,
21389313,initial rates,基本運費,公路,
21389314,initial time,基本時間,公路,
21389315,inner lane,內側車道,公路,
21389316,inspection of vehicle,車輛檢驗,公路,
21389317,intercepting ditch,截水溝,公路,
21389318,intergranular pressure,粒間壓力,公路,
21389319,intermediate span,內跨；內孔,公路,
21389320,intermediate stiffener,中間加勁條,公路,
