ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
6962618,"Finzi, Gerald",芬奇,,音樂,,2020-03-16
6962619,"Fiorillo, Dante","費歐瑞婁,丹堤",,音樂,,2020-03-16
6962620,"Fischer, Charlotte Froese","費雪,夏勒特",,物理,,2020-03-16
6962621,"Fischer, Carl","費雪,卡爾",,音樂,,2020-03-16
6962622,"Fisher, Ronald Aylmer","費雪, 拉諾德",,物理,,2020-03-16
6962623,"Fisher, Sylvia","費雪,西爾薇亞",,音樂,,2020-03-16
6962624,"Fisher, William Arms","費雪,威廉",,音樂,,2020-03-16
6962625,"Fistoulari, Anatole",費斯圖拉瑞,,音樂,,2020-03-16
6962626,"Fitkin, Graham",費特金,,音樂,,2020-03-16
6962627,"FitzGerald, George",費茨傑若,,物理,,2020-03-16
6962628,"Flanagan, William",福拉拿根,,音樂,,2020-03-16
6962629,"Fleisher, Leon",福萊雪,,音樂,,2020-03-16
6962630,"Fleming, John Ambrose","佛萊明,約翰",,物理,,2020-03-16
6962631,"Flemming, Walther",福萊明,,生命科學,,2020-03-16
6962632,"Fletcher,  Harvey",福雷徹,,物理,,2020-03-16
6962633,"Flinders, Matthew",福林德斯,,物理,,2020-03-16
6962634,Florence,福洛倫斯,,化學,,2020-03-16
6962635,"Florence, Evangeline","福洛倫斯,伊范哲林",,音樂,,2020-03-16
6962636,Florissen,夫洛瑞生,,物理,,2020-03-16
6962637,"Flower, Newman",福勞爾,,音樂,,2020-03-16
6962638,"Floyd, Carlisle",福洛伊德,,音樂,,2020-03-16
6962639,"Fock,  Vladimir Aleksandrovich  (Владимир Александрович Фoк)",佛克,,物理,,2020-03-16
6962640,"Foggin, Myers",佛金,,音樂,,2020-03-16
6962641,"Fokker, Adriaan Daniël",佛克爾,,物理,,2020-03-16
6962642,"Foldes, Andor",佛爾茲,,音樂,,2020-03-16
6962643,"Foli, Allen James",佛里,,音樂,,2020-03-16
6962644,"Fontana, Bill","馮塔納,比爾",,音樂,,2020-03-16
6962645,"Foote, Arthur",富特,,音樂,,2020-03-16
6962646,"Forbes, James David","佛卜斯,詹姆斯",,物理,,2020-03-16
6962647,"Forbes, Robert","佛卜斯,羅伯特",,音樂,,2020-03-16
6962648,"Forbes, Sebastian","佛卜斯,瑟巴斯欽",,音樂,,2020-03-16
6962649,"Forbes, Watson","佛卜斯,沃森",,音樂,,2020-03-16
6962650,"Ford, Thomas",佛德,,音樂,,2020-03-16
6962651,"Forsyth, Cecil",佛賽斯,,音樂,,2020-03-16
6962652,Fortin,佛廷,,物理,,2020-03-16
6962653,"Foss, Lukas",佛斯,,音樂,,2020-03-16
6962654,"Foster, Ronald Martin","佛斯特,拉諾德",,物理,,2020-03-16
6962655,"Foster, Lawrence","佛斯特,洛倫斯",,音樂,,2020-03-16
6962656,"Foster, Muriel","佛斯特,繆瑞爾",,音樂,,2020-03-16
6962657,"Foster, Stephen Collins","佛斯特,司蒂文",,音樂,,2020-03-16
6962658,"Foulds, John",佛爾茲,,音樂,,2020-03-16
6962659,"Fourier, Jean Baptiste Joseph",傅立葉,,物理,,2020-03-16
6962660,"Fowler, Ralph Howard","法勒,洛夫",,物理,,2020-03-16
6962661,"Fowler, William Alfred","法勒,威廉",,物理,,2020-03-16
6962662,"Fowler, Tommy","法勒,湯米",,音樂,,2020-03-16
6962663,"Fox, Sidney Walter",法克斯,,生命科學,,2020-03-16
6962664,"Frackenpohl, Arthur",福瑞肯波,,音樂,,2020-03-16
6962665,"Frager, Malcolm",福瑞格,,音樂,,2020-03-16
6962666,"Francis, James Bicheno",福蘭西斯,,物理,,2020-03-16
6962667,"Franck, James",福朗克,,物理,,2020-03-16
6962668,Francon,福朗肯,,物理,,2020-03-16
6962669,Frank,福朗可,,物理,,2020-03-16
6962670,"Frankel, Benjamin",福朗寇,,音樂,,2020-03-16
6962671,"Frankenstein, Alfred",福朗肯斯丹,,音樂,,2020-03-16
6962672,"Franklin, Benjamin",富蘭克林,,物理,,2020-03-16
6962673,"Franklin, Rosalind Elsie","福朗克林,若瑟琳",,生命科學,,2020-03-16
6962674,"Franklin, David","福朗克林,大衛",,音樂,,2020-03-16
6962675,"Fraser-Simson, Harold",福瑞瑟-辛姆森,,音樂,,2020-03-16
6962676,"Frazelle, Kenneth",福瑞澤,,音樂,,2020-03-16
6962677,"Fredholm, Erik Ivar",福瑞德霍姆,,物理,,2020-03-16
6962678,"Fredman, Myer",福瑞德門,,音樂,,2020-03-16
6962679,"Fredrics, Howard",福瑞綴克斯,,音樂,,2020-03-16
6962680,"Freed, Isadore",福利德,,音樂,,2020-03-16
6962681,"Fremstad, Olive",福瑞姆斯塔,,音樂,,2020-03-16
6962682,"Fretwell, Elizabeth",福瑞特沃,,音樂,,2020-03-16
