ID,英文名稱,中文名稱,圖片,職等,直轄、縣市政府類別,機關名稱,所屬機關名稱中文,所屬機關名稱英譯,一級單位名稱中文,一級單位名稱英譯,一級單位主管職稱中文,一級單位主管職稱英譯,職等.1,二級單位名稱中文,二級單位名稱英譯,備註,更新日期
1500593,Chief,主任,,7,直轄市政府(以高雄市為例),勞工局,訓練就業中心,Training and Employment Center,室,Section,,,,,,,2012-11-26
1500594,Chief,課長 ,,7,直轄市政府(以高雄市為例),勞工局,博愛職業技能訓練中心,Bo-ai Vocational Training Center,課,Section,,,,,,,2012-11-26
1500595,Chief,課長,,7,直轄市政府(以高雄市為例),勞工局,勞工育樂中心,Labor Recreation Center,課,Section,,,,,,,2012-11-26
1500596,Chief,主任,,師級8-9,直轄市政府(以高雄市為例),衛生局,各市立醫院,Municipal Hospital ,科,Department,,,,,,,2012-11-26
1500597,Chief,科長,,8,直轄市政府(以高雄市為例),衛生局,疾病管制處,Disease Control Office,科,Section,,,,,,,2012-11-26
1500598,Chief,主任,,8,直轄市政府(以高雄市為例),衛生局,疾病管制處,,室,Section,,,,,,,2012-11-26
1500599,Chief,兼組長 ,,師級,直轄市政府(以高雄市為例),衛生局,各區衛生所,___ District Public Health Center,組,Section,,,,,,,2012-11-26
1500600,Chief,組長,,8,直轄市政府(以高雄市為例),環境保護局,南區資源回收廠,Southern District Waste Management Plant,組,Section,,,,,,,2012-11-26
1500601,Chief,主任 ,,8,直轄市政府(以高雄市為例),環境保護局,南區資源回收廠,Southern District Waste Management Plant,室,Section,,,,,,,2012-11-26
1500602,Chief,組長,,8,直轄市政府(以高雄市為例),環境保護局,中區資源回收廠,Central District Waste Management Plant,組,Section,,,,,,,2012-11-26
1500603,Chief,主任 ,,8,直轄市政府(以高雄市為例),環境保護局,中區資源回收廠,Central District Waste Management Plant,室,Section,,,,,,,2012-11-26
1500604,Chief,組長,,7,直轄市政府(以高雄市為例),文化局,圖書館,Library,組,Section,,,,,,,2012-11-26
1500605,Chief,主任,,7,直轄市政府(以高雄市為例),文化局,圖書館,Library,各分館,Branch Library,,,,,,,2012-11-26
1500606,Public Reading Room,民眾閱覽室,,,直轄市政府(以高雄市為例),文化局,圖書館,Library,民眾閱覽室,Public Reading Room,,,,,,,2012-12-14
1500607,Chief,組長 ,,7,直轄市政府(以高雄市為例),文化局,美術館,Museum of Fine Arts,組,Section,,,,,,,2012-11-26
1500608,Chief,主任 ,,7,直轄市政府(以高雄市為例),文化局,美術館,Museum of Fine Arts,室,Section,,,,,,,2012-11-26
1500609,Leader,小隊長,,,直轄市政府(以高雄市為例),文化局,美術館,Museum of Fine Arts,警衛隊,Security Unit,,,,,,,2012-11-26
1500610,Chief,組長,,7,直轄市政府(以高雄市為例),文化局,社會教育館,Social Education Center,組,Section,,,,,,,2012-11-26
1500611,Chief,組長 ,,8,直轄市政府(以高雄市為例),文化局,文獻委員會,Kaohsiung City Archives ,組,Section,,,,,,,2012-11-26
1500612,Chief,主任,,8,直轄市政府(以高雄市為例),文化局,文獻委員會,Kaohsiung City Archives ,室,Section,,,,,,,2012-11-26
1500613,Chief,組長 ,,7,直轄市政府(以高雄市為例),文化局,歷史博物館,History Museum,組,Section,,,,,,,2012-11-26
1500614,Chief,主任,,7,直轄市政府(以高雄市為例),文化局,歷史博物館,History Museum,室,Section,,,,,,,2012-11-26
1500615,Chief,科長,,8,直轄市政府(以高雄市為例),交通局,監理處,Motor Vehicles Office,科,Section,,,,,,,2012-11-26
1500616,Chief,主任,,8,直轄市政府(以高雄市為例),交通局,監理處,Motor Vehicles Office,室,Section,,,,,,,2012-11-26
1500617,Chief,科長,,8,直轄市政府(以高雄市為例),交通局,公共車船管理處,City Bus and Ferry Management Office,科,Section,,,,,,,2012-11-26
1500618,Chief,主任,,8,直轄市政府(以高雄市為例),交通局,公共車船管理處,City Bus and Ferry Management Office,室,Section,,,,,,,2012-11-26
1500619,Manager,廠長 ,,8,直轄市政府(以高雄市為例),交通局,公共車船管理處,City Bus and Ferry Management Office,修理廠,Maintenance Works,,,,,,,2012-11-26
1500620,Chief,課長   ,,7,直轄市政府(以高雄市為例),地政處,地政事務所,Land Office,課,Section,,,,,,,2012-11-26
1500621,Chief,組長,,7,直轄市政府(以高雄市為例),新聞處,高雄廣播電台,Kaohsiung Radio Station,組,Section,,,,,,,2012-11-26
1500622,Chief,主任,,7,直轄市政府(以高雄市為例),新聞處,高雄廣播電台,Kaohsiung Radio Station,室,Section,,,,,,,2012-11-26
1500623,Chief,組長,,7,直轄市政府(以高雄市為例),新聞處,高雄市電影圖書館,Kaohsiung Film Library,組,Section,,,,,,,2012-11-26
1500624,Chief,組長 ,,8,直轄市政府(以高雄市為例),主計處,資訊中心,Information Management Center,組,Section,,,,,,,2012-11-26
1500625,Executive Secretary,總幹事,,,直轄市政府(以高雄市為例),人事處,公教人員住宅輔建及福利互助委員會,Public Service Housing and Welfare Committee,總幹事,Executive Secretary,,,,,,,2012-12-14
1500626,Chief,課長,,8,縣(市)政府,1.___縣(市)警察局  2.___縣(市)政府警察局,,,課,Section,,,,,,,2012-11-26
1500627,Chief,主任,,,縣(市)政府,1.___縣(市)警察局  2.___縣(市)政府警察局,,,室,Office,,,,,,,2012-11-26
1500628,Chief,主任,,,縣(市)政府,1.___縣(市)警察局  2.___縣(市)政府警察局,,,勤務指揮中心,Duty Command Center,,,,,,,2012-11-26
1500629,Chief,主任,,,縣(市)政府,1.___縣(市)警察局  2.___縣(市)政府警察局,,,民防管制中心,Civil Defense Center,,,,,,,2012-11-26
1500630,Captain,隊長,,,縣(市)政府,1.___縣(市)警察局  2.___縣(市)政府警察局,,,隊(保安、交通、刑警、少年、婦幼),Brigade,,,,,,,2012-11-26
1500631,Director,分局長,,,縣(市)政府,1.___縣(市)警察局  2.___縣(市)政府警察局,,,分局,Precinct,,,,,,,2012-11-26
1500632,Chief,課長,,8,縣(市)政府,1.___縣(市)消防局  2.___縣政府消防局,,,課,Section,,,,,,,2012-11-26
1500633,Chief,主任,,,縣(市)政府,1.___縣(市)消防局  2.___縣政府消防局,,,室(行政、人事、會計、政風),Office,,,,,,,2012-11-26
1500634,Chief,主任,,,縣(市)政府,1.___縣(市)消防局  2.___縣政府消防局,,,救災救護指揮中心,Emergency and Rescue Command Center,,,,,,,2012-11-26
1500635,Vehicle Maintenance Works,車輛保養廠,,,縣(市)政府,1.___縣(市)消防局  2.___縣政府消防局,,,車輛保養廠,Vehicle Maintenance Works,,,,,,,2012-12-14
1500636,Chief,課長,,8,縣(市)政府,1.___縣(市)衛生局  2.___縣政府衛生局,,,課,Section,,,,,,,2012-11-26
1500637,Chief,主任,,,縣(市)政府,1.___縣(市)衛生局  2.___縣政府衛生局,,,室(行政、人事、會計、政風),Office,,,,,,,2012-11-26
1500638,Chief,課長,,8,縣(市)政府,___縣(市)環境保護局,,,課,Section,,,,,,,2012-11-26
1500639,Chief,主任,,,縣(市)政府,___縣(市)環境保護局,,,室(行政、人事、會計、政風),Office,,,,,,,2012-11-26
1500640,Chief,區隊長,,,縣(市)政府,___縣(市)環境保護局,,,區隊,Unit,,,,,,,2012-11-26
1500641,Chief,隊長,,,縣(市)政府,___縣(市)環境保護局,,,資源回收隊,Unit,,,,,,,2012-11-26
1500642,Chief,課長,,8,縣(市)政府,1.___縣(市)政府地方稅務局 2.___ 縣(市)地方稅務局,,,課,Section,,,,,,,2012-11-26
1500643,Chief,主任,,,縣(市)政府,1.___縣(市)政府地方稅務局 3.___ 縣(市)地方稅務局,,,室(人事、會計、政風),Office,,,,,,,2012-11-26
1500644,Chief,主任,,,縣(市)政府,1.___縣(市)政府地方稅務局 4.___ 縣(市)地方稅務局,,,___分處,___ Branch,,,,,,,2012-11-26
1500645,Chief,課長,,7-8,縣(市)政府,___縣(市)動物防疫所,,,課(股),Section,,,,,,,2012-11-26
1500646,Chief,組長,,7-8,縣(市)政府,___縣(市)立體育場,,,組,Section,,,,,,,2012-11-26
1500647,Chief,組長,,7-8,縣(市)政府,___縣(市)立圖書館,,,組,Section,,,,,,,2012-11-26
1500648,Chief,股長,,6-7,縣(市)政府,___縣___鄉(鎮市)戶政事務所,,,股,Section,,,,,,,2012-11-26
1500649,Chief,股長,,6-7,縣(市)政府,___市___區戶政事務所,,,股,Section,,,,,,,2012-11-26
1500650,Chief,課長,,7,縣(市)政府,___縣(市) ___地政事務所,,,課,Section,,,,,,,2012-11-26
1500651,Chief,組長,,7,縣(市)政府,殯葬管理所,,,組,Section,,,,,,,2012-11-26
1500652,,___縣(市)公有零售市場,,,縣(市)政府,___縣(市)公有零售市場,,,,,,,,,,,2012-12-14
1500653,Section,處、室,,,縣(市)政府,,,,處、室,Section,,,,,,,2012-12-14
1500654,Section,處、室,,,縣(市)政府,,,,處、室,Section,,,,,,,2012-12-14
1500655,Chief,組長,,,縣(市)政府,___縣(市)立幼稚園,,,組,Section,,,,,,,2012-11-26
1500656,Chief,組長,,,縣(市)政府,___縣(市)立托兒所,,,組,Section,,,,,,,2012-11-26
1500657,Chief,組長、課長,,7,縣(市)政府,中心(勞工育樂、青少年福利服務、藝術等),,,組、課,Section,,,,,,,2012-11-26
1500658,Chief,組長,,,縣(市)政府,台南市政府無障礙福利之家,,,組,Section,,,,,,,2012-11-26
1500659,Chief,課長,,7-8,鄉、鎮、市公所,鄉、鎮、市公所,,,課,Section,,,,,,,2012-11-26
1500660,Chief of Village,村長,,,鄉、鎮、市公所,鄉、鎮、市公所,,,村,Village,,,,,,,2012-11-26
1500661,Chief of Village,里長,,,鄉、鎮、市公所,鄉、鎮、市公所,,,里,Village,,,,,,,2012-11-26
1500662,Chief,課長,,7-8,縣(市)政府,___市___區公所,,,課,Section,,,,,,,2012-11-26
1500663,Chief of Village,里長,,,縣(市)政府,___市___區公所,,,里,Village,,,,,,,2012-11-26
1500664,Head,鄰長,,,縣(市)政府,___市___區公所,,,鄰,Neighborhood,,,,,,,2012-11-26
1500665,Director,分署長,,,,,分署長,Director,,,,,,,,,2012-12-14
1500666,Deputy Director,副分署長,,,,,副分署長,Deputy Director,,,,,,,,,2012-12-14
1500667,Deputy Director-general,副局長,,,,,,,,,,,,,,,2012-11-26
1500668,Head,股長,,8,直轄市政府,秘書處,,,科,Division,科長,Chief,9,股,Section,,2012-11-26
1500669,Head,股長,,8,直轄市政府,民政局,,,科,Division,科長,Chief,9,股,Section,,2012-11-26
1500670,Head,股長,,8,直轄市政府,財政局,,,科,Division,科長,Chief,9,股,Section,,2012-11-26
1500671,Head,股長,,8,直轄市政府,教育局,,,科,Division,科長,Chief,9,股,Section,,2012-11-26
1500672,Head,股長,,8,直轄市政府,建設局,,,科,Division,科長,Chief,9,股,Section,,2012-11-26
1500673,Head,股長,,8,直轄市政府,海洋局,,,科,Division,科長,Chief,9,股,Section,,2012-11-26
1500674,Head,股長,,8,直轄市政府,都市發展局,,,科,Division,科長,Chief,9,股,Section,,2012-11-26
1500675,Head,課長,,8,直轄市政府,都市發展局,,,處,Department,處長 ,Chief,9-10,課,Section,,2012-11-26
1500676,Head,股長,,8,直轄市政府,都市發展局,,,室,Office,主任,Chief,9,股,Section,,2012-11-26
