ID,英文名稱,中文名稱,圖片,化學式,更新日期
1007349,strontium citrate,檸檬酸鍶,,Sr<Sub>3</Sub><Font>(C</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>O</Font><Sub>7</Sub><Font>)</Font><Sub>2</Sub>,2012-11-26
1007350,strontium ethyl acetoacetate,乙醯乙酸乙酯鍶,,<p>Sr(CH<sub>3</sub>COCHCOOC<sub>2</sub>H<sub>5</sub>)<sub>2</sub></p>,2012-11-26
1007351,strontium glycerophosphate,甘油磷酸鍶,,SrC<Sub>3</Sub><Font>H</Font><Sub>7</Sub><Font>PO</Font><Sub>6</Sub>,2012-11-26
1007352,strontium hydrogen citrate,檸檬酸氫鍶；酸式檸檬酸鍶,,SrHC<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>O</Font><Sub>7</Sub>,2012-11-26
1007353,strontium lactate,乳酸鍶,,Sr(C<Sub>3</Sub><Font>H</Font><Sub>5</Sub><Font>O</Font><Sub>3</Sub><Font>)</Font><Sub>2</Sub>,2012-11-26
1007354,strontium oxalate,草酸鍶,,SrC<Sub>2</Sub><Font>O</Font><Sub>4</Sub>,2012-11-26
1007355,strontium salicylate,柳酸鍶,,Sr(OOCC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>OH)</Font><Sub>2</Sub>,2012-11-26
1007356,strontium tartrate,酒石酸鍶,,SrC<Sub>4</Sub><Font>H</Font><Sub>4</Sub><Font>O</Font><Sub>6</Sub>,2012-11-26
1007357,strophanthidin,羊角拗甾醇；毒毛旋花苷配基,,C<Sub>23</Sub><Font>H</Font><Sub>32</Sub><Font>O</Font><Sub>6</Sub>,2012-11-26
1007358,strophanthobiose,羊角拗二糖；毒毛旋花二糖,,C<Sub>13</Sub><Font>H</Font><Sub>24</Sub><Font>O</Font><Sub>9</Sub>,2012-11-26
1007359,strychnine,番木虌鹼；馬錢子鹼,,C<Sub>21</Sub><Font>H</Font><Sub>22</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font><Sub>2</Sub>,2012-11-26
1007360,strychnine hydrochloride,番木虌鹼鹽酸鹽,,C<Sub>21</Sub><Font>H</Font><Sub>22</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font><Sub>2</Sub><Font>·HCl</Font>,2012-11-26
1007361,strychnine nitrate,番木虌鹼硝酸鹽,,C<Sub>21</Sub><Font>H</Font><Sub>22</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font><Sub>2</Sub><Font>·HNO</Font><Sub>3</Sub>,2012-11-26
1007362,strychine sulfate,番木虌鹼硫酸鹽,,C<Sub>21</Sub><Font>H</Font><Sub>22</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font><Sub>2</Sub><Font>·H</Font><Sub>2</Sub><Font>SO</Font><Sub>4</Sub>,2012-11-26
1007363,stylopine,人血草鹼；刺罌粟鹼,,C<Sub>19</Sub><Font>H</Font><Sub>17</Sub><Font>NO</Font><Sub>4</Sub>,2012-11-26
1007364,styphnic acid,"收斂酸；2,4,6-三硝間苯二酚",,C<Sub>6</Sub><Font>H(NO</Font><Sub>2</Sub><Font>)</Font><Sub>3</Sub><Font>(OH)</Font><Sub>2</Sub>,2012-11-26
1007365,stypticin; stypticine; cotarnine chloride,止血素；氯化可他寧,,C<Sub>12</Sub><Font>H</Font><Sub>14</Sub><Font>ClNO</Font><Sub>3</Sub>,2012-11-26
1007366,styptol; cotarnine phthalate,止血醇；苯二甲酸可他寧,,C<Sub>32</Sub><Font>H</Font><Sub>32</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font><Sub>10</Sub>,2012-11-26
1007367,styracin,蘇合香素；癒創木素；桂皮酸桂皮酯,,C<Sub>18</Sub><Font>H</Font><Sub>16</Sub><Font>O</Font><Sub>2</Sub>,2012-11-26
1007368,styracol,桂皮酸癒創木酚酯；蘇合香腦,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>C</Font><Sub>2</Sub><Font>H</Font><Sub>2</Sub><Font>COOC</Font><Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>OCH</Font><Sub>3</Sub>,2012-11-26
1007369,styralyl acetate,乙酸2-苯乙酯；乙酸α-甲苄酯,,CH<Sub>3</Sub><Font>COOCH(CH</Font><Sub>3</Sub><Font>)C</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub>,2012-11-26
1007370,styralyl alcohol,乙苯乙醇,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>(CH</Font><Sub>3</Sub><Font>)CHOH</Font>,2012-11-26
1007371,styrene; cinnamene,苯乙烯；桂皮烯；蘇合香烯,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>CH=CH</Font><Sub>2</Sub>,2012-11-26
1007372,styrene bromohydrin,β-溴-α-苯乙醇,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>CH(OH)CH</Font><Sub>2</Sub><Font>Br</Font>,2012-11-26
1007373,styrene dibromide,二溴化苯乙烯,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>CHBrCH</Font><Sub>2</Sub><Font>Br</Font>,2012-11-26
1007374,"o,β-styrenedicarboxylic acid; o-carboxycinnamic acid","鄰,β-二羧苯乙烯；鄰-羧基桂皮酸",,<p>HOOCC<sub>6</sub>H<sub>4</sub>C<sub>2</sub>H<sub>2</sub>COOH</p>,2012-11-26
1007375,styrene dichloride,二氯化苯乙烯,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>CHClCH</Font><Sub>2</Sub><Font>Cl</Font>,2012-11-26
1007376,styrene glycol,苯乙二醇,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>CHOHCH</Font><Sub>2</Sub><Font>OH</Font>,2012-11-26
1007377,styrene oxide,氧化苯乙烯；苯環氧乙烷,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>·C</Font><Sub>2</Sub><Font>H</Font><Sub>3</Sub><Font>O</Font>,2012-11-26
1007378,styrol; styrene,苯乙烯,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>CH=CH</Font><Sub>2</Sub>,2012-11-26
1007379,stylone; styrone; cinnamic alcohol; styrylcarbinol,桂皮醇；苯乙烯甲醇,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>CH=CHCH</Font><Sub>2</Sub><Font>OH</Font>,2012-11-26
1007380,styrylmethylamine; cinnamylamine,桂皮胺,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>CH=CHCH</Font><Sub>2</Sub><Font>NH</Font><Sub>2</Sub>,2012-11-26
1007381,suberane; cycloheptane,軟木烷；環庚烷,,C<Sub>7</Sub><Font>H</Font><Sub>14</Sub>,2012-11-26
1007382,suberene; suberylene; cycloheptene,環庚烯,,C<Sub>7</Sub><Font>H</Font><Sub>12</Sub>,2012-11-26
1007383,suberic acid,"栓酸；1,8-辛二酸",,(CH<Sub>2</Sub><Font>)</Font><Sub>6</Sub><Font>(COOH)</Font><Sub>2</Sub>,2012-11-26
1007384,suberic acid diethyl ester,"栓酸二乙酯；1,8-辛二酸二乙酯",,(CH<Sub>2</Sub><Font>CH</Font><Sub>2</Sub><Font>CH</Font><Sub>2</Sub><Font>COOC</Font><Sub>2</Sub><Font>H</Font><Sub>5</Sub><Font>)</Font><Sub>2</Sub>,2012-11-26
1007385,suberylamine,環庚胺,,C<Sub>7</Sub><Font>H</Font><Sub>13</Sub><Font>NH</Font><Sub>2</Sub>,2012-11-26
1007386,suberol; suberyl alcohol; cycloheptanol,軟木醇；環庚醇,,C<Sub>7</Sub><Font>H</Font><Sub>13</Sub><Font>OH</Font>,2012-11-26
1007387,suberone; cycloheptanone,軟木酮；環庚酮,,C<Sub>7</Sub><Font>H</Font><Sub>13</Sub><Font>O</Font>,2012-11-26
1007388,succinaldehyde,琥珀醛；丁二醛,,HCO(CH<Sub>2</Sub><Font>)</Font><Sub>2</Sub><Font>CHO</Font>,2012-11-26
1007389,succinamic acid,琥珀醯胺酸；丁醯胺酸,,H<Sub>2</Sub><Font>NCOCH</Font><Sub>2</Sub><Font>CH</Font><Sub>2</Sub><Font>COOH</Font>,2012-11-26
1007390,succinamide,琥珀二醯胺；丁二醯胺,,H<Sub>2</Sub><Font>NCOCH</Font><Sub>2</Sub><Font>CH</Font><Sub>2</Sub><Font>CONH</Font><Sub>2</Sub>,2012-11-26
1007391,succinanil; N-phenyl succimide,琥珀醯亞胺苯；琥珀醯苯胺；N-苯丁二醯亞胺,,(CH<Sub>2</Sub><Font>CO)</Font><Sub>2</Sub><Font>NC</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub>,2012-11-26
1007392,succinanilic acid,琥珀醯胺苯酸；琥珀酸[一]醯胺苯,,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>NHOC(CH</Font><Sub>2</Sub><Font>)</Font><Sub>2</Sub><Font>COOH</Font>,2012-11-26
1007393,succinate piperazinium,琥珀酸哌【金+井】鹽；丁二酸二哌【金+井】鹽,,C<Sub>8</Sub><Font>H</Font><Sub>16</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font><Sub>4</Sub>,2012-11-26
1007394,succinate sodium,琥珀酸鈉；丁二酸鈉,,C<Sub>4</Sub><Font>H</Font><Sub>4</Sub><Font>O</Font><Sub>4</Sub><Font>Na</Font><Sub>2</Sub>,2012-11-26
1007395,succinchlorimide; N-chlorosuccinimide,琥珀醯亞胺氯；N-氯琥珀醯亞胺,,(CH<Sub>2</Sub><Font>CO)</Font><Sub>2</Sub><Font>NCl</Font>,2012-11-26
1007396,succindialdehyde; succinic aldehyde,琥珀醛；丁二醛,,HCOCH<Sub>2</Sub><Font>CH</Font><Sub>2</Sub><Font>CHO</Font>,2012-11-26
1007397,succinic acid,琥珀酸；丁二酸,,HOOCCH<Sub>2</Sub><Font>CH</Font><Sub>2</Sub><Font>COOH</Font>,2012-11-26
1007398,succinic acid peroxide,過氧化雙琥珀醯酸,,(HOOCCH<Sub>2</Sub><Font>CH</Font><Sub>2</Sub><Font>COO)</Font><Sub>2</Sub>,2012-11-26
1007399,succinic anhydride; succinyl oxide,琥珀[酸]酐；丁二[酸]酐,,(CH<Sub>2</Sub><Font>CO)</Font><Sub>2</Sub><Font>O</Font>,2012-11-26
1007400,succinimide,琥珀醯亞胺；丁二醯亞胺,,(CH<Sub>2</Sub><Font>CO)</Font><Sub>2</Sub><Font>NH</Font>,2012-11-26
1007401,succinonitrile,琥珀腈；丁二腈,,(CH<Sub>2</Sub><Font>CN)</Font><Sub>2</Sub>,2012-11-26
1007402,succinosuccinic acid,琥珀醯琥珀酸,,C<Sub>6</Sub><Font>H</Font><Sub>6</Sub><Font>O(COOH)</Font><Sub>2</Sub>,2012-11-26
1007403,succinyl chloride; succinyl dichloride,琥珀醯氯；琥珀醯二氯,,ClCOCH<Sub>2</Sub><Font>CH</Font><Sub>2</Sub><Font>COCl</Font>,2012-11-26
1007404,succinylsulfathiazole,琥珀醯磺胺喹唑,,C<Sub>13</Sub><Font>H</Font><Sub>13</Sub><Font>N</Font><Sub>3</Sub><Font>O</Font><Sub>5</Sub><Font>S</Font><Sub>2</Sub>,2012-11-26
1007405,sucrose,蔗糖,,C<Sub>12</Sub><Font>H</Font><Sub>22</Sub><Font>O</Font><Sub>11</Sub>,2012-11-26
1007406,sucrose octaacetate,八乙酸蔗糖酯,,C<Sub>28</Sub><Font>H</Font><Sub>38</Sub><Font>O</Font><Sub>19</Sub>,2012-11-26
1007407,"sudan G; Sudan red III (A); benzenenazoresorcinol; 2,4-dihydroxyazobenzene ","蘇丹橙[G]；苯偶氮間苯二酚；2,4-二羥偶氮苯",,C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>N</Font><Sub>2</Sub><Font>C</Font><Sub>6</Sub><Font>H</Font><Sub>3</Sub><Font>(OH)</Font><Sub>2</Sub>,2012-11-26
1007408,sulconazole,硫可吖唑,,C<Sub>18</Sub><Font>H</Font><Sub>15</Sub><Font>Cl</Font><Sub>3</Sub><Font>N</Font><Sub>2</Sub><Font>S</Font>,2012-11-26
1007409,sulfabenzamide,苯甲醯磺胺,,C<Sub>13</Sub><Font>H</Font><Sub>12</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font><Sub>3</Sub><Font>S</Font>,2012-11-26
1007410,sulfacetamide,乙醯磺胺,,C<Sub>8</Sub><Font>H</Font><Sub>10</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font><Sub>3</Sub><Font>S</Font>,2012-11-26
1007411,sulfacetamide sodium,乙醯磺胺鈉,,C<Sub>8</Sub><Font>H</Font><Sub>9</Sub><Font>N</Font><Sub>2</Sub><Font>NaO</Font><Sub>3</Sub><Font>S</Font>,2012-11-26
1007412,sulfadiazine; 2-sulfapyrimidine,磺胺二【口+井】；磺胺嘧啶,,H<Sub>2</Sub><Font>NC</Font><Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>SO</Font><Sub>2</Sub><Font>NHC</Font><Sub>4</Sub><Font>H</Font><Sub>3</Sub><Font>N</Font><Sub>2</Sub>,2012-11-26
1007413,sulfadiazine sodium,磺胺二【口+井】鈉；磺胺嘧啶鈉,,C<Sub>10</Sub><Font>H</Font><Sub>9</Sub><Font>N</Font><Sub>4</Sub><Font>NaO</Font><Sub>2</Sub><Font>S</Font>,2012-11-26
1007414,sulfadimethylpyrimidine; sulfamethazine; sulfadimidine,磺胺二甲嘧啶,,C<Sub>12</Sub><Font>H</Font><Sub>14</Sub><Font>N</Font><Sub>4</Sub><Font>O</Font><Sub>2</Sub><Font>S</Font>,2012-11-26
1007415,sulfadimidine sodium,磺胺二甲嘧啶鈉,,C<Sub>12</Sub><Font>H</Font><Sub>13</Sub><Font>N</Font><Sub>4</Sub><Font>NaO</Font><Sub>2</Sub><Font>S</Font>,2012-11-26
1007416,sulfaguanidine,磺胺胍,,C<Sub>7</Sub><Font>H</Font><Sub>10</Sub><Font>N</Font><Sub>4</Sub><Font>O</Font><Sub>2</Sub><Font>S</Font>,2012-11-26
1007417,sulfamerazine; sulfamethyldiazine,磺胺甲嘧啶,,C<Sub>11</Sub><Font>H</Font><Sub>12</Sub><Font>N</Font><Sub>4</Sub><Font>O</Font><Sub>2</Sub><Font>S</Font>,2012-11-26
1007418,sulfamerazine sodium,磺胺甲基嘧啶鈉,,C<Sub>11</Sub><Font>H</Font><Sub>11</Sub><Font>N</Font><Sub>4</Sub><Font>NaO</Font><Sub>2</Sub><Font>S</Font>,2012-11-26
1007419,sulfamethylthiazole,磺胺甲噻唑,,C<Sub>10</Sub><Font>H</Font><Sub>11</Sub><Font>N</Font><Sub>3</Sub><Font>O</Font><Sub>2</Sub><Font>S</Font><Sub>2</Sub>,2012-11-26
1007420,sulfamic acid,胺磺酸,,H<Sub>2</Sub><Font>NSO</Font><Sub>3</Sub><Font>H</Font>,2012-11-26
1007421,m-sulfamylbenzoic acid,間胺磺醯苯甲酸,,HOOCC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>SO</Font><Sub>2</Sub><Font>NH</Font><Sub>2</Sub>,2012-11-26
1007422,sulfanilamide; sulfanilic amide,磺胺；對胺苯磺醯胺,,<p>H<sub>2</sub>NC<sub>6</sub>H<sub>4</sub>SO<sub>2</sub>NH<sub>2</sub></p>,2012-11-26
1007424,sulfapyridine,磺胺吡啶,,H<Sub>2</Sub><Font>NC</Font><Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>SO</Font><Sub>2</Sub><Font>NHC</Font><Sub>5</Sub><Font>H</Font><Sub>4</Sub><Font>N</Font>,2012-11-26
1007425,sulfaquinoxaline,磺胺喹【口+咢】啉,,C<Sub>14</Sub><Font>H</Font><Sub>12</Sub><Font>N</Font><Sub>4</Sub><Font>O</Font><Sub>2</Sub><Font>S</Font>,2012-11-26
1007426,sulfarsphenamine,磺胂酚鈉,,C<Sub>14</Sub><Font>H</Font><Sub>14</Sub><Font>As</Font><Sub>2</Sub><Font>N</Font><Sub>2</Sub><Font>Na</Font><Sub>2</Sub><Font>O</Font><Sub>8</Sub><Font>S</Font><Sub>2</Sub>,2012-11-26
1007427,sulfasuxidine; succinylsulfathiazole,磺胺殺克定；琥珀醯磺胺噻唑,,C<Sub>13</Sub><Font>H</Font><Sub>13</Sub><Font>N</Font><Sub>3</Sub><Font>O</Font><Sub>5</Sub><Font>S</Font><Sub>2</Sub>,2012-11-26
1007428,sulfathiazole,磺胺噻唑,,H<Sub>2</Sub><Font>NC</Font><Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>SO</Font><Sub>2</Sub><Font>NHC</Font><Sub>3</Sub><Font>H</Font><Sub>2</Sub><Font>NS</Font>,2012-11-26
1007429,sulfathiazole sodium,磺胺噻唑鈉,,C<Sub>9</Sub><Font>H</Font><Sub>8</Sub><Font>N</Font><Sub>3</Sub><Font>NaO</Font><Sub>2</Sub><Font>S</Font><Sub>2</Sub>,2012-11-26
1007430,o-sulfhydrylbenzoic acid; o-mercaptobenzoic acid; thiosalicylic acid,鄰-氫硫苯甲酸；鄰-巰苯甲酸；硫柳酸,,<p>HSC<sub>6</sub>H<sub>4</sub>COOH</p>,2012-11-26
1007431,sulfidine; sulfapyridine,磺胺吡啶,,H<Sub>2</Sub><Font>NC</Font><Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>SO</Font><Sub>2</Sub><Font>NHC</Font><Sub>5</Sub><Font>H</Font><Sub>4</Sub><Font>N</Font>,2012-11-26
1007432,sulfinyl bismethane; dimethyl sulfoxide,二甲亞碸,,(CH<Sub>3</Sub><Font>)</Font><Sub>2</Sub><Font>SO</Font>,2012-11-26
1007433,sulfisoxazole,磺胺異【口+咢】唑,,C<Sub>11</Sub><Font>H</Font><Sub>13</Sub><Font>N</Font><Sub>3</Sub><Font>O</Font><Sub>3</Sub><Font>S</Font>,2012-11-26
1007434,sulfoacetic acid,磺[酸基]乙酸,,HO<Sub>3</Sub><Font>SCH</Font><Sub>2</Sub><Font>COOH</Font>,2012-11-26
1007435,sulfoamide,磺醯二胺,,(H<Sub>2</Sub><Font>N)</Font><Sub>2</Sub><Font>SO</Font><Sub>2</Sub>,2012-11-26
1007436,sulfobarbituric acid,磺酸基巴比妥酸,,C<Sub>4</Sub><Font>H</Font><Sub>4</Sub><Font>N</Font><Sub>2</Sub><Font>O</Font><Sub>6</Sub><Font>S</Font>,2012-11-26
1007437,sulfobenzide; diphenyl sulfone,二苯碸,,(C<Sub>6</Sub><Font>H</Font><Sub>5</Sub><Font>)</Font><Sub>2</Sub><Font>SO</Font><Sub>2</Sub>,2012-11-26
1007438,o-sulfobenzoic acid,鄰-磺[酸基]苯甲酸,,<p>HO<sub>3</sub>SC<sub>6</sub>H<sub>4</sub>COOH</p>,2012-11-26
1007439,sulfocarbanilide; sym-diphenylthiourea,對稱-二苯硫脲,,<p>CS(NHC<sub>6</sub>H<sub>5</sub>)<sub>2</sub></p>,2012-11-26
1007440,sulfocarbolic acid; p-phenolsulfonic acid,對-苯酚磺酸,,<p>HOC<sub>6</sub>H<sub>4</sub>SO<sub>3</sub>H</p>,2012-11-26
1007441,"sulfolane; tetrahydrothiophene-1,1-dioxide","環丁碸；1,1-二氧四氫噻吩",,C<Sub>4</Sub><Font>H</Font><Sub>8</Sub><Font>O</Font><Sub>2</Sub><Font>S</Font>,2012-11-26
1007442,sulfomethane; methanesulfonic acid,甲磺酸,,CH<Sub>3</Sub><Font>SO</Font><Sub>3</Sub><Font>H</Font>,2012-11-26
1007443,sulfonamidochrysoidine; prontosil,"2,4-二胺-4'-磺醯偶氮苯；偶氮磺胺",,C<Sub>12</Sub><Font>H</Font><Sub>13</Sub><Font>N</Font><Sub>5</Sub><Font>O</Font><Sub>2</Sub><Font>S</Font>,2012-11-26
1007444,sulfonaphthol,磺[酸基]萘酚；萘酚磺酸,,HSO<Sub>3</Sub><Font>C</Font><Sub>10</Sub><Font>H</Font><Sub>6</Sub><Font>OH</Font>,2012-11-26
1007445,sulfonethylmethane; trional,"2,2-雙(乙碸)丁烷",,CH<Sub>3</Sub><Font>(C</Font><Sub>2</Sub><Font>H</Font><Sub>5</Sub><Font>)C(SO</Font><Sub>2</Sub><Font>C</Font><Sub>2</Sub><Font>H</Font><Sub>5</Sub><Font>)</Font><Sub>2</Sub>,2012-11-26
1007446,"sulfonmethane; sulfonal; 2,2-bis(ethylsulfonyl)-propane","丙酮縮二乙碸；2,2-雙(乙碸)丙烷",,(CH<Sub>3</Sub><Font>)</Font><Sub>2</Sub><Font>C(SO</Font><Sub>2</Sub><Font>C</Font><Sub>2</Sub><Font>H</Font><Sub>5</Sub><Font>)</Font><Sub>2</Sub>,2012-11-26
1007447,sulfonphthal; phenolsulfonphthalein,酚紅；磺酞,,C<Sub>19</Sub><Font>H</Font><Sub>14</Sub><Font>O</Font><Sub>5</Sub><Font>S</Font>,2012-11-26
1007448,sulfosalicylic acid; salicylsulfonic acid,磺柳酸；柳酸基磺酸,,HO<Sub>3</Sub><Font>SC</Font><Sub>6</Sub><Font>H</Font><Sub>3</Sub><Font>(OH)COOH</Font>,2012-11-26
1007449,sulfourea; thiourea,硫脲,,(H<Sub>2</Sub><Font>N)</Font><Sub>2</Sub><Font>CS</Font>,2012-11-26
1007450,sulfur mustard,硫芥子氣,,(ClCH<Sub>2</Sub><Font>CH</Font><Sub>2</Sub><Font>)</Font><Sub>2</Sub><Font>S</Font>,2012-11-26
1007451,sultamicillin,碸胺米西林,,C<Sub>25</Sub><Font>H</Font><Sub>30</Sub><Font>N</Font><Sub>4</Sub><Font>O</Font><Sub>9</Sub><Font>S</Font><Sub>2</Sub>,2012-11-26
1007452,Sumatra camphor; borneol,蘇門答臘樟腦；【草(之上)+伯】醇,,C<Sub>10</Sub><Font>H</Font><Sub>17</Sub><Font>OH</Font>,2012-11-26
1007453,sumatrol,蘇門答臘酚,,C<Sub>23</Sub><Font>H</Font><Sub>22</Sub><Font>O</Font><Sub>7</Sub>,2012-11-26
1007454,sumbulic acid; angelic acid,白芷酸；α-甲異巴豆酸,,CH<Sub>3</Sub><Font>CH=C(CH</Font><Sub>3</Sub><Font>)COOH</Font>,2012-11-26
1007455,superpalite; diphosgen,氯甲酸三氯甲酯；雙光氣,,ClCOOCCl<Sub>3</Sub>,2012-11-26
1007456,Supracapsulin; adrenalin; epinephrine; suprarenalin; suprarenin,腎上腺素,,C<Sub>9</Sub><Font>H</Font><Sub>13</Sub><Font>NO</Font><Sub>3</Sub>,2012-11-26
1007457,suprofen; 2-[p-(2-thenoyl)phenyl]propionic acid,舒洛芬；2-[對-(2-噻吩甲醯)苯]丙酸,,<p>C<sub>14</sub>H<sub>12</sub>O<sub>3</sub>S</p>,2012-11-26
1007458,suramin sodium,蘇拉明鈉,,C<Sub>51</Sub><Font>H</Font><Sub>34</Sub><Font>N</Font><Sub>6</Sub><Font>Na</Font><Sub>6</Sub><Font>O</Font><Sub>23</Sub><Font>S</Font><Sub>6</Sub>,2012-11-26
1007459,surolene; dimethylbenzylcarbinol,二甲基苄基甲醇,,C<Sub>10</Sub><Font>H</Font><Sub>14</Sub><Font>O</Font>,2012-11-26
1007460,sweet spirit of niter; ethyl nitrite,亞硝酸乙酯,,CH<Sub>3</Sub><Font>CH</Font><Sub>2</Sub><Font>ONO</Font>,2012-11-26
1007461,sykose; saccharin; benzoic sulfimide,糖精,,C<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>CONHSO</Font><Sub>2</Sub>,2012-11-26
1007462,sylvan,2-甲呋喃,,CH<Sub>3</Sub><Font>C</Font><Sub>4</Sub><Font>H</Font><Sub>3</Sub><Font>O</Font>,2012-11-26
1007463,sylvestrene,"洋樅萜；1,8(9)-間【草(之上)+孟】二烯",,C<Sub>10</Sub><Font>H</Font><Sub>16</Sub>,2012-11-26
1007464,sympathol; synephrine {4-[1-hydroxy-2-(methylamino)ethyl]phenol},交感醇；對-羥-α-甲胺甲苄醇 {4-[1-羥-2-(甲胺)乙]苯酚},,<p>C<sub>9</sub>H<sub>13</sub>NO<sub>2</sub></p>,2012-11-26
1007465,procaine hydrochloride,普魯卡因鹽酸鹽,,<p>C<sub>13</sub>H<sub>21</sub>ClN<sub>2</sub>O<sub>2</sub></p>,2012-11-26
1007466,synthalin,"合成靈；1,10-癸二胍鹽酸鹽",,[H<Sub>2</Sub><Font>NC(=NH)NH(CH</Font><Sub>2</Sub><Font>)</Font><Sub>5</Sub><Font>]</Font><Sub>2</Sub><Font>·2HCl</Font>,2012-11-26
1007467,syntropan,順托派,,C<Sub>18</Sub><Font>H</Font><Sub>32</Sub><Font>NO</Font><Sub>7</Sub><Font>P</Font>,2012-11-26
1007468,syringaldehyde; syringic aldehyde,丁香醛,,C<Sub>9</Sub><Font>H</Font><Sub>10</Sub><Font>O</Font><Sub>4</Sub>,2012-11-26
1007469,syringenin,丁香配質,,C<Sub>11</Sub><Font>H</Font><Sub>14</Sub><Font>O</Font><Sub>4</Sub>,2012-11-26
1007470,"syringic acid; 4-hydroxy-3,5-dimethoxy-benzoic acid","丁香酸；4-羥-3,5-二甲氧苯甲酸",,(CH<Sub>3</Sub><Font>O)</Font><Sub>2</Sub><Font>(HO)C</Font><Sub>6</Sub><Font>H</Font><Sub>2</Sub><Font>COOH</Font>,2012-11-26
1007471,syringidin; malvidin chloride,丁香素,,C<Sub>17</Sub><Font>H</Font><Sub>15</Sub><Font>ClO</Font><Sub>7</Sub>,2012-11-26
1007472,syringin,紫丁香苷,,C<Sub>17</Sub><Font>H</Font><Sub>24</Sub><Font>O</Font><Sub>9</Sub>,2012-11-26
1007473,syringyl alcohol,丁香醇,,C<Sub>9</Sub><Font>H</Font><Sub>12</Sub><Font>O</Font><Sub>4</Sub>,2012-11-26
1007474,sylvic acid; abietic acid,松脂酸,,C<Sub>20</Sub><Font>H</Font><Sub>30</Sub><Font>O</Font><Sub>2</Sub>,2012-11-26
1007475,tabun,太奔；二甲胺氰磷酸乙酯,,(CH<Sub>3</Sub><Font>)</Font><Sub>2</Sub><Font>NPO(OC</Font><Sub>2</Sub><Font>H</Font><Sub>5</Sub><Font>)CN</Font>,2012-11-26
1007476,tachysterol,速甾醇,,C<Sub>28</Sub><Font>H</Font><Sub>44</Sub><Font>O</Font>,2012-11-26
1007477,talomucic acid,太洛黏酸；太洛糖二酸,,(CHOH)<Sub>4</Sub><Font>(COOH)</Font><Sub>2</Sub>,2012-11-26
1007478,talose,太洛糖,,C<Sub>6</Sub><Font>H</Font><Sub>12</Sub><Font>O</Font><Sub>6</Sub>,2012-11-26
1007479,tannic acid; tannin,單寧酸；單寧,,C<Sub>76</Sub><Font>H</Font><Sub>52</Sub><Font>O</Font><Sub>46</Sub>,2012-11-26
1007480,tariric acid,塔日酸；6-十八[碳]炔酸,,"CH<Sub>3</Sub><Font>(CH</Font><Sub>2</Sub><Font>)</Font><Sub>10</Sub><Font>C</Font><Fonthtml:Face=""細明體"" x:CharSet=""136"" x:Family=""Modern"">≡</Font><Font>C(CH</Font><Sub>2</Sub><Font>)</Font><Sub>4</Sub><Font>COOH</Font>",2012-11-26
1007481,taroxylic acid,"塔氧酸；6,7-二側氧十八酸",,C<Sub>18</Sub><Font>H</Font><Sub>32</Sub><Font>O</Font><Sub>4</Sub>,2012-11-26
1007482,tartar; potassium acid tartrate,酒石；酒石酸氫鉀,,KHC<Sub>4</Sub><Font>H</Font><Sub>4</Sub><Font>O</Font><Sub>6</Sub>,2012-11-26
1007483,tartar emetic; antimony potassium tartrate; tartrated antimony,吐酒石；酒石酸銻鉀,,C<Sub>8</Sub><Font>H</Font><Sub>4</Sub><Font>K</Font><Sub>2</Sub><Font>O</Font><Sub>14</Sub><Font>Sb</Font><Sub>2</Sub><Font>·3H</Font><Sub>2</Sub><Font>O</Font>,2012-11-26
