ID,英文詞彙,中文名詞,越南語,印尼語,緬甸文,泰文,柬埔寨文,資料來源,法令,注解,菲律賓文,更新日期
21377559,trash bin,垃圾桶,thùng rác,tong sampah,,,,警政署,,,,
21377560,trial running,試辦,thử nghiệm,uji coba,,,,勞動部,中高齡者及高齡者就業促進法,,,
21377561,trust ,信託,ủy thác,perwalian aset kepada bank,,,,衛生福利部,老人福利法,,,
21377562,tuition and miscellaneous fee ,學雜費,học phí và tạp phí khác,biaya sekolah dan biaya insidental,,,,衛生福利部,,,,
21377563,turn signal,方向燈,đèn xi-nhan,lampu sein,,,,警政署,道路交通管理處罰條例,,,
21377564,Unauthorized,擅自,tự ý,tanpa seizin,,,,警政署,道路交通管理處罰條例 ,,,
21377565,undergoing training,受訓,được đào tạo,dokumen identitas diri,,,,移民署,外國人停居留及永久居留辦法,,,
21377566,understaffed ,人手不足,thiếu nhân lực,kekurangan staf,,,,警政署,,,,
21377567,"unfair, unjust",不正,không chính đáng,tidak benar,,,,勞動部,職業訓練法,,,
21377568,unidentified,不詳,không rõ,tidak jelas,,,,警政署,,,,
21377569,unit that has the obligation to purchase the products and services ,義務採購單位,đơn vị có nghĩa vụ mua sắm,unit pembelanjaan wajib,,,,衛生福利部,身心障礙者權益保障法,,,
21377570,university ,大學校院,trường đại học,perguruan tinggi,,,,勞動部,職業訓練法,,,
21377571,up till now,迄今,cho đến nay,hingga kini,,,,警政署,,,,
21377572,urgent protection or settlement,緊急保護安置,bố trí cho người bảo hộ khẩn cấp,penempatan perlindungan/shelter darurat,,,,衛生福利部,身心障礙者權益保障法,,,
21377573,urine  ,尿液,nước tiểu,urin,,,,警政署,,,,
21377574,urine test  ,驗尿液,xét nghiệm nước tiểu,tes urin,,,,警政署,,,,
21377575,used multiple times,多次使用,sử dụng nhiều lần,penggunaan berkali-kali,,,,移民署,外國人停居留及永久居留辦法,,,
21377576,using a passport which was issued with a false identity,冒用身分申請之護照,Hộ chiếu được cấp bởi danh tính giả,mengajukan paspor dengan data palsu,,,,移民署,禁止外國人入國作業規定,,,
21377577,using another person's passport,冒用護照,sử dụng hộ chiếu của người khác,menggunakan paspor palsu,,,,移民署,禁止外國人入國作業規定,,,
21377578,Vagina,陰道,âm đạo,Vagina,,,,,,,,
21377579,Vehicle,車輛,xe cộ,kendaraan,,,,警政署,道路交通管理處罰條例 ,,,
21377580,vehicle body,車身,thân xe,badan kendaraan,,,,警政署,道路交通管理處罰條例 ,,,
21377581,Vehicle license,牌照,biển số xe,plat kendaraan,,,,警政署,道路交通管理處罰條例 ,,,
21377582,verbal abuse,言詞暴力 ,bạo lực bằng lời nói,kekerasan verbal,,,,警政署,,,,
21377583,Victim Code Assignment Register,真實姓名對照表 ,bảng đối chiếu họ tên thật,tabel perbandingan nama asli,,,,警政署,,,,
21377584,victimization,被害,bị hại,korban,,,,警政署,犯罪被害人權益保障法,,,
21377585,Vietnam Economic and Cultural Office in Taipei,越南經濟文化辦事處,Văn phòng Kinh tế và Văn hóa Việt Nam,Kantor Ekonomi dan Budaya Vietnam,,,,警政署,,,,
21377586,violator,違者,người vi phạm,pelanggar,,,,衛生福利部,老人福利法,,,
21377587,visa,簽證,thị thực,visa,,,,移民署,外國人停居留及永久居留辦法,,,
21377588,visa waiver,免簽證,miễn thị thực,bebas visa,,,,移民署,外國人停居留及永久居留辦法,,,
21377589,visibility,能見度 ,tầm nhìn,jarak pandang,,,,警政署,,,,
21377590,visitor visa,停留簽證,thị thực lưu trú,visa izin tinggal,,,,移民署,外國人停居留及永久居留辦法,,,
21377591,vital organs,致命部位 ,bộ phận gây tử vong,bagian fatal/mematikan,,,,警政署,,,,
21377592,vitamin,維他命,vitamin,vitamin,,,,警政署,,,,
21377593,vocation,職能,chức năng,kemampuan kerja,,,,勞動部,職業訓練法,,,
21377594,vocational high school,高職,Trường Trung học nghề,SMK/Sekolah Menengah Ketrampilan,,,,衛生福利部,,,,
21377595,Vocational trainers,職業訓練師,huấn luyện viên,pelatih/instruktur profesional,,,,勞動部,職業訓練機構設立及管理辦法,,,
21377596,Vocational Training Act,職業訓練法,Luật Đào tạo nghề,Undang-Undang Pelatihan Kerja,,,,勞動部,中高齡者及高齡者就業促進法,,,
21377597,Voluntariness,自願性,tính tự nguyện,bersifat sukarela,,,,警政署,刑事訴訟法,,,
21377598,voluntary ,自願性,tính tự nguyện,sukarela,,,,衛生福利部,,,,
21377599,washing,盥洗,rửa tay rửa mặt/ tắm rửa,membersihkan,,,,勞動部,職業訓練機構設立及管理辦法,,,
21377600,watermelon knife,西瓜刀 ,dao bản dài,golok,,,,警政署,,,,
21377601,welfare care institutions for the disabled,身心障礙福利機構,cơ quan phúc lợi cho người khuyết tật,Lembaga Kesejahteraan cacat fisik dan mental,,,,衛生福利部,身心障礙者權益保障法,,,
21377602,when,何時,khi nào,kapan,,,,警政署,,,,
21377603,where sb live,居住處所,nơi cư trú,tempat tinggal,,,,勞動部,就業促進津貼實施辦法,,,
21377604,whereabout,何處,nơi nào,di mana,,,,警政署,,,,
21377605,whether/if,有無,có hay không,ada atau tidak,,,,警政署,,,,
21377606,will,遺囑,di chúc,wasiat,,,,勞動部,職業訓練機構設立及管理辦法,,,
21377607,with no need to,無須 ,không cần,tidak perlu,,,,警政署,,,,
21377608,with one’s real name unknown,真實姓名不詳,không rõ tên thật,tidak diketahui nama aslinya,,,,警政署,,,,
21377609,with other conditions,附加其他條件,kèm theo các điều kiện khác,tambahan persyaratan lain,,,,移民署,外國人停居留及永久居留辦法,,,
21377610,with pay,有給,có cấp,dibayar/mendapat gaji,,,,勞動部,就業促進津貼實施辦法,,,
21377611,without error,無誤,không sai,tanpa kesalahan,,,,警政署,,,,
21377612,without exception,一律,đồng loạt,semuanya,,,,衛生福利部,社會基本福利法,,,
21377613,words,字樣,font chữ,model huruf,,,,勞動部,職業訓練機構設立及管理辦法,,,
21377614,work illegally,非法工作,làm việc bất hợp pháp,kerja ilegal,,,,移民署,禁止外國人入國作業規定,,,
21377615,working visa,工作簽證 ,thị thực làm việc,visa kerja,,,,警政署,,,,
21377616,workshops ,研習,nghiên cứu và học tập,pembelajaran,,,,衛生福利部,老人福利法,,,
21377617,written and prepared,繕具,chuẩn bị/ chuẩn bị chu toàn,menyusun,,,,移民署,居住臺灣地區之人民受歧視申訴辦法,,,
21377618,year,年度,năm， niên độ,tahunan,,,,勞動部,職業訓練機構設立及管理辦法,,,
21377619,you,臺端,ông/bà (cách dùng lịch sự trong giấy tờ thông báo),Anda,,,,警政署,,,,
21377620,youth,年輕人,người trẻ tuổi,orang muda,,,,警政署,,,,
21377621,zip lock bag,小塑膠帶,túi nhựa nhỏ,kantong plastik kecil,,,,警政署,,,,
21377622,Zolpidem,一粒眠,Zolpidem (Ambien),Zolpidem,,,,警政署,,,,
21377623,zoning,分區,phân khu,pembagian wilayah/zona,,,,勞動部,職業訓練機構設立及管理辦法,,,
21377648,Booking/appointment,預約,đặt trước/hẹn gặp,Janji temu,,,,,,,,
21377649,G.P.(General Practioner),一般科醫師, bác sĩ đa khoa,Dokter umum,,,,,,,,
21377650,Specialist,專科醫師,chuyên gia,Dokter spesialis,,,,,,,,
21377651,OPD(Outpatient department),門診,phòng khám,Rawat jalan,,,,,,,,
21377652,Medical department/ internal medicine,內科,khoa nội,Bagian penyakit dalam,,,,,,,,
21377653,Physician,內科醫師,bác sĩ,Dokter spesialis penyakit dalam,,,,,,,,
21377654,Surgical department,外科,khoa phẫu thuật,Bagian bedah,,,,,,,,
21377655,Surgeon,外科醫師,bác sĩ phẫu thuật,Dokter spesialis bedah,,,,,,,,
21377656,Pediatric department,小兒科,khoa nhi,Bagian anak,,,,,,,,
21377657,Pediatrician,小兒科醫師,bác sĩ khoa nhi,Dokter spesialis anak,,,,,,,,
21377658,Obstetric department,產科,khoa sản,Bagian kandungan,,,,,,,,
21377659,Obstetrician,產科醫師,bác sĩ khoa sản,Dokter spesialis kandungan,,,,,,,,
21377660,Gynecology department,婦科,khoa phụ khoa,Bagian kebidanan,,,,,,,,
21377661,Gynecologist,婦科醫師,bác sĩ phụ khoa,Dokter spesialis kebidanan,,,,,,,,
21377662,Plastic surgery department,整形外科,khoa phẫu thuật thẩm mỹ,Bagian bedah plastik,,,,,,,,
21377663,Plastic surgeon,整形外科醫師,bác sĩ phẫu thuật thẩm mỹ,Dokter spesialis bedah plastik,,,,,,,,
21377664,Dermatologist department,皮膚科,khoa da liễu,Bagian kulit,,,,,,,,
21377665,Dermatologist,皮膚科醫師,bác sĩ da liễu,Dokter spesialis kulit,,,,,,,,
21377666,Ophthalmology department,眼科,khoa mắt,Bagian mata,,,,,,,,
21377667,Ophthalmologist,眼科醫師,bác sĩ chuyên khoa mắt,Dokter spesialis mata,,,,,,,,
21377668,ENT(Ear nose throat),耳鼻喉科,khoa tai mũi họng,Bagian THT,,,,,,,,
21377669,Psychiatric department,精神科,khoa tâm thần,Bagian kesehatan jiwa,,,,,,,,
21377670,Psychiatrist,精神科醫師,bác sĩ chuyên khoa tâm thần,Dokter spesialis kesehatan jiwa (Psikiater),,,,,,,,
21377671,Neurologic department,神經科,khoa thần kinh,Bagian saraf,,,,,,,,
21377672,Pathologic departmen,病理科,khoa bệnh lý,Bagian patologi,,,,,,,,
21377673,Pathologist,病理科醫師,bác sĩ chuyên khoa bệnh lý,Dokter spesialis patologi,,,,,,,,
21377674,Ward,病房,phòng bệnh nhân nội trú,Bangsal rumah sakit,,,,,,,,
21377675,Private room,個人房,phòng riêng,Kamar privat (Kamar single),,,,,,,,
21377676,Operation theatre/ Operation room,開刀房,phòng mổ/ phòng phẫu thuật,Ruang bedah (Kamar operasi),,,,,,,,
21377677,Delivery room,產房,phòng sinh,Kamar bersalin,,,,,,,,
21377678,Emergency room/ Casualty room,急診室,phòng cấp cứu/phòng chữa trị bệnh nhân cấp cứu hoặc bị tai nạn,Instalasi Gawat Darurat (Unit Gawat Darurat),,,,,,,,
21377679,Nurse station,護理站,khu làm việc của hộ lý,Pos perawat,,,,,,,,
21377680,ICU (Intensive care unit),加護病房,icu(đơn vị chăm sóc tích cực),Unit perawatan intensif,,,,,,,,
21377681,Admission,入院,nhập viện,Opname (rawat inap),,,,,,,,
21377682,Discharge,出院,xuất viện,Keluar rumah sakit,,,,,,,,
21377683,Chart,病歷表,bệnh án,Rekam medis,,,,,,,,
21377684,DOB(Date of birth),出生日期,ngày tháng năm sinh,Tanggal lahir,,,,,,,,
21377685,History,病史,bệnh sử,Riwayat penyakit,,,,,,,,
21377686,Disease/Illness/Sickness,疾病,bệnh,Penyakit,,,,,,,,
21377687,Diagnosis,診斷,chẩn đoán,Diagnosis,,,,,,,,
21377688,Prescription,處方,đơn thuốc,Resep obat,,,,,,,,
21377689,Injection,注射,tiêm,Suntik,,,,,,,,
21377690,Vaccine,疫苗,vắc-xin,Vaksin,,,,,,,,
21377691,Inoculation,預防注射,tiêm chủng,Imunisasi,,,,,,,,
21377692,Vital sign,生命徵狀,dấu hiệu sinh tồn,Tanda vital,,,,,,,,
21377693,Body temperature,體溫,nhiệt độ cơ thể,Suhu badan,,,,,,,,
21377694,Thermometer,體溫計,nhiệt kế,Termometer badan,,,,,,,,
21377695,Blood pressure,血壓,huyết áp,Tekanan darah,,,,,,,,
21377696,Sphygmomanometer,血壓計,máy đo huyết áp,Alat ukur tekanan darah,,,,,,,,
21377697,Pulse,脈搏,mạch ,Denyut nadi,,,,,,,,
21377698,Bacteria/Germ,細菌,vi khuẩn/vi trùng,Bakteri,,,,,,,,
21377699,Virus,病毒,vi-rút,Virus,,,,,,,,
21377700,Rickettsia,立克次小體,vi sinh vật rickettsia,Rickettsia,,,,,,,,
21377701,Infection,感染,nhiễm trùng,Infeksi,,,,,,,,
21377702,Side effect,副作用,tác dụng phụ,Efek samping,,,,,,,,
21377703,Surgical Treatment,手術治療,phẫu thuật,Terapi bedah,,,,,,,,
21377704,Chemotherapy,化學治療,hóa trị,Kemoterapi,,,,,,,,
21377705,Radiation Therapy,放射治療,xạ trị,Radioterapi,,,,,,,,
21377706,Regenerative Medicine,再生醫療,y học tái tạo,Pengobatan regeneratif,,,,,,,,
21377707,Proton Therapy, 質子治療,liệu pháp xạ trị proton,Terapi proton,,,,,,,,
21377708,Heavy Ion Therapy,重粒子治療,liệu pháp ion nặng,Terapi ion berat,,,,,,,,
21377709,Immunotherapy,免疫治療,liệu pháp miễn dịch,Imunoterapi,,,,,,,,
21377710,Cell Therapy,細胞治療,liệu pháp tế bào,Terapi sel,,,,,,,,
21377711,Stem Cell Therapy,幹細胞治療,liệu pháp tế bào gốc,Terapi sel punca,,,,,,,,
21377712,Targeted Therapy,標靶治療,liệu pháp nhắm trúng đích,Terapi target,,,,,,,,
21377713,Precision Medicine, 精準治療,y học chính xác,Pengobatan presisi,,,,,,,,
21377714,Cancer Screening,癌症篩檢,sàng lọc ung thư,Skrining kanker,,,,,,,,
21377715,Anticancer Drugs,抗癌藥,thuốc chống ung thư,Obat anti-kanker,,,,,,,,
21377716,Carcinogens,致癌物,chất gây ung thư,Karsinogen (pemicu kanker),,,,,,,,
21377717,Chemical Carcinogens,化學致癌物,chất gây ung thư hóa học,Karsinogen kimia,,,,,,,,
21377718,Direct Carcinogens,直接致癌物,chất gây ung thư tác động trực tiếp,Karsinogen langsung,,,,,,,,
21377719,Epigenetic Carcinogens,外遺傳致癌物,chất gây ung thư ngoại di truyền,Karsinogen epigenetik,,,,,,,,
21377720,Genotoxic Carcinogens,遺傳毒性致癌物,chất gây ung thư có độc tính di truyền,Karsinogen genotoksik,,,,,,,,
21377721,Breast Cancer,乳腺癌,ung thư vú,Karsinoma duktal payudara,,,,,,,,
21377722,Cervical Cancer,子宮頸癌,ung thư cổ tử cung,Kanker serviks (Kanker leher rahim),,,,,,,,
21377723,Lung Cancer,肺癌,ung thư phổi,Kanker paru-paru,,,,,,,,
21377724,Nasopharyngeal Cancer,鼻咽癌,npc (ung thư vòm họng),Kanker nasofaring,,,,,,,,
21377725,Liver Cancer,肝癌,ung thư gan,Kanker hati,,,,,,,,
21377726,Oral Cancer,口腔癌,ung thư miệng,Kanker rongga mulut,,,,,,,,
21377727,Stomach Cancer,胃癌,ung thư dạ dày,Kanker lambung,,,,,,,,
21377728,Colon Cancer,大腸癌,ung thư đại tràng,Kanker usus besar,,,,,,,,
21377729,Rectal Cancer,直腸癌,ung thư trực tràng,Kanker rektum,,,,,,,,
21377730,Esophageal Cancer,食道癌,ung thư thực quản,Kanker esofagus (Kanker kerongkongan),,,,,,,,
21377731,Pancreatic Cancer,胰臟癌,ung thư tuyến tụy,Kanker pankreas,,,,,,,,
21377732,Prostate Cancer,前列腺癌,ung thư tuyến tiền liệt,Kanker prostat,,,,,,,,
21377733,Thyroid Cancer,甲狀腺癌,ung thư tuyến giáp,Kanker tiroid,,,,,,,,
21377734,Bladder Cancer,膀胱癌,ung thư bàng quang,Kanker kandung kemih,,,,,,,,
21377735,Kidney Cancer,腎癌,ung thư thận,Kanker ginjal,,,,,,,,
21377736,Ovarian Cancer,卵巢癌,ung thư buồng trứng,Kanker ovarium (Kanker indung telur),,,,,,,,
21377737,Endometrial Cancer,子宮內膜癌,ung thư nội mạc tử cung,Kanker endometrium,,,,,,,,
21377738,Lymphoma,淋巴癌,ung thư hạch bạch huyết (u lympho),Limfoma (Kanker kelenjar getah bening),,,,,,,,
21377739,Leukemia,白血病,bệnh bạch cầu (ung thư máu),Leukemia (Kanker darah),,,,,,,,
21377740,Multiple Myeloma,多發性骨髓瘤,đa u tủy xương,Mieloma multipel (Kanker sumsum tulang),,,,,,,,
21377741,Brain Cancer,腦癌,ung thư não,Kanker otak,,,,,,,,
21377742,Skin Cancer,皮膚癌,ung thư da,Kanker kulit,,,,,,,,
21377743,Telemedicine,遠距醫療,y tế từ xa,Telemedisin,,,,,,,,
21377744,Wearable Medical Devices,可穿戴醫療設備,thiết bị y tế đeo được,Perangkat medis yang dapat dipakai,,,,,,,,
21377745,Personalized Medicine,個人化醫療,y học cá nhân hóa,Pengobatan personalisasi,,,,,,,,
21377746,Big Data Analytics,大數據分析,phân tích dữ liệu lớn,Analisis data besar,,,,,,,,
21377747,Biomarkers,生物標記,dấu ấn sinh học,Penanda Biologis,,,,,,,,
21377748,Gene Sequencing,基因測序,giải trình tự gen,Pengurutan gen,,,,,,,,
21377749,Minimally Invasive Surgery,微創手術,phẫu thuật xâm lấn tối thiểu,Bedah invasif minimal,,,,,,,,
21377750,Robotic Surgery,機器人手術,phẫu thuật robot,Bedah robotik,,,,,,,,
21377751,International Healthcare,國際醫療,dịch vụ y tế quốc tế,Layanan medis internasional,,,,,,,,
21377752,Medical Tourism,醫療旅遊,du lịch y tế,Wisata medis,,,,,,,,
21377753,International Patient Referral,國際病患轉診,chuyển tuyến điều trị cho bệnh nhân nước ngoài,Rujukan pasien internasional,,,,,,,,
21377754,Medical Evacuation Flights,醫療專機轉送,vận chuyển bệnh nhân bằng máy bay chuyên dụng,Transportasi medis udara,,,,,,,,
21377755,Medical Visa,醫療簽證,visa y tế,Visa medis,,,,,,,,
21377756,Premium Medical Services,高端醫療服務,dịch vụ y tế cao cấp,Layanan medis premium,,,,,,,,
21377757,Unexplained Weight Loss,不明原因體重減輕,sụt cân không rõ nguyên nhân,Penurunan berat badan tanpa sebab yang jelas,,,,,,,,
21377758,Persistent Pain,持續性疼痛,đau đớn kéo dài,Nyeri berkelanjutan,,,,,,,,
21377759,Unexplained Fever,不明原因發燒,sốt không rõ nguyên nhân,Demam tanpa sebab yang jelas,,,,,,,,
21377760,Abnormal Bleeding,異常出血,xuất huyết bất thường,Pendarahan abnormal,,,,,,,,
21377761,Unusual Lump,不尋常腫塊,khối u bất thường,Benjolan abnormal,,,,,,,,
21377762,Blood Test,抽血檢查,xét nghiệm máu,Pemeriksaan darah,,,,,,,,
21377763,Imaging Test,影像檢查,chẩn đoán hình ảnh,Pemeriksaan pencitraan,,,,,,,,
21377764,X-ray,X光,x-quang,Rontgen,,,,,,,,
21377765,MRI (Magnetic Resonance Imaging),核磁共振,cộng hưởng từ,MRI (Pencitraan resonansi magnetik) ,,,,,,,,
21377766,Biopsy,切片檢查,sinh thiết,Biopsi,,,,,,,,
21377767,Pus,膿,mủ,Nanah,,,,,,,,
21377768,Abscess,膿胞,áp xe,Abses,,,,,,,,
21377769,I&D（Incisionand drainage）,切開引流,i&d（rạch và dẫn lưu）,Insisi dan drainase,,,,,,,,
21377770,Gangrene,壞疽,chứng hoại thư,Gangren,,,,,,,,
21377771,Fracture,骨折,gãy xương,Fraktur,,,,,,,,
21377772,Open/Close fracture,開放性/閉合性骨折,gãy xương hở/ kín,Fraktur terbuka/tertutup,,,,,,,,
21377773,Greenstick fracture,樹枝狀骨折,gãy xương cành tươi,Fraktur greenstick,,,,,,,,
21377774,Osteomyelitis,骨髓炎,viêm xương tủy,Osteomielitis,,,,,,,,
21377775,Dislocation,脫臼,trật khớp,Dislokasi sendi,,,,,,,,
21377776,Split,夾板,nẹp cố định,Bidai,,,,,,,,
21377777,PP cast,石膏,băng bột pp ,Gips,,,,,,,,
21377778,Traction,牽引,kéo giãn,Traksi,,,,,,,,
21377779,Amputation,截肢,thủ thuật cắt cụt,Amputasi,,,,,,,,
21377780,Burn injury,燒傷,tổn thương do bỏng,Luka bakar,,,,,,,,
21377781,Keloid,斑痕組織化,sẹo lồi,Jaringan parut,,,,,,,,
21377782,Rheumatoid arthritis,類風溼性關節炎,viêm khớp dạng thấp,Artritis rematik,,,,,,,,
21377783,Gouty arthritis,痛風性關節炎,viêm khớp thống phong,Artritis gout,,,,,,,,
21377784,Osteoarthritis,骨性關節炎,thoái hóa khớp,Osteoartritis,,,,,,,,
21377785,Kyphosis,駝背,chứng gù,Kifosis (Bungkuk),,,,,,,,
21377786,Scoliosis,脊柱側彎,chứng vẹo cột sống,Skoliosis,,,,,,,,
21377787,Lordosis,脊柱前凸,tật ưỡn cột sống,Lordosis ,,,,,,,,
21377788,Spondylolisthesis,脊椎滑脫,trượt đốt sống,Spondilolistesis,,,,,,,,
21377789,Anesthesia,麻醉,gây mê,Pembiusan,,,,,,,,
21377790,Local anesthesia,局部麻醉,gây mê cục bộ,Anestesi lokal,,,,,,,,
21377791,Intravenous general anesthesia,靜脈全身麻醉,gây mê toàn thân bằng cách tiêm tĩnh mạch,Anestesi umum intravena,,,,,,,,
21377792,Spinal anesthesia,脊椎麻醉,gây tê tủy sống,Anestesi spinal,,,,,,,,
21377793,Epidural anesthesia,脊硬膜外麻醉,gây tê ngoài màng cứng,Anestesi epidural,,,,,,,,
21377794,Intubated general anesthesia,插管全身麻醉,gây mê toàn thân bằng cách luồn ống vào khí quản,Anestesi umum dengan intubasi endotrakeal ,,,,,,,,
21377795,Laparoscopy,腹腔鏡檢查, nội soi ổ bụng,Laparoskopi,,,,,,,,
21377796,Cystoscope,膀胱鏡檢查,nội soi bàng quang,Sistoskopi,,,,,,,,
21377797,Colonoscope,結腸鏡檢查,nội soi ruột kết,Kolonoskopi,,,,,,,,
21377798,Rectoscope,直腸鏡檢查,nội soi trực tràng,Rektoskopi,,,,,,,,
21377799,Incision,切口,rạch ,Insisi ,,,,,,,,
21377800,Suture,縫合,khâu ,Jahitan,,,,,,,,
21377801,PPU（Perforation of peptic ulcer）,消化性穿孔,ppu（thủng loét dạ dày tá tràng）,Perforasi ulkus peptikum,,,,,,,,
21377802,Gastrectomy,胃切除術,cắt bỏ dạ dày,Gastrektomi,,,,,,,,
21377803,Subtotal gastrectomy,胃次全切除術,cắt bỏ gần như hoàn toàn dạ dày,Gastrektomi parsial,,,,,,,,
21377804,Gastroduodenal anastomosis,胃十二指腸接合術,khâu nối dạ dày tá tràng,Gastroduodenostomi ,,,,,,,,
21377805,Cholecystectomy,膽囊切除術,cắt bỏ túi mật,Kolesistektomi,,,,,,,,
21377806,Intussusception,腸套疊,bệnh lồng ruột,Intususepsi,,,,,,,,
21377807,Hemorrhoidectomy,痔瘡切除術,cắt trĩ,Hemoroidektomi ,,,,,,,,
21377808,Perianal abscess,肛門周圍膿腫,áp-xe quanh hậu môn,Abses perianal,,,,,,,,
21377809,Anal fistula,肛門瘻管,rò hậu môn,Fistula ani,,,,,,,,
21377810,Ileus,腸沾黏,tắc ruột,Adhesi (Perlengketan) usus,,,,,,,,
21377811,Thoracentesis/ Chest tapping,胸部刺穿術,chọc dò ngực/quấn băng quanh ngực,Thoracentesis,,,,,,,,
21377812,Chest tube,胸管,ống dẫn lưu ngực,Selang dada,,,,,,,,
21377813,Open heart surgery,開心手術,phẫu thuật tim hở,Bedah jantung terbuka,,,,,,,,
21377814,Coronary artery Bypass operation,冠狀動脈繞道手術,động mạch vành phẫu thuật bắc cầu,Operasi bypass arteri koroner,,,,,,,,
21377815,Valve replacement surgery,瓣膜換置術,phẫu thuật thay van,Operasi penggantian katup jantung,,,,,,,,
21377816,Hiatus hernia,裂孔疝氣,thoát vị khe thực quản,Hernia hiatus ,,,,,,,,
21377817,Partial thyroidectomy,部分甲狀腺切除術,cắt bỏ một phần tuyến giáp ,Tiroidektomi parsial,,,,,,,,
21377818,Appendectomy,闌尾切除術,cắt bỏ ruột thừa,Apendektomi,,,,,,,,
21377819,Hernioplasty,疝氣修補術,tạo hình vùng thoát vị,Operasi hernia,,,,,,,,
21377820,Lobectomy,肺葉切除術,cắt thùy,Lobektomi paru,,,,,,,,
21377821,Lymph node biopsy,淋巴結切片檢查,sinh thiết hạch bạch huyết,Biopsi kelenjar getah bening,,,,,,,,
21377822,Peritonitis,腹膜炎,viêm màng bụng,Peritonitis,,,,,,,,
21377823,Urolithiasis,尿道結石,sỏi niệu đạo,Batu saluran kemih,,,,,,,,
21377824,Urinary bladder stone,膀胱結石,sỏi bàng quang,Batu kandung kemih,,,,,,,,
21377825,Pituitary gland,腦下垂體,tuyến yên,Kelenjar pituitari,,,,,,,,
21377826,Genital organ,性器官,cơ quan sinh dục,Organ seksual,,,,,,,,
21377827,Vulva,女陰,âm hộ,Vulva,,,,,,,,
21377828,Labia major,大陰唇,mép lớn,Labia mayor,,,,,,,,
21377829,Labia minor,小陰唇,mép nhỏ,Labia minor,,,,,,,,
21377830,Clitoris,陰蒂,âm vật,Klitoris,,,,,,,,
21377831,Perineum,會陰,đáy chậu,Perineum,,,,,,,,
21377832,Cervix,子宮頸,cổ tử cung,Serviks/leher rahim,,,,,,,,
21377833,Uterus/womb,子宮,tử cung/dạ con,Rahim,,,,,,,,
21377834,Endometrium,子宮內膜,màng trong dạ con,Endometrium,,,,,,,,
21377835,Oviduct/Fallopian tube,輸卵管,vòi trứng/ống dẫn trứng,Oviduk,,,,,,,,
21377836,Ovary,卵巢,buồng trứng,Ovarium/Indung telur,,,,,,,,
21377837,Cul-de-Sac of Dougla/ Uterorectal porch,子宮直腸凹,túi cùng douglas/cổng vòm tử cung-trực tràng,Kantong Douglas,,,,,,,,
21377838,Estrogen,女性荷爾蒙(雌激素),hoóc-môn estrogen,Estrogen,,,,,,,,
21377839,Progesterone,黃體素,hoóc-môn progesterone,Progesteron,,,,,,,,
21377840,MC (Menstrual cycle),月經週期,mc (chu kỳ kinh nguyệt),Siklus menstruasi,,,,,,,,
21377841,Ovulation,排卵,rụng trứng,Ovulasi,,,,,,,,
21377842,Ovum,卵子,noãn ,Ovum/sel telur,,,,,,,,
21377843,Ovarian follicle,卵泡,nang buồng trứng,Folikel ovarium,,,,,,,,
21377844,Ovary cyst,卵巢囊腫,u nang buồng trứng,Kista ovarium,,,,,,,,
21377845,Polycystic ovarian disease,多發性卵巢囊腫,bệnh buồng trứng đa nang,"Kista ovarium multipel, ",,,,,,,,
21377846,polycystic ovaries,多囊性卵巢,kinh nguyệt lần đầu,ovarium polikistik,,,,,,,,
21377847,Menarche,初經(第一次月經),kinh nguyệt không đều,Haid pertama,,,,,,,,
21377848,Irregular menstruation,月經不規則,mất kinh,Haid tidak teratur,,,,,,,,
21377849,Amenorrhea,無月經,chứng thống kinh,Amenorea,,,,,,,,
21377850,Dysmenorrhea,經痛,máu cục,Dismenorea (Nyeri haid),,,,,,,,
21377851,Clot,血塊,gấp ngã ra sau trong tử cung,Gumpalan darah,,,,,,,,
21377852,Retroversioflexion Of uterus,子宮後屈,quan hệ tình dục,Rahim retrofleksi (Rahim terbalik),,,,,,,,
21377853,Sexual Intercourse/ Coitus,性交,phương pháp tránh thai/ngừa thai,Hubungan seksual (Koitus),,,,,,,,
21377854,Contraception/ birth control,避孕,iud (vòng tránh thai),Kontrasepsi,,,,,,,,
21377855,IUD  (intrauterine device),子宮內避孕器,viên uống tránh thai,Alat kontrasepsi dalam rahim,,,,,,,,
21377856,Oral pill,避孕藥,bao cao su,Pil KB,,,,,,,,
21377857,Post coitus spotting,性交後點狀出血,dub (chảy máu tử cung do rối loạn cơ năng),Pendarahan setelah hubungan seksual,,,,,,,,
21377858,DUB (Dysfunctional uterine bleeding),子宮功能性異常出血,mãn kinh,Pendarahan rahim disfungsional,,,,,,,,
21377859,Menopause,停經,hội chứng hậu mãn kinh,Menopause,,,,,,,,
21377860,Menopause syndrome,停經症候群,chứng bốc hỏa,Sindrom menopause,,,,,,,,
21377861,Flush,臉潮紅,phết bào cổ tử cung,Kemerahan pada wajah,,,,,,,,
21377862,Papanicolaou smear,子宮頸抹片檢查,dịch tiết âm đạo,Pemeriksaan pap smear,,,,,,,,
21377863,Vaginal discharge,陰道分泌物,viêm âm đạo,Cairan vagina,,,,,,,,
21377864,Vaginitis,陰道炎,viêm cổ tử cung,Radang vagina,,,,,,,,
21377865,Cervicitis,子宮頸炎,viêm nội mạc tử cung,Radang serviks,,,,,,,,
21377866,Endometritis,子宮內膜炎,viêm ống dẫn trứng,Endometritis,,,,,,,,
