ID,英文名稱,中文名稱,圖片,化學式,更新日期
358425,hexylidene,亞己基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>4</sub>CH=,2012-11-26
358426,n-hexyl,正己基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>4</sub>CH<sub>2</sub>－,2012-11-26
358427,hexyl,己基,,C<sub>6</sub>H<sub>1</sub><sub>3</sub>－,2012-11-26
358428,hexenoyl,己烯醯基,,C<sub>5</sub>H<sub>9</sub>CO－,2012-11-26
358429,hexaphenyl,異稠六苯基,,C<sub>2</sub><sub>6</sub>H<sub>1</sub><sub>5</sub>－,2012-11-26
358430,hexanoylamino,己醯胺基,,C<sub>5</sub>H<sub>1</sub><sub>1</sub>CONH－,2012-11-26
358431,hexanoyl,己醯基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>4</sub>CO－,2012-11-26
358432,hexanedioyl,己二醯基,,－CO(CH<sub>2</sub>)<sub>4</sub>CO－,2012-11-26
358433,hexanamido,己醯胺基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>4</sub>CONH－,2012-11-26
358434,hexamethylene,"六亞甲基 {1,6伸己基}",,－(CH<sub>2</sub>)<sub>6</sub>－,2012-11-26
358435,hexadecyl,十六基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>1</sub><sub>4</sub>CH<sub>2</sub>－,2012-11-26
358436,hexadecanoyl {palmitoyl},十六醯基 {軟脂醯基},,CH<sub>3</sub>(CH<sub>2</sub>)<sub>1</sub><sub>4</sub>CO－,2012-11-26
358437,hexacosyl,二十六基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>2</sub><sub>4</sub>CH<sub>2</sub>－,2012-11-26
358438,hexacontyl,六十基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>5</sub><sub>8</sub>CH<sub>2</sub>－,2012-11-26
358439,hexacenyl,稠六苯基,,C<sub>2</sub><sub>6</sub>H<sub>1</sub><sub>5</sub>－,2012-11-26
358440,n-heptyl {heptyl},正庚基 {庚基},,CH<sub>3</sub>(CH<sub>2</sub>)<sub>5</sub>CH<sub>2</sub>－,2012-11-26
