ID,英文詞彙,中文名詞,更新日期
21329534,imperial commissioner,欽差大臣,
21329535,imperial edict,聖旨,
21329536,infant care center,托嬰中心,
21329537,ink brush;calligraphy brush;writing brush,毛筆,
21329538,ink splash painting,潑墨畫,
21329539,ink stick;inkstick,墨條,
21329540,ink stone,硯台,
21329541,iron hoop rolling;iron hoop trundling;rolling an iron hoop,滾鐵環,
21329542,jackfruit,菠蘿蜜,
21329543,jalapeño (pepper),墨西哥辣椒,
21329544,jambu;wax apple (俗稱);bell fruit (俗稱),蓮霧,
21329545,jasmine tea,茉莉花茶,
21329546,Javanese bishopwood; toog tree,茄苳樹,
21329547,jeet kune do,截拳道,
21329548,Jianghu;the Jianghuworld,江湖,
21329549,jianjiao;pan-fried jiaozi,煎餃,
21329550,jiaozi,餃子,
21329551,jinshi,進士,
21329552,joss paper,紙錢,
21329553,ju (chariot),車/俥,
21329554,jujube,棗子,
21329555,Junior Civil Service Examination,普考,
21329556,juren,舉人,
21329557,kaishu;regular script,楷書,
21329558,kang;heated platform,炕,
21329559,karma,業(佛教),
21329560,kick shuttlecock;shuttlecock kicking;ti jianzi,踢毽子,
21329561,kid goat meat;kid (meat);cabrito (烤小山羊肉 ),小山羊肉,
21329562,kidney qi deficiency,腎虛,
21329563,king crab,帝王蟹,
21329564,king oyster mushroom,杏鮑菇,
21329565,kiwifruit;kiwi (fruit);Chinese gooseberry,獼猴桃 (奇異果),
21329566,kohlrabi,大頭菜(球莖甘藍),
21329567,koi (carp);ornamental carp,錦鯉,
21329568,kombu seaweed;kelp,海帶 (昆布),
21329569,konjac (jelly),蒟蒻(凍),
21329570,kumquat,金桔,
21329571,kumquat tea,桔茶,
21329572,kung fu shoes,功夫鞋,
21329573,Kunqu;Kun opera,昆 (崑) 曲,
21329574,lantern,燈籠,
21329575,lantern festival;lantern show;lantern exhibit,燈會,
21329576,lantern riddle,燈謎,
21329577,large ink brush,大楷筆,
21329578,large seal script;great seal script,大篆,
21329579,leapfrog,跳背,
21329580,leek,韭蔥,
21329581,left-falling (stroke),撇,
21329582,Legalism,法家,
21329583,lesser banded hornet,黃腰虎頭蜂,
21329584,li;(the Confucian virtue of) propriety,禮,
21329585,lian;(the Confucian virtue of) integrity,廉,
21329586,lima bean;butter bean,皇帝豆,
21329587,lion’s mane mushroom,猴頭菇,
