ID,英文名稱,中文名稱,圖片,化學式,更新日期
524010,saligenin; salicylalcohol,柳醇,,C<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>(OH)CH</Font><Sub>2</Sub><Font>OH</Font>,2012-11-26
524011,"2-salicylylresorcinol; 2,2',6-trihydroxy-benzophenone","2-柳醯間苯二酚；2,2',6-三羥二苯基酮",,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COC</Font><Sub>6</Sub><Font>H</Font><Sub>3</Sub><Font>(OH)</Font><Sub>2</Sub>,2012-11-26
524012,salicylresorcinol,柳醯間苯二酚,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COC</Font><Sub>6</Sub><Font>H</Font><Sub>3</Sub><Font>(OH)</Font><Sub>2</Sub>,2012-11-26
524013,salicyloyl salicylic acid,柳醯柳酸,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COOC</Font><Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COOH</Font>,2012-11-26
524014,"p-salicyloylphenol; 2,4'-dihydroxybenzophenone","對-柳醯[苯]酚；2,4'-二羥二苯基酮",,<p>HOC<sub>6</sub>H<sub>4</sub>COC<sub>6</sub>H<sub>4</sub>OH</p>,2012-11-26
524015,salicylonitrile,柳腈,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>CN</Font>,2012-11-26
524016,salicylol,柳油,,C<Sub>7</Sub><Font>H</Font><Sub>8</Sub><Font>O</Font><Sub>2</Sub>,2012-11-26
524017,salicylic anhydride,柳[酸]酐,,(HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>CO)</Font><Sub>2</Sub><Font>O</Font>,2012-11-26
524018,salicylic amide,柳醯胺,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>CONH</Font><Sub>2</Sub>,2012-11-26
524019,salicylic aldehyde,柳醛；鄰-羥苯甲醛,,<p>HOC<sub>6</sub>H<sub>4</sub>CHO</p>,2012-11-26
524020,salicylic acid propyl ester,柳酸丙酯,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COOC</Font><Sub>3</Sub><Font>H</Font><Sub>7</Sub>,2012-11-26
524021,salicylic acid phenyl ether; o-phenoxybenzoic acid,柳酸苯醚；鄰-苯氧基苯甲酸,,<p>C<sub>6</sub>H<sub>5</sub>OC<sub>6</sub>H<sub>4</sub>COOH</p>,2012-11-26
524022,salicylic acid phenyl ester,柳酸苯酯,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COOC</Font><Sub>6</Sub><Font>H</Font><Sub>5</Sub>,2012-11-26
524023,salicylic acid 1-naphthyl ester,柳酸1-萘酯,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COOC</Font><Sub>10</Sub><Font>H</Font><Sub>7</Sub>,2012-11-26
