ID,英文名稱,中文名稱,圖片,備註,更新日期
3365139,capitalist world-economy,資本主義世界經濟,,,2018-03-21
3365140,capture marriage,掠奪婚,,,2018-03-21
3365141,carceral organization,監禁組織,,,2018-03-21
3365142,carceral society,監禁社會,,,2018-03-21
3365143,career woman,職業婦女,,,2018-03-21
3365144,cargo cult,船貨崇拜,,,2018-03-21
3365145,carryover effect,轉移效應；痕跡效應,,,2018-03-21
3365146,cartel,卡特爾,,,2018-03-21
3365147,Cartesianism,笛卡爾思想；笛卡爾主義,,,2018-03-21
3365148,cartogram,比較統計地圖,,,2018-03-21
3365149,case analysis,個案分析,,,2018-03-21
3365150,case history,個案歷史,,,2018-03-21
3365151,case method,個案方法,,,2018-03-21
3365152,case record,個案記錄,,,2018-03-21
3365153,case study,個案研究,,,2018-03-21
3365154,case study method,個案研究方法,,,2018-03-21
3365155,case work,個案工作,,,2018-03-21
3365156,casewise deletion,按個案排除；按個案刪除,,,2018-03-21
3365157,cash benefit,現金給付,,,2018-03-21
3365158,cash crop,經濟作物,,,2018-03-21
3365159,cash nexus,金錢關係,,,2018-03-21
3365160,caste,喀斯特,,,2018-03-21
3365161,caste system,喀斯特體系；種姓制度,,,2018-03-21
3365162,castration anxiety,閹割焦慮,,,2018-03-21
3365163,castration complex,閹割情結,,,2018-03-21
3365164,casual crowd,偶合群眾,,,2018-03-21
3365165,casual labor,零工；散工,,,2018-03-21
3365166,casual laborer,零工；散工,,,2018-03-21
3365167,casual worker,臨時工,,,2018-03-21
3365168,categorical data,類別資料；類屬資料,,,2018-03-21
3365169,categorical imperative,道德無上命令 {Kant}；定言令式,,,2018-03-21
3365170,categorical variable,類別變項,,,2018-03-21
3365171,categorization,類別化；類屬化；範疇化,,,2018-03-21
3365172,catharsis effect,淨化效果,,,2018-03-21
3365173,cathedrals of consumption,消費聖堂；消費殿堂,,,2018-03-21
3365174,causal analysis,因果分析,,,2018-03-21
3365175,causal modelling,因果模型化,,,2018-03-21
3365176,causal relationship,因果關係,,,2018-03-21
3365177,causality,因果關係；因果性,,,2018-03-21
3365178,cause-specific death rate,死因別死亡率,,,2018-03-21
3365179,ceiling effect,天花板效應；上限效應,,,2018-03-21
3365180,celibacy,守貞,,,2018-03-21
3365181,cell frequency,細格次數,,,2018-03-21
3365182,censored data,設限資料,,,2018-03-21
3365183,censorship,檢查；審查制度；檢查制度,,,2018-03-21
3365184,census,普查；人口普查,,,2018-03-21
3365185,census data,普查資料,,,2018-03-21
3365186,census schedule,普查表,,,2018-03-21
3365187,census taker,普查訪員,,,2018-03-21
3365188,census tract,普查區,,,2018-03-21
3365189,center-periphery theory,中心邊陲理論,,,2018-03-21
3365190,central business district,中心商業區,,,2018-03-21
3365191,central limit theorem,中央極限定理,,,2018-03-21
3365192,central place theory,中地理論,,,2018-03-21
3365193,central tendency,集中趨勢,,,2018-03-21
3365194,centrality,中心性,,,2018-03-21
3365195,centralization,集中化,,,2018-03-21
3365196,centralized bureaucracy,集權科層制,,,2018-03-21
3365197,centralized institution,集權制度,,,2018-03-21
3365198,ceremonialism,儀式主義,,,2018-03-21
3365199,ceremony,儀式；典禮；儀典,,,2018-03-21
3365200,certificate devaluation,證照貶值；文憑貶值,,,2018-03-21
3365201,certification,證照；檢定,,,2018-03-21
3365202,chain migration,連鎖移民,,,2018-03-21
3365203,chains of interdependence {Elias},互賴鏈 {Elias},,,2018-03-21
3365204,chair socialism,講壇社會主義；搖椅社會主義,,,2018-03-21
3365205,change,變遷,,,2018-03-21
3365206,chaos theory,混沌理論,,,2018-03-21
3365207,character,品格；性格,,,2018-03-21
3365208,charisma,卡理斯瑪；魅力,,,2018-03-21
3365209,charismatic authority,卡理斯瑪權威；魅力型權威,,,2018-03-21
3365210,charismatic domination,卡理斯瑪支配；魅力型支配,,,2018-03-21
3365211,charismatic leader,卡理斯瑪領袖；魅力型領袖,,,2018-03-21
3365212,chastity,貞操；貞節,,,2018-03-21
3365213,chauvinism,沙文主義,,,2018-03-21
3365214,chebyshev's theorem,柴比雪夫定理；柴比氏定理,,,2018-03-21
3365215,chi-square,卡方,,,2018-03-21
3365216,chi-square distribution,卡方分配,,,2018-03-21
3365217,chi-square test,卡方檢定,,,2018-03-21
3365218,chicago school,芝加哥學派,,,2018-03-21
3365219,Chicago School of Sociology,社會學的芝加哥學派,,,2018-03-21
3365220,Chicano studies,墨裔美國人研究,,,2018-03-21
3365221,child dependency ratio,扶幼比,,,2018-03-21
3365222,child labor,童工,,,2018-03-21
3365223,child marriage,童婚,,,2018-03-21
3365224,child mortality rate,兒童死亡率,,,2018-03-21
3365225,child placing,兒童安置,,,2018-03-21
3365226,child pornography,兒童色情；兒童色情業,,,2018-03-21
3365227,child protection,兒童保護,,,2018-03-21
3365228,child welfare,兒童福利,,,2018-03-21
3365229,child-bearing age,生育年齡,,,2018-03-21
3365230,child-bearing group,生育年齡組,,,2018-03-21
3365231,child-rearing pattern,育兒模式,,,2018-03-21
3365232,child-woman ratio,育齡婦女幼婦比,,,2018-03-21
3365233,childhood socialization,童年社會化,,,2018-03-21
3365234,children born alive,活產子女,,,2018-03-21
3365235,children born in wedlock,婚生子女,,,2018-03-21
3365236,children born out of wedlock,非婚生子女,,,2018-03-21
3365237,children ever born,總生子女,,,2018-03-21
3365238,children living,存活子女,,,2018-03-21
3365239,chiliastic movement,千禧年運動,,,2018-03-21
3365240,chiristian socialism,基督教社會主義,,,2018-03-21
3365241,chivalry,騎士精神,,,2018-03-21
3365242,christian socialism,基督教社會主義,,,2018-03-21
3365243,Christianity,基督宗教,,,2018-03-21
3365244,chronic unemployment,長期失業,,,2018-03-21
3365245,chronological age,足齡；實齡,,,2018-03-21
3365246,church,教會,,,2018-03-21
3365247,ci,信賴區間,,,2018-03-21
3365248,circle communication network,環形溝通網絡,,,2018-03-21
3365249,circular migration,循環移民,,,2018-03-21
3365250,circular systematic sampling,環狀系統抽樣,,,2018-03-21
