ID,英文詞彙,中文詞彙,更新日期
21370562,dent,凹痕；壓痕；凹部；齒 {齒輪},
21370563,deposit thickness,熔填厚度；滲透深度 ,
21370564,deposition ratio,熔填速率,
21370565,depth navigation,水深定位航行法,
21370566,depth sensor,下潛深度感測器；測深計,
21370567,depth simulator,深度模擬器,
21370568,design activity,設計活動,
21370569,design analysis,設計分析,
21370570,design criterion,設計準則；設計基準；設計標準,
21370571,design description,設計描述；設計說明書；設計規格,
21370572,design evaluation,設計評估；設計評價,
21370573,design for manufacture (DFM),可製造性設計,
21370574,design for safety (DFS),安全設計,
21370575,design formulation,設計構思形成,
21370576,design guide,設計指南；設計指引,
21370577,design layout,設計佈局；設計佈置,
21370578,design pattern,設計模式 (軟體工程),
21370579,design performance,設計性能,
21370580,design specification,設計規範,
21370581,design synthesis,設計集成；設計合成；設計綜合,
21370582,design throat thickness,設計喉深,
21370583,desk computer,桌上型電腦,
21370584,destination,目的港,
21370585,destructive testing,破壞性試驗,
21370586,deterministic value,確定值,
21370587,deviascope,自差顯示儀,
21370588,di-(2-ethylhexyl) phosphoric acid,二(2-乙基己基)磷酸,
21370589,diagonal inertia matrix,對角慣性矩陣,
21370590,diagonal mass matrix,對角質量矩陣,
21370591,diagonal stiffness matrix,對稱勁度矩陣,
21370592,dialing set computer,排字盤式計算機,
21370593,dibutyl phthalate,苯二甲酸二丁酯；鄰苯二甲酸二丁酸,
21370594,dibutylamine,二丁胺,
21370595,dichloroethyl ether,二氯乙醚,
21370596,dichloromethane,二氯甲烷,
21370597,dichloropropane,二氯丙烷,
21370598,dichloropropene/dichloropropane mixtures,二氯丙烯/二氯丙烷混合物,
21370599,diethanolamine,二乙醇胺,
21370600,diethyl ether,二乙醚,
21370601,diethyl phthalate,苯二甲酸二乙酯,
21370602,diethylamine,二乙胺,
21370603,diethylaminoethanol,二乙胺基乙醇；二乙基乙醇胺,
21370604,diethylbenzene,二乙苯,
21370605,diethylene glycol methyl ether,二甘醇甲基醚,
21370606,diethylenetriamine,二乙烯三胺,
21370607,difference of acceptance rate (DAR),接受率差異,
21370608,difference of rejection rate (DRR),拒絕率差異,
21370609,digital compass sensor,數位羅經感測器,
21370610,digital control computer,數位控制電腦；數字控制計算機,
21370611,dilution,稀釋,
21370612,dilution rate,稀釋率,
21370613,dimethyl hydrogen phosphite,二甲基亞磷酸,
21370614,dimethyl phthalate,苯二甲酸二甲酯,
21370615,dimethylethanolamine,二甲基代羥基乙胺,
21370616,dimethylformamide,二甲基甲醯胺,
21370617,dinitrotoluene (molten),二硝基甲苯(熔融狀),
21370618,di-n-propylomine,二-正-丙胺,
21370619,dipentene,雙戊烯,
21370620,diphenyl ether,二苯醚,
21370621,diphenyl oxide/diphenyl phenyl ether mixture,二苯醚/苯苯醚混合物,
21370622,diphenylmethane diisocyanate,二異氰酸二苯甲酸,
21370623,direct control,直接控制,
21370624,direction of welding,焊接方向,
21370625,direction wave spectrum,方向波譜,
21370626,directional wave spectrum,定向波譜；指向性波譜,
21370627,director gun/director,射擊指揮儀,
21370628,disaster,災難；天災；自然災害,
21370629,dismountable anchor,可拆式錨,
21370630,dissimilar material joint,異材接頭,
21370631,distortion,畸變；扭曲；失真,
21370632,distortional resonance,扭曲共振,
21370633,divergent spread,分離散佈,
21370634,diving simulator,潛水模擬器；潛水訓練裝置,
21370635,docking bridge deck,艉望臺甲板；艉橋艛甲板{進出塢時艉部指揮部},
21370636,dodecene,十二烯,
21370637,dodecyl alcohol,十二醇,
21370638,dodecyl benzene,十二苯,
21370639,dodecyl diphenyl oxide disulphonate solution,二磺酸二苯醚十二酯溶液,
21370640,dodecyl methacrylate,甲基丙烯十二酯,
21370641,dodecyl/pentadecyl methacrylate mixture,甲基丙烯十二/十五酯混合物,
21370642,dodecylphenol,十二酚,
21370643,doomer,末日論者,
21370644,Doppler navigation,都卜勒頻差導航法,
21370645,Doppler velocity log (DVL),都卜勒速度紀錄儀,
21370646,Doris anchor,多力士錨,
21370647,dory anchor,沙底錨；平底小艇用錨,
21370648,double diagonal planking,雙斜角鋪板法；人字形鋪板法,
21370649,double-fluked anchor,雙爪錨,
21370650,double-side single-run welding,雙面單道焊接,
21370651,Dow’s theory,道氏理論,
21370652,downtake,下降管；下導氣管,
21370653,dragging anchor,拖錨,
21370654,drift computer,偏流計算機；漂移計算機；偏差計算機,
21370655,drilled anchor,預鑽孔錨,
21370656,drilling deck,鑽井甲板,
21370657,dross,氧化渣；鐵渣；鐵鱗,
21370658,dual redundant computer,雙重冗餘計算機,
21370659,dumb relay,無聲繼電器；無聲中繼器；非自航繼電器,
21370660,Dunn's anchor,鄧恩錨{一種專利無桿錨},
21370661,durability,持久性；耐久性,
21370662,dynamic anchor,動力錨,
21370663,dynamic navigation task (DNT),動態航行任務,
21370664,dynamic navigation task fallback (DNT fallback),動態航行任務退出,
21370665,dynamic swell-up,動態湧起現象,
21370666,earmuff/ear muff,耳罩,
21370667,earplug/ear plug,耳塞,
21370668,earthquake research,地震研究,
21370669,ebb anchor,退潮錨；落潮錨,
21370670,ECM simulator,反電子措施模擬設備,
21370671,edge preparations,端面製備；端緣 {預} 加工,
21370672,Eell's anchor,依爾無桿錨,
21370673,effective superstructure,縱向強度有效船艛,
21370674,e-fuel (electrofuel),電子燃料{碳中和燃料},
21370675,elastic deck,{航母}彈性甲板,
21370676,elastic safety factor,彈性安全係數,
21370677,electrofuel,電子燃料{碳中和燃料},
21370678,electromagnetic anchor,電磁錨{打撈用},
21370679,electromagnetic catapult,電磁彈射器,
