ID,英文詞彙,中文詞彙,更新日期
21371861,Turning test,圖靈測試,
21371862,two stars navigation,雙星導航,
21371863,two-dimensional heat flow,二維熱傳導,
21371864,two-head welding,雙槍銲接,
21371865,two-run welding,雙道銲接,
21371866,Tyzack's anchor,泰澤克錨,
21371867,ultimate factor of safety,極限安全係數,
21371868,ultimate limit state (ULS),終極極限狀態,
21371869,ultimate load safety factor,極限負荷安全係數,
21371870,ultimate safety factor,極限安全係數,
21371871,ultrasonic height sensor,超音波高度感測器{水翼船},
21371872,ultra-violet (UV),紫外線,
21371873,uncertainty factor,不確定性因子；不確定因子,
21371874,uncertainty level,不確定性水平；不確定性程度；不確定性等級,
21371875,under full steam,全速航行,
21371876,underice navigation,冰下導航；冰下航法；冰下航行,
21371877,underwater navigation,潛艇航海學；水下導航；水下航行法,
21371878,underwater weldability,水下可銲性,
21371879,unified requirement (UR),統一要求；統一規定,
21371880,uninterruptible power supply (UPS),不斷電供電系統；不間斷電源,
21371881,United Nations number (UN number),聯合國編號,
21371882,universal submarine simulator,通用潛體模擬器,
21371883,universally unique identifier (UUID),通用唯一辨識碼,
21371884,upper bridge deck,上橋艛甲板,
21371885,upper gallery deck,艉上層散步甲板,
21371886,uppermost deck,最上層甲板,
21371887,upstream anchor,上游錨；迎水錨,
21371888,"vacuum collection, holding, and transfer (VCHT)",真空收集保存及轉移,
21371889,vacuum pressure impregnation (VPI),真空壓力浸漬,
21371890,variable geometry taut leg mooring (TLM) anchor,可變幾何形狀繃腿式繫泊錨,
21371891,various operational scenarios,多樣化操作情境,
21371892,velocity sensor,速度感測器,
21371893,veranda deck,遊廊甲板,
21371894,vertical anchor,直立錨,
21371895,vertical resolution,垂直向解析度,
21371896,vessel traffic management system (VTMS),船舶交通管理系統,
21371897,vessel traffic services (VTS),船舶交通服務；船舶交通服務系統,
21371898,vessel traffic surveillance system (VTS),船舶交通監視系統,
21371899,vibrated direct embedment anchor,振動深埋錨,
21371900,vibrating-contact voltage regulator,振動觸點式電壓調整器,
21371901,vibrating-reed frequency meter,振簧頻率計,
21371902,vibrating-reed frequency sensor,振簧式頻率感測器,
21371903,vibrating-reed relay,振簧式繼電器,
21371904,vibration absorber,吸振器,
21371905,vibration isolator,隔振器,
21371906,vibrational energy,振動能量,
21371907,vibrational energy absorption,振動能量吸收,
21371908,vibrational energy dissipation,振動能量耗散,
21371909,vibratory anchor,振動深埋錨；振動錨,
21371910,video sensor,視頻感測器,
21371911,virtual agent,虛擬密探,
21371912,virtual anchor,虛擬錨定點；虛擬錨點；{計算用}實際錨定點,
21371913,virtual anchor routing protocol,虛擬錨點繞徑協定,
21371914,virtual anchoring,虛擬錨定點；虛擬錨點；{計算用}實際錨定點,
21371915,virtual personal assistant (VPA),虛擬個人助理,
21371916,visual feature,視覺特徵,
21371917,visual period,目測週期,
21371918,volatile organic compound (VOC),揮發性有機化合物,
21371919,vortex rate sensor,渦漩速率感測器,
21371920,voyage data recorder (VDR),航行資料記錄器,
21371921,VPI tank,真空壓力浸漬罐,
21371922,wagon deck,車輛甲板；車廂甲板；列車甲板,
21371923,waist hawser,舯橫纜；腰橫纜,
21371924,waist strakes,腰板列,
21371925,wake simulator,伴流模擬器,
21371926,walk-around deck,散步甲板 {指從一舷走到另一舷繞一周},
21371927,wall sided,直舷；直壁舷板,
21371928,warfare simulator,戰爭模擬器,
21371929,warping hawser,拖索；繫纜；絞船索,
21371930,Wasteney-Smith stockless anchor,沃斯坦尼-史密斯無桿錨,
21371931,water anchor,浮錨；流錨；海錨,
21371932,water dispersion,水分散,
21371933,water level sensor,水位感測器；水位指示感測器,
21371934,water shipping,甲板覆浪,
21371935,water trough,水槽,
21371936,wave condition,波況,
21371937,wave excitation,波浪激振；波浪激勵；波干擾,
21371938,wave excitation matrix,波浪激勵矩陣,
21371939,wave field,波場,
21371940,wave field of a ship,船波區；船行波場；船行區波場,
21371941,wave height sensor,波高感測器,
21371942,wave induced fluid force,波致流體力,
21371943,wave induced fluid loading,波致流體負荷,
21371944,wave induced vibration,波致振動,
21371945,wave prediction,波浪預測,
21371946,wave simulator,模擬波形裝置；造波裝置,
21371947,weather provider,氣象提供單位,
21371948,weather route,天氣路由；天氣航路,
21371949,weather routing,氣象路由法；天氣航線選定,
21371950,weathertight deck,風雨密甲板；防風雨甲板,
21371951,weepage,滲漏,
21371952,weld area,銲接區域,
21371953,weld crown,銲冠,
21371954,weld crown height,銲冠高,
21371955,weld defect,銲道缺陷；銲縫缺陷,
21371956,weld groove,銲槽,
21371957,weld interface,銲接界面,
21371958,weld metal deposition rate,銲接金屬熔填速率,
21371959,weld preparations,銲道準備,
21371960,weld rotation,銲道旋轉角,
21371961,weld slope,銲道斜率,
21371962,weld thickness,銲道厚度,
21371963,weld width,銲道寬度,
21371964,welded equipment removable plates (WERPs),銲接設備可拆卸板,
21371965,welding and assembling production line,銲裝生產線,
21371966,welding coordination personnel,銲接管理人員,
21371967,welding pool,銲池；熔池,
21371968,welding production engineer,銲接生產工程師；銲裝工程師,
21371969,welding production line,銲裝生產線,
21371970,welding production time,銲裝時間；銲接生產時間,
21371971,welding productivity,銲接生產力,
21371972,welding schedule,銲接計畫表,
21371973,welding sequence schedule,銲接順序計畫表,
21371974,welding slag,銲渣,
21371975,welding spatter,銲渣；銲濺物,
21371976,wherry anchor,小艇錨,
21371977,whipstaff,舵柄；垂直舵柄,
21371978,whisker harpin,艏柱牽條,
21371979,whole moulding ,完整放樣,
21371980,wicking, 銲錫流,
21371981,wind and water strakes,水線部板列{輕載水線與滿載水線間的船舷板},
21371982,wind tower,風力塔,
21371983,windward,上風，迎風面,
21371984,wing deck,舷伸甲板 {明輪船或河內航行船由兩舷向外伸出的甲板},
21371985,wing girder,舭桁材；舭內龍骨,
21371986,wing transom ,艉柱頂橫材；船尾横翼材,
21371987,wire feed speed (WFS),供線速率,
21371988,wire hawser,鋼絲纜；鋼纜,
21371989,wireless ad hoc network (WANET),無線隨意網路,
21371990,wireless fidelity (WiFi),無線保真,
21371991,wireless intelligent collector (WIC),無線智能採集器,
21371992,wishbone anchor,叉架鏟形錨,
21371993,wishbone frame,願骨支架；叉骨支架,
21371994,wood and wood,木釘接合材,
21371995,wood-slat deck,{潛艇}木板條甲板{上層建築非水密},
21371996,work breakdown structure (WBS),工作分解結構,
21371997,working deck,工作甲板,
21371998,working deck area,工作甲板面積,
21371999,working depth rating,額定工作深度,
21372000,worm shoe,龍骨防蠕蟲護木靴；假龍骨,
21372001,wrapping boards,包裝板,
21372002,wrecking anchor,應急救生錨,
21372003,wringhead,攥緊頭,
21372005,wrunghead  binding strakes,攥緊頭固定板條,
21372006,wrunghead wale,攥緊頭船緣凸條,
21372007,yarmouth roads cupboard,易排水敞式櫥櫃；雅茅斯羅兹櫥櫃,
21372008,yaw-checking anchor,止盪錨,
21372009,zapp,高性能鎳鈷鈦合金,
21372010,zero upcrossing period,往上跨零週期,
21372011,zine anode for protection (ZAP),防腐蝕鋅陽極,
21372012,ρ-θ navigation,極坐標導航；距離-角度導航,
