ID,英文名稱,中文名稱,圖片,領域,祖籍,更新日期
3604130,"Borne, François Fernand",博納,,音樂,,2018-11-20
3604131,"Borrel, Eugène",博雷勒,,音樂,,2018-11-20
3604132,"Boucourechliev, André",布庫雷什利耶夫,,音樂,,2018-11-20
3604133,"Bouffil, JacquesŜn",布菲勒,,音樂,,2018-11-20
3604134,"Bouhy, Jacques",布伊,,音樂,,2018-11-20
3604135,"Boulanger, Lili",布朗傑，利利,,音樂,,2018-11-20
3604136,"Boulanger, Nadia",布朗傑，拿地阿,,音樂,,2018-11-20
3604137,"Boulez, Pierre",布列茲,,音樂,,2018-11-20
3604138,"Boulogne, Joseph",布羅涅,,音樂,,2018-11-20
3604139,"Bourdin, Roger",布丹,,音樂,,2018-11-20
3604140,"Bourgault-Ducoudray, Louis Albert",布戈-迪庫德雷,,音樂,,2018-11-20
3604141,"Bourgue, Maurice",布格,,音樂,,2018-11-20
3604142,"De Bourguignon, Francis",德‧布吉尼翁,,音樂,,2018-11-20
3604143,"Bozza, Eugène",博札,,音樂,,2018-11-20
3604144,"Brandt, Michel",布杭,,音樂,,2018-11-20
3604145,"Brenet, Michel",布赫內,,音樂,,2018-11-20
3604146,"Brenta, Gaston",布杭塔,,音樂,,2018-11-20
3604147,"Bréval, Jean-Baptiste Sebastien",布雷瓦勒，冉-巴第斯特,,音樂,,2018-11-20
3604148,"Bréval, Lucienne",布雷瓦勒，呂西安納,,音樂,,2018-11-20
3604149,"de Breville, Pierre",德‧布赫維勒,,音樂,,2018-11-20
3604150,"Brone, François",布洛納,,音樂,,2018-11-20
3604151,"Brott, Boris",布洛特,,音樂,,2018-11-20
3604152,"Brumel, Antoine",布律梅勒,,音樂,,2018-11-20
3604153,"Bruneau, Alfred",布律諾,,音樂,,2018-11-20
3604154,"Busnois, Antoine",畢諾瓦,,音樂,,2018-11-20
3604155,"Busser, Henri Paul",畢賽,,音樂,,2018-11-20
3604156,"Caduff, Sylvia",卡迪夫,,音樂,,2018-11-20
3604157,"De Caix d'Hervelois, Louis",德‧凱德伏洛瓦,,音樂,,2018-11-20
3604158,"Calvé, Emma",卡勒維,,音樂,,2018-11-20
3604159,"Calvert, Morley",卡勒維爾,,音樂,,2018-11-20
3604160,"Calvocoressi, Michel Dimitri",卡沃柯雷西,,音樂,,2018-11-20
3604161,"Campra, André",康普哈,,音樂,,2018-11-20
3604162,"Canteloube, Joseph",康特盧伯,,音樂,,2018-11-20
3604163,"Capet, Lucien",卡培,,音樂,,2018-11-20
3604164,"Caplet, Andre",卡普列,,音樂,,2018-11-20
3604165,"Caron, Rose Lucille",卡宏,,音樂,,2018-11-20
3604166,"Casadesus, Gaby",卡薩德敘，加比,,音樂,,2018-11-20
3604167,"Casadesus, Jean-Claude",卡薩德敘，冉-克羅德,,音樂,,2018-11-20
3604168,"Casadesus, Robert",卡薩德敘，洛貝爾,,音樂,,2018-11-20
3604169,"Chabrier, Emmanuel Alexis",夏布里耶,,音樂,,2018-11-20
3604170,"de Chambonnières, Jacques Champion",德‧尚博尼耶赫,,音樂,,2018-11-20
3604171,"Chaminade, Cécile",夏密拿德,,音樂,,2018-11-20
3604172,"Charpentier, Gustave",夏邦提耶，駒斯塔伏,,音樂,,2018-11-20
3604173,"Charpentier, Marc-Antoine",夏邦提耶，馬克-安東尼(夏邦提耶，馬克-安圖萬),,音樂,,2018-11-20
3604174,"Chatillon, Jean",夏提永,,音樂,,2018-11-20
3604175,"Chausson, Ernest",蕭頌,,音樂,,2018-11-20
3604176,"Chauvet, Charles-Alexis",蕭維,,音樂,,2018-11-20
3604177,"Chédeville, Esprit Philippe",謝德維勒，埃斯普里,,音樂,,2018-11-20
3604178,"Chédeville, Nicholas",謝德維勒，尼古拉(謝德維勒，尼科拉),,音樂,,2018-11-20
3604179,"Chédeville, Pierre",謝德維勒，皮耶赫,,音樂,,2018-11-20
3604180,"Chelard, Hippolyte André Baptiste",薛拉爾,,音樂,,2018-11-20
3604181,"Chemin-Petit, Hans",薛曼-珀蒂,,音樂,,2018-11-20
3604182,"Cherepnin, Ivan",薛赫普南,,音樂,,2018-11-20
3604183,"Chevillard, Camille",薛維亞爾,,音樂,,2018-11-20
3604184,"Chevreuille, Raymond",薛夫赫伊,,音樂,,2018-11-20
3604185,"Ciccolini, Aldo",齊可利尼,,音樂,,2018-11-20
3604186,"Cinti-Damoreau, Laura",辛第-達莫洛,,音樂,,2018-11-20
3604187,"Ciry, Michel",西里,,音樂,,2018-11-20
3604188,"Clapisson, Louis",克拉皮頌,,音樂,,2018-11-20
3604189,"Clérambault, Louis-Nicolas",克雷杭博,,音樂,,2018-11-20
3604190,"Clidat, France",克利達,,音樂,,2018-11-20
3604191,"Collard, Jean-Philippe",柯拉爾,,音樂,,2018-11-20
3604192,"Colonne, Edouard",柯隆納,,音樂,,2018-11-20
3604193,"Constant, Marius",孔斯當,,音樂,,2018-11-20
3604194,"Coral, Cathrine",柯哈勒,,音樂,,2018-11-20
3604195,"Corbeil, Claude",柯貝伊,,音樂,,2018-11-20
3604196,"Corrette, Gaspard",柯雷特，加斯帕爾,,音樂,,2018-11-20
3604197,"Corrette, Michel",柯雷特，米歇勒,,音樂,,2018-11-20
3604198,"Cortot, Alfred",柯托,,音樂,,2018-11-20
