ID,英文名稱,中文名稱,圖片,中國大陸譯名,作曲家,作曲家臺灣譯名,作曲家中國大陸譯名,臺灣分類,中國大陸分類,更新日期
3539158,Bastien und Bastienne,巴斯汀和巴斯汀娜｛可愛的牧羊女｝,,巴斯蒂安与巴斯蒂安娜,"Mozart, Wolfgang Amadeus",莫札特,莫扎特,歌劇,歌剧,2018-05-30
3539159,Beatrice di Tenda,滕達的貝阿特麗切,,腾达的贝阿特丽彻,"Bellini, Vincenzo",貝利尼,贝里尼,歌劇,歌剧,2018-05-30
3539160,Beatrice et Bénédict,貝阿特麗絲和貝內迪克｛無事生非｝,,比亚特里斯和贝内迪克特,"Berlioz, Hector",白遼士,柏辽兹,歌劇,歌剧,2018-05-30
3539161,Bell Anthem,鐘聲頌歌,,钟声赞美歌,"Purcell, Henry",珀瑟爾,珀塞尔  普赛尔,器樂曲,器乐曲,2018-05-30
3539162,"Belle Hélène, La",傾城佳人 (美麗的海倫),,美丽的海伦,"Offenbach, Jacques",歐芬巴赫,奥芬巴赫,歌劇,歌剧,2018-05-30
3539163,Bells of Aberdovey,阿伯多維的鐘聲,,阿伯多维的钟声,Charles Dibdin,狄布丁,迪布丁,聲樂曲,声乐曲,2018-05-30
3539164,"Bells, The",鐘,,钟,"Rachmaninoff, Sergey",拉赫瑪尼諾夫,拉赫玛尼诺夫,交響曲,交响曲,2018-05-30
3539165,Belshazzar's Feast,伯沙撒的宴會,,<p>伯沙撒王的宴会</p>,"<p>Vaughan Williams, Ralph</p>",<p>沃恩威廉斯</p>,<p>沃尔顿/西贝柳斯</p>,<p>聲樂曲</p>,<p>声乐曲</p>,2018-05-30
3539166,Benedicite,祝福歌,,祝福歌,"Vaughan Williams, Ralph",沃恩威廉斯,沃恩·威廉斯,聲樂曲,声乐曲,2018-05-30
3539167,Benvenuto Cellini,本威奴托˙切利尼,,金匠切利尼,"Berlioz, Hector",白遼士,柏辽兹,歌劇,歌剧,2018-05-30
3539168,Berenice,貝蕾妮切,,贝伦尼切,Handel George Friedrich,韓德爾,亨德尔,歌劇,歌剧,2018-05-30
3539169,"Bernauerin, Die",貝爾瑙琳,,贝尔瑙琳,"Orff, Carl",奧福,奥尔夫,聲樂曲,声乐曲,2018-05-30
3539170,Bethlehem,伯利恆,,伯利恒,"Boughton, Rutlan",鲍顿,鲍顿,聲樂曲,声乐曲,2018-05-30
3539171,Biblical Songs,聖經歌曲集,,圣经歌,"Dvořák, Antonín",德沃札克,德沃夏克,聲樂曲,声乐曲,2018-05-30
3539172,"Biches, Les",輕浮女,,母鹿,"Poulenc, Francis",浦朗克,普朗克,聲樂曲,声乐曲,2018-05-30
3539173,Billy Budd,比利巴德,,比利·布德,"Britten, Benjamin",布瑞頓,布里顿,歌劇,歌剧,2018-05-30
3539174,Billy the Kid,比利小子,,小伙子比利,"Copland, Aaron",柯普蘭,科普兰,芭蕾舞劇,芭蕾舞剧,2018-05-30
3539175,"Black Knight, The",黑騎士,,黑武士,"Elgar, Edward",艾爾加,埃尔加,聲樂曲,声乐曲,2018-05-30
3539176,"Blessed Virgin's Expostulation, The",聖母瑪利亞的建言,,圣母玛利亚的劝导,"Purcell, Henry",珀瑟爾,珀塞尔,聲樂曲,声乐曲,2018-05-30
3539177,Blumenstück,花之歌,,花之歌,"Schumann, Robert",舒曼,舒曼,鍵盤樂曲,键盘乐曲,2018-05-30
3539178,Boccaccio,薄伽丘,,薄伽丘,"Suppé, Franz von",蘇佩,苏佩,歌劇,歌剧,2018-05-30
3539179,"Bohème, La",藝術家的生涯,,波西米亚人,"Puccini, Giacomo",浦契尼,普契尼/莱翁卡瓦洛,歌劇,歌剧,2018-05-30
3539180,Boléro,波雷洛,,波莱罗,"Ravel, Maurice","拉威爾,摩利斯",拉威尔,管絃樂曲,管弦乐曲,2018-05-30
3539181,"Bolt, The",霹靂,,霹雳,"Shostakovich, Dmitri(Dmitry)","蕭斯塔科維契,德米特里",肖斯塔科维奇,管絃樂曲,管弦乐曲,2018-05-30
3539182,"Bonne Chanson, La",美好的歌曲,,美好的歌曲,"Fauré, Gabriel",佛瑞,福雷/莱夫勒,聲樂曲,声乐曲,2018-05-30
3539183,Boris Godounov,鮑利斯˙戈多諾夫,,鲍利斯 戈多诺夫,"Musorgsky, Modest Petrovich",穆梭斯基,穆索尔斯基,歌劇,歌剧,2018-05-30
3539184,Boulevard Solitude,孤寂大道,,孤寂的林荫路,"Henze, Hans Werner",亨采,亨策,歌劇,歌剧,2018-05-30
3539185,"Boutique fantasque, La",奇幻玩具店,,古怪的玩具店,"Respighi, Ottorino",雷斯匹基,雷斯皮吉,管絃樂曲,管弦乐曲,2018-05-30
3539186,Boyhood's End,少年時代的結束,,少年时代的结束,"Tippet, Michael",提佩特,蒂皮特,聲樂曲,声乐曲,2018-05-30
3539187,Brandenburg  Concertos,布蘭登堡協奏曲,,勃兰登堡协奏曲,"Bach, Johann Sebastian",巴赫（J.S),巴赫（J.S),協奏曲,协奏曲,2018-05-30
